Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,97.0,62.18,42.43,28.33,6.63,24.990000000000002,11.21
Morocco,93.37,62.970000000000006,42.07,28.54,7.23,24.060000000000002,11.14
Argentina,89.41,58.28,39.33,26.16,6.2700000000000005,22.54,10.299999999999999
Brazil,88.87,54.559999999999995,34.46,21.68,5.26,18.52,7.32
Japan,92.69,53.05,32.879999999999995,19.68,5.34,15.24,6.16
France,90.33,60.77,32.35,19.84,5.21,15.920000000000002,6.0600000000000005
England,95.85000000000001,60.129999999999995,35.05,19.220000000000002,4.89,15.4,5.08
Portugal,85.59,57.97,32.96,18.77,4.63,14.69,4.55
Algeria,83.99,46.69,27.310000000000002,15.61,4.14,11.219999999999999,3.7199999999999998
Iran,87.94,55.47,32.53,16.3,4.41,11.690000000000001,3.63
Colombia,82.92,53.42,28.52,15.36,3.8899999999999997,11.16,3.58
Germany,87.48,50.7,27.560000000000002,12.8,3.1300000000000003,9.76,2.6599999999999997
Mexico,86.55000000000001,51.39,28.410000000000004,12.57,3.11,9.879999999999999,2.58
Belgium,84.8,49.88,28.01,12.540000000000001,3.3000000000000003,8.16,2.3
Netherlands,83.39,36.1,19.21,9.629999999999999,2.18,7.37,1.9900000000000002
Canada,93.65,51.970000000000006,25.169999999999998,10.65,2.74,7.249999999999999,1.9900000000000002
Ecuador,82.19,44.71,20.830000000000002,9.06,2.29,6.7,1.76
Senegal,74.32,40.949999999999996,17.23,8.59,2.39,6.5,1.6400000000000001
Ivory Coast,83.11,45.0,20.84,9.13,2.48,6.77,1.5699999999999998
Australia,81.5,45.67,21.349999999999998,9.51,2.56,6.16,1.44
Norway,71.61,38.279999999999994,15.52,7.249999999999999,1.58,5.4399999999999995,1.38
Switzerland,91.03,48.22,22.25,9.27,2.34,5.81,1.37
South Korea,81.47999999999999,44.17,21.17,8.1,1.92,5.94,1.16
Turkey,74.89,37.04,15.790000000000001,6.239999999999999,1.6500000000000001,4.02,0.8
United States,74.72999999999999,35.31,14.19,5.27,1.26,3.2800000000000002,0.7000000000000001
Egypt,67.36,31.4,14.44,5.33,1.46,3.17,0.63
Austria,62.73,26.16,11.09,4.3,1.15,2.25,0.59
Uzbekistan,54.39000000000001,26.51,10.549999999999999,4.41,1.13,2.6,0.58
Croatia,79.22,31.36,12.02,4.590000000000001,1.1199999999999999,2.53,0.51
Uruguay,78.43,28.83,11.5,4.1000000000000005,1.04,2.5700000000000003,0.47000000000000003
Czech Republic,53.900000000000006,20.78,6.94,1.76,0.37,0.8699999999999999,0.15
DR Congo,43.34,17.94,5.92,2.08,0.38,0.9900000000000001,0.15
Paraguay,39.72,14.31,4.42,1.4500000000000002,0.32,0.72,0.13999999999999999
Panama,61.79,19.55,5.83,1.7500000000000002,0.24,0.73,0.13
Iraq,32.48,10.96,2.96,0.74,0.13999999999999999,0.33999999999999997,0.12
South Africa,46.87,17.93,6.15,1.6099999999999999,0.33999999999999997,1.0,0.1
Scotland,47.910000000000004,14.12,4.9399999999999995,1.4000000000000001,0.24,0.84,0.08
Saudi Arabia,51.21,13.19,3.9600000000000004,1.09,0.26,0.48,0.08
Tunisia,57.440000000000005,16.18,5.75,1.7999999999999998,0.36,1.03,0.06999999999999999
Haiti,33.93,9.32,2.88,0.79,0.16,0.5,0.06
Jordan,31.36,9.06,2.76,0.7799999999999999,0.13999999999999999,0.33999999999999997,0.02
Bosnia and Herzegovina,29.580000000000002,5.319999999999999,0.88,0.12,0.02,0.05,0.01
New Zealand,30.470000000000002,9.22,2.36,0.41000000000000003,0.1,0.13,0.01
Qatar,47.07,9.82,2.12,0.32,0.06999999999999999,0.11,0.01
Curaçao,20.26,4.63,0.8,0.12,0.01,0.04,0.0
Cape Verde,33.29,6.619999999999999,1.6400000000000001,0.36,0.05,0.1,0.0
Ghana,26.1,4.89,0.8999999999999999,0.21,0.02,0.02,0.0
Sweden,32.46,7.02,1.77,0.38,0.05,0.12,0.0
