Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Morocco,94.01,64.13,42.6,29.25,7.489999999999999,18.23,11.07
Spain,96.76,61.56,41.64,28.03,6.909999999999999,17.65,10.93
Argentina,89.58,58.220000000000006,39.7,26.590000000000003,6.23,16.71,10.32
Brazil,88.83,54.22,34.06,21.44,5.76,12.13,6.36
Japan,92.44,52.09,31.96,19.63,4.99,11.1,6.3
France,90.08,60.19,32.07,19.830000000000002,4.9,11.4,6.25
England,96.00999999999999,60.370000000000005,35.03,18.459999999999997,4.390000000000001,10.45,5.6899999999999995
Portugal,86.39,58.95,33.19,18.29,4.8500000000000005,9.32,4.7
Iran,87.28,54.949999999999996,32.46,16.1,3.85,7.829999999999999,3.8
Algeria,82.78999999999999,46.17,27.029999999999998,15.55,3.9899999999999998,7.580000000000001,3.6900000000000004
Colombia,82.83,54.269999999999996,28.84,16.0,4.16,7.93,3.66
Mexico,88.11,54.64,30.159999999999997,13.11,3.4099999999999997,6.25,3.02
Germany,87.78,51.07000000000001,27.77,13.55,3.49,6.02,2.45
Belgium,84.61,50.3,28.189999999999998,13.15,3.62,5.4399999999999995,2.11
Netherlands,83.47,36.230000000000004,18.54,9.55,2.36,4.78,2.01
Canada,94.56,53.76,26.71,11.15,3.08,4.72,1.95
Ivory Coast,82.55,45.58,21.959999999999997,9.370000000000001,2.27,4.36,1.83
Ecuador,82.19,44.440000000000005,21.01,9.49,2.4899999999999998,4.32,1.73
Senegal,73.42999999999999,40.62,17.95,8.53,2.1,3.94,1.63
Australia,81.10000000000001,44.93,21.23,9.3,2.4699999999999998,3.7600000000000002,1.52
Norway,72.00999999999999,37.830000000000005,15.47,7.12,1.77,3.29,1.4500000000000002
Switzerland,91.75999999999999,48.5,22.33,8.88,2.21,3.42,1.31
South Korea,79.45,43.2,20.24,7.290000000000001,1.68,3.16,1.1199999999999999
Turkey,73.94,36.03,15.45,6.1,1.5,2.22,0.86
Egypt,67.36999999999999,30.61,14.13,5.16,1.32,1.7399999999999998,0.62
United States,78.78,39.2,15.329999999999998,5.4399999999999995,1.37,1.73,0.5700000000000001
Austria,63.31,26.68,11.12,4.47,1.02,1.49,0.54
Uruguay,77.31,28.410000000000004,10.96,4.390000000000001,1.02,1.48,0.53
Uzbekistan,54.43,25.869999999999997,10.15,3.9800000000000004,0.9299999999999999,1.44,0.42
Croatia,80.22,31.730000000000004,11.63,4.390000000000001,1.05,1.3599999999999999,0.38
Tunisia,56.93,15.129999999999999,5.19,1.5599999999999998,0.32,0.52,0.19
Scotland,47.4,14.06,4.44,1.4200000000000002,0.27999999999999997,0.51,0.16
Czech Republic,56.279999999999994,21.95,7.75,1.8499999999999999,0.38999999999999996,0.5599999999999999,0.15
South Africa,45.56,17.32,6.16,1.6400000000000001,0.31,0.54,0.13999999999999999
Paraguay,38.41,12.76,4.12,1.1400000000000001,0.18,0.35000000000000003,0.12
DR Congo,43.63,17.52,5.87,2.01,0.35000000000000003,0.5700000000000001,0.09
Panama,61.56,19.12,5.6899999999999995,1.6400000000000001,0.35000000000000003,0.49,0.08
Saudi Arabia,50.9,12.889999999999999,3.5999999999999996,0.8500000000000001,0.25,0.19,0.06999999999999999
Haiti,33.82,9.049999999999999,2.76,0.8099999999999999,0.13,0.27999999999999997,0.06999999999999999
Iraq,32.35,10.299999999999999,2.6599999999999997,0.75,0.2,0.24,0.05
Sweden,33.17,6.510000000000001,1.52,0.26,0.02,0.08,0.03
Jordan,32.53,9.51,2.78,0.75,0.16999999999999998,0.16999999999999998,0.02
New Zealand,30.72,9.22,2.4299999999999997,0.5499999999999999,0.16,0.08,0.01
Qatar,46.089999999999996,9.15,1.79,0.32,0.06,0.04,0.0
Bosnia and Herzegovina,27.58,5.01,0.89,0.16,0.04,0.0,0.0
Curaçao,20.19,4.63,1.0999999999999999,0.22,0.04,0.03,0.0
Cape Verde,34.260000000000005,6.49,1.54,0.31,0.04,0.05,0.0
Ghana,25.240000000000002,4.63,0.8,0.16999999999999998,0.03,0.05,0.0
