team,elo_rating
Spain,2005.890600037787
Argentina,1992.9189901028335
Morocco,1973.2849811853034
France,1931.3999424295193
Japan,1929.8775239081526
Brazil,1919.5323710253924
England,1905.6555848111882
Colombia,1901.6438945637997
Portugal,1889.4143249094698
Algeria,1888.45615855193
Germany,1876.6283246758917
Mexico,1867.8251607458747
Iran,1866.1667149867237
Ecuador,1858.5965983079368
Netherlands,1857.2713529951077
Senegal,1841.698368695186
Norway,1840.5338771859667
Belgium,1836.2949123756746
Ivory Coast,1835.3045304710402
Switzerland,1827.9749380386309
Canada,1823.318209574524
Australia,1816.593967530953
Turkey,1813.181117787038
South Korea,1804.700205885672
Austria,1793.8802366256439
Croatia,1788.220603503123
United States,1784.4287635399928
Egypt,1784.226100927348
Uruguay,1782.5855283912604
Uzbekistan,1767.8150154702407
DR Congo,1729.05898622237
Paraguay,1727.5691439136847
Panama,1722.022412364342
Scotland,1706.561852800222
Czech Republic,1698.3529358453618
Jordan,1695.1070829308333
Iraq,1683.734710926691
Tunisia,1683.1221910753654
South Africa,1669.4163433491046
Saudi Arabia,1663.8059101301362
Haiti,1649.2605211806417
Sweden,1644.9104863028551
New Zealand,1626.9205036693759
Cape Verde,1613.3579319101877
Curaçao,1573.1684860134785
Ghana,1563.3772364960548
Qatar,1528.179076980704
Bosnia and Herzegovina,1507.3625189299512
