Country,Elo_Rating,Poisson_Attack,Poisson_Defense,Poisson_Dominance,Short_Term_Form_GF,Short_Term_Form_WR,Long_Term_Form_GF,Long_Term_Form_WR,Nudge_Power_Rating,Nudge_Raw_Delta
Spain,2005.890600037787,1.7575662715747238,0.5779689085370727,3.0409356725146193,1.4907651932633272,0.2672059967456835,2.2731538744068724,0.4970844399872193,97,1.455
Argentina,1992.9189901028335,1.342375567381437,0.3945942244482705,3.401913875598086,2.862335351768678,0.9737810157398692,2.599348747898608,0.8752493723319021,95,1.4249999999999998
Morocco,1973.2849811853034,1.4533026584647848,0.34263513701846293,4.241545893719807,3.4160164912371282,0.8782768372389769,2.6352726703133564,0.7944795716758586,82,1.23
France,1931.3999424295193,1.533975172309677,0.6187318851439033,2.4792243767313016,2.0518424437703326,0.5652035861903062,2.284797184390601,0.6807421016263865,97,1.455
Japan,1929.8775239081526,1.7891032470122545,0.4994788710146255,3.581939799331105,1.5125598532053353,0.9322622928248819,1.8343980255349,0.7641193452596495,81,1.215
Brazil,1919.5323710253924,1.3643470319006399,0.46407716559540013,2.939914163090129,3.6388968965543107,0.722475651207418,2.630196776909175,0.5770257569646932,94,1.41
England,1905.6555848111882,1.705873145940173,0.46399749569572707,3.676470588235294,1.1184803571552835,0.6118167023576982,1.7911231604638747,0.679373411354175,93,1.395
Colombia,1901.6438945637997,1.0599357997435284,0.6253621218486819,1.6949152542372876,2.1183150734243585,0.5751053174943646,2.077495118855272,0.528459957829545,84,1.26
Portugal,1889.4143249094698,1.7044379161298875,0.5681459720432956,3.000000000000001,2.228489291206396,0.7673943852269204,2.414867217329395,0.6493841352014749,91,1.365
Algeria,1888.45615855193,1.57793265999466,0.5151736900739322,3.062913907284768,1.6372658415712404,0.6652748043855254,1.935913324959379,0.6798806382413152,74,1.1099999999999999
Germany,1876.6283246758917,1.7301933644397254,0.848441366707136,2.0392609699769055,3.4295039139592025,0.9847556749728574,2.9969303096453164,0.8591686523835482,90,1.35
Mexico,1867.8251607458747,1.1732637569036068,0.5922959103816829,1.9808743169398906,1.3013471336636617,0.7427819262719744,1.280603407291366,0.5913294481904201,79,1.185
Iran,1866.1667149867237,1.619009666729723,0.5181720499286061,3.124463519313306,2.6810209552652333,0.6879548082326037,2.0930793865943604,0.5539372764683095,74,1.1099999999999999
Ecuador,1858.5965983079368,0.8422748658079605,0.6546288197545415,1.286644951140065,1.4214184841694895,0.49938633606296906,1.122461022334975,0.3814255893937412,79,1.185
Netherlands,1857.2713529951077,1.702089134765126,0.7128258889210435,2.387804878048781,1.210329030730428,0.29819532905363555,2.054262462534241,0.4697484796684192,88,1.32
Senegal,1841.698368695186,1.2534670388420304,0.4475488373204088,2.8007380073800734,2.026644510583371,0.5053366220379925,2.071412542042467,0.6491691127760063,80,1.2000000000000002
Norway,1840.5338771859667,1.5073965563062248,0.7122395576341117,2.1164179104477614,2.177340847321193,0.5846243867234974,2.7179709549402897,0.635253187577083,81,1.215
Belgium,1836.2949123756746,1.7578422713033002,0.6375593730115597,2.7571428571428567,2.6728904949702468,0.6849574833794984,2.938835373321806,0.6149665634714259,86,1.29
Ivory Coast,1835.3045304710402,1.2667514048011779,0.4959451254646121,2.5542168674698793,2.165441215304832,0.8158214457795028,2.1276711537716864,0.7176269875533934,77,1.155
Switzerland,1827.9749380386309,1.3236670982797138,0.8458287681953359,1.5649350649350648,2.456461183803642,0.49633886751077994,2.2960327309803,0.48148561571146925,82,1.23
Canada,1823.318209574524,1.594620549465814,0.6378482197863257,2.5,1.3096502207435647,0.5082490856849751,1.266681158278239,0.4429980282986915,75,1.125
Australia,1816.593967530953,1.4453890242902607,0.47872757492416285,3.0192307692307687,1.4536057229051056,0.42951934238320455,1.484240402549138,0.522081034781948,74,1.1099999999999999
