home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Cape Verde,Iraq,Neutral,0.943,1.193,28.1,31.1,40.8,27.2,5.4,8.3,41.6,6.8,10.7,40.9,59.1,"[{""score"": ""0 - 1"", ""pct"": 13.87}, {""score"": ""1 - 1"", ""pct"": 13.320000000000002}, {""score"": ""0 - 0"", ""pct"": 13.28}]"
Cape Verde,Ecuador,Neutral,0.628,1.741,11.4,23.3,65.2,11.7,2.4,3.4,65.9,7.0,9.6,17.5,82.5,"[{""score"": ""0 - 1"", ""pct"": 16.99}, {""score"": ""0 - 2"", ""pct"": 14.19}, {""score"": ""1 - 1"", ""pct"": 10.23}]"
Cape Verde,Haiti,Neutral,1.176,1.252,34.0,28.6,37.4,32.9,5.9,8.4,37.4,6.5,8.8,47.3,52.7,"[{""score"": ""1 - 1"", ""pct"": 13.13}, {""score"": ""0 - 1"", ""pct"": 10.93}, {""score"": ""1 - 0"", ""pct"": 10.16}]"
Cape Verde,Ghana,Neutral,1.089,1.146,34.0,30.6,35.4,33.6,6.0,8.2,37.1,5.8,9.3,47.7,52.3,"[{""score"": ""1 - 1"", ""pct"": 13.669999999999998}, {""score"": ""1 - 0"", ""pct"": 12.09}, {""score"": ""0 - 1"", ""pct"": 12.030000000000001}]"
Cape Verde,Morocco,Neutral,0.6,1.806,10.6,22.8,66.6,10.9,2.0,3.4,66.8,7.6,9.3,16.3,83.7,"[{""score"": ""0 - 1"", ""pct"": 16.259999999999998}, {""score"": ""0 - 2"", ""pct"": 14.549999999999999}, {""score"": ""0 - 0"", ""pct"": 9.87}]"
Cape Verde,Croatia,Neutral,0.697,1.907,11.8,21.8,66.3,12.1,2.4,3.3,65.6,7.4,9.2,17.8,82.2,"[{""score"": ""0 - 1"", ""pct"": 14.729999999999999}, {""score"": ""0 - 2"", ""pct"": 13.18}, {""score"": ""1 - 1"", ""pct"": 9.94}]"
Cape Verde,Switzerland,Neutral,0.732,1.924,12.6,21.6,65.7,12.5,2.4,3.2,66.1,7.6,8.2,18.1,81.9,"[{""score"": ""0 - 1"", ""pct"": 14.23}, {""score"": ""0 - 2"", ""pct"": 12.839999999999998}, {""score"": ""1 - 1"", ""pct"": 9.93}]"
Cape Verde,United States,Neutral,0.932,1.601,20.6,26.6,52.8,20.2,4.1,5.8,53.4,7.5,8.9,30.1,69.9,"[{""score"": ""0 - 1"", ""pct"": 12.870000000000001}, {""score"": ""1 - 1"", ""pct"": 12.24}, {""score"": ""0 - 2"", ""pct"": 10.41}]"
Cape Verde,Netherlands,Neutral,0.679,2.161,9.3,18.3,72.4,8.8,1.7,2.4,72.5,7.3,7.4,12.8,87.2,"[{""score"": ""0 - 2"", ""pct"": 14.000000000000002}, {""score"": ""0 - 1"", ""pct"": 13.43}, {""score"": ""0 - 3"", ""pct"": 9.24}]"
Cape Verde,Turkey,Neutral,0.787,1.846,14.6,23.5,61.9,14.2,3.0,4.0,62.2,7.4,9.2,21.2,78.8,"[{""score"": ""0 - 1"", ""pct"": 13.48}, {""score"": ""0 - 2"", ""pct"": 12.23}, {""score"": ""1 - 1"", ""pct"": 10.5}]"
Cape Verde,Senegal,Neutral,0.715,1.681,15.1,24.6,60.4,14.7,2.9,4.5,61.2,7.0,9.7,22.1,77.9,"[{""score"": ""0 - 1"", ""pct"": 15.659999999999998}, {""score"": ""0 - 2"", ""pct"": 12.659999999999998}, {""score"": ""1 - 1"", ""pct"": 10.459999999999999}]"
Cape Verde,Iran,Neutral,0.724,1.677,14.3,24.6,61.1,15.1,2.7,4.1,61.1,7.9,9.0,22.0,78.0,"[{""score"": ""0 - 1"", ""pct"": 15.42}, {""score"": ""0 - 2"", ""pct"": 12.49}, {""score"": ""1 - 1"", ""pct"": 10.72}]"
Cape Verde,Argentina,Neutral,0.517,2.345,5.6,14.3,80.2,5.7,1.2,1.5,79.1,6.5,6.1,8.4,91.7,"[{""score"": ""0 - 2"", ""pct"": 15.49}, {""score"": ""0 - 1"", ""pct"": 14.44}, {""score"": ""0 - 3"", ""pct"": 12.07}]"
Cape Verde,Bosnia and Herzegovina,Neutral,1.163,1.155,35.4,29.4,35.2,35.0,6.3,8.5,35.1,6.3,8.8,49.8,50.2,"[{""score"": ""1 - 1"", ""pct"": 12.82}, {""score"": ""0 - 1"", ""pct"": 11.42}, {""score"": ""1 - 0"", ""pct"": 11.39}]"
Cape Verde,Scotland,Neutral,0.91,1.599,20.4,26.4,53.2,19.9,3.9,5.8,53.8,7.0,9.6,29.6,70.4,"[{""score"": ""0 - 1"", ""pct"": 12.879999999999999}, {""score"": ""1 - 1"", ""pct"": 12.17}, {""score"": ""0 - 2"", ""pct"": 9.84}]"
Cape Verde,South Africa,Neutral,1.034,1.16,32.0,30.5,37.5,30.4,5.4,9.0,38.7,6.7,9.9,44.8,55.2,"[{""score"": ""1 - 1"", ""pct"": 13.139999999999999}, {""score"": ""0 - 0"", ""pct"": 12.26}, {""score"": ""0 - 1"", ""pct"": 12.04}]"
