Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,99.29,73.95,52.5,40.21,8.200000000000001,28.139999999999997,17.59
Brazil,99.18,75.85,55.86,37.92,10.08,23.29,14.11
Argentina,98.37,65.64999999999999,51.580000000000005,35.339999999999996,9.11,21.990000000000002,13.63
England,98.28,72.82,49.97,31.240000000000002,8.110000000000001,18.48,10.25
France,95.92,70.66,44.15,28.42,7.64,14.91,7.6899999999999995
Portugal,95.48,70.21,45.95,26.790000000000003,7.08,14.37,7.539999999999999
Germany,98.94,69.95,38.37,22.16,5.86,10.52,4.35
Belgium,96.89,71.23,44.529999999999994,19.74,5.21,9.86,4.21
Colombia,91.28,59.18,33.739999999999995,18.26,4.66,9.33,4.17
Netherlands,90.41,48.36,33.040000000000006,17.18,4.62,8.07,3.34
Uruguay,92.32000000000001,43.84,24.88,13.209999999999999,3.2,5.680000000000001,2.26
Morocco,91.67,48.72,28.96,13.66,3.7199999999999998,5.680000000000001,2.04
Croatia,91.36,47.65,22.67,9.959999999999999,2.4299999999999997,4.279999999999999,1.54
Switzerland,95.82000000000001,62.36000000000001,26.33,10.48,2.6100000000000003,3.8600000000000003,1.34
Ecuador,93.21000000000001,51.629999999999995,22.37,9.69,2.46,3.47,1.22
Norway,80.54,40.36,15.76,6.74,1.6099999999999999,2.32,0.66
Japan,71.75,28.050000000000004,13.76,5.3100000000000005,1.51,1.79,0.5499999999999999
Mexico,91.52,52.86,21.17,6.68,1.47,1.8900000000000001,0.52
United States,75.6,40.849999999999994,15.939999999999998,4.95,1.35,1.48,0.44
Sweden,63.690000000000005,21.55,8.86,2.9899999999999998,0.74,0.83,0.31
Senegal,72.33000000000001,33.64,12.09,4.43,1.0999999999999999,1.25,0.3
Austria,76.73,24.16,10.24,3.3099999999999996,0.8,1.0999999999999999,0.26
Paraguay,64.29,28.48,8.85,2.5700000000000003,0.58,0.75,0.26
Australia,65.92,30.42,10.05,2.92,0.5499999999999999,0.8500000000000001,0.25
Turkey,69.85,32.87,11.43,3.0700000000000003,0.73,0.8200000000000001,0.21
Iran,79.69000000000001,37.96,12.950000000000001,3.7800000000000002,0.7799999999999999,0.79,0.2
Scotland,72.72999999999999,24.27,8.92,2.46,0.59,0.5599999999999999,0.16
Algeria,66.55,17.82,6.950000000000001,2.04,0.51,0.54,0.13999999999999999
Canada,90.2,43.65,13.48,2.87,0.62,0.58,0.09
Ivory Coast,80.04,30.759999999999998,9.08,2.36,0.38,0.54,0.09
Czech Republic,72.75,32.62,9.91,2.01,0.42,0.47000000000000003,0.08
South Korea,69.67,29.95,9.29,2.41,0.38999999999999996,0.64,0.08
Tunisia,45.24,12.44,3.8600000000000003,0.98,0.13999999999999999,0.24,0.05
Egypt,70.75,27.57,7.57,1.7000000000000002,0.38,0.33,0.05
Uzbekistan,38.25,9.1,2.16,0.51,0.12,0.13,0.02
Curaçao,4.45,0.22999999999999998,0.02,0.0,0.0,0.0,0.0
DR Congo,34.449999999999996,7.290000000000001,1.6,0.3,0.05,0.02,0.0
Saudi Arabia,32.08,4.8500000000000005,1.0999999999999999,0.11,0.02,0.0,0.0
Ghana,39.879999999999995,7.13,1.47,0.26,0.02,0.06,0.0
South Africa,38.39,10.54,2.13,0.24,0.03,0.05,0.0
Panama,27.589999999999996,3.6700000000000004,0.6,0.09,0.0,0.01,0.0
Jordan,23.65,3.35,0.65,0.09,0.03,0.0,0.0
Haiti,7.95,0.83,0.06,0.0,0.0,0.0,0.0
Iraq,19.99,3.9699999999999998,0.5700000000000001,0.06999999999999999,0.01,0.0,0.0
Cape Verde,24.57,2.9899999999999998,0.61,0.03,0.01,0.0,0.0
New Zealand,19.06,2.9499999999999997,0.33999999999999997,0.02,0.0,0.0,0.0
Bosnia and Herzegovina,54.24,15.93,3.0700000000000003,0.43,0.06999999999999999,0.03,0.0
Qatar,27.189999999999998,4.83,0.5599999999999999,0.01,0.0,0.0,0.0
