team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,6.72,3.96,67.3,23.6,6.1,97.1
Canada,6.58,3.84,58.8,32.7,5.8,97.3
Mexico,6.5,3.51,65.2,23.2,7.4,95.8
Argentina,6.12,2.85,59.9,24.1,9.0,93.0
England,6.08,2.93,55.5,27.4,10.9,93.8
Japan,5.76,2.35,48.3,31.2,11.8,91.3
Switzerland,5.68,2.42,35.9,45.5,10.5,92.0
Brazil,5.57,2.12,46.5,30.0,13.0,89.5
Ecuador,5.53,2.11,41.6,32.7,15.7,90.0
France,5.47,1.91,47.1,27.5,12.9,87.5
Germany,5.34,1.86,39.0,33.5,15.9,88.3
Colombia,5.24,1.59,39.7,31.3,14.8,85.9
Morocco,5.2,1.55,36.5,34.5,15.4,86.4
Netherlands,5.2,1.6,36.7,35.9,14.0,86.6
Iran,5.01,1.29,37.6,29.0,16.2,82.9
Portugal,5.0,1.25,37.4,30.2,15.2,82.7
Uruguay,4.97,1.2,24.8,45.9,14.9,85.6
Belgium,4.92,1.15,35.6,30.2,16.5,82.3
Croatia,4.82,1.02,26.6,36.8,18.9,82.4
South Korea,4.66,0.73,23.1,40.2,17.2,80.5
Australia,4.27,0.26,27.3,27.0,17.5,71.8
Norway,4.24,0.16,23.3,28.4,20.4,72.2
Turkey,4.24,0.25,26.5,25.6,18.6,70.7
Senegal,4.11,0.03,22.2,28.2,20.2,70.6
Algeria,4.06,-0.06,19.1,32.1,18.7,69.8
Panama,3.91,-0.28,15.7,27.7,25.1,68.4
Paraguay,3.9,-0.26,22.7,24.0,18.2,64.9
United States,3.89,-0.25,23.5,23.4,18.2,65.1
Ivory Coast,3.88,-0.32,16.2,25.9,26.2,68.3
Egypt,3.78,-0.39,17.9,25.5,20.7,64.1
Uzbekistan,3.59,-0.72,15.6,23.8,21.3,60.8
Austria,3.44,-0.9,12.7,25.1,20.9,58.7
Scotland,3.21,-1.37,10.9,20.7,21.9,53.5
Czech Republic,3.12,-1.51,7.4,22.9,23.5,53.7
Tunisia,3.07,-1.46,9.2,19.1,22.9,51.2
Jordan,2.82,-1.89,8.3,18.7,18.9,45.9
New Zealand,2.68,-2.05,8.8,15.4,17.5,41.6
Saudi Arabia,2.62,-2.4,4.2,16.7,20.6,41.5
Iraq,2.59,-2.1,7.4,15.9,16.8,40.1
DR Congo,2.55,-2.12,7.2,14.7,16.7,38.7
Haiti,2.51,-2.3,6.1,14.8,17.4,38.3
Bosnia and Herzegovina,2.49,-2.64,3.3,12.9,23.5,39.7
Sweden,2.48,-2.49,5.8,13.8,18.1,37.7
Cape Verde,2.33,-2.77,3.7,13.8,17.7,35.2
South Africa,2.29,-2.73,4.3,13.7,16.3,34.3
Qatar,1.95,-3.62,1.9,8.9,16.2,27.0
Curaçao,1.81,-3.65,3.2,7.9,12.2,23.4
Ghana,1.76,-3.66,2.2,8.1,11.8,22.1
