group,team,points,goals_for,goals_against,goals_diff,h2h_pts,h2h_gd,h2h_gf,position
A,Mexico,9,6,2,4,0,0,0,1
A,South Korea,6,5,4,1,0,0,0,2
A,Czech Republic,3,4,5,-1,0,0,0,3
A,South Africa,0,2,6,-4,0,0,0,4
B,Switzerland,9,6,3,3,0,0,0,1
B,Canada,6,5,2,3,0,0,0,2
B,Bosnia and Herzegovina,1,2,5,-3,1,0,1,3
B,Qatar,1,2,5,-3,1,0,1,4
C,Brazil,7,5,3,2,1,0,1,1
C,Morocco,7,5,3,2,1,0,1,2
C,Scotland,3,4,5,-1,0,0,0,3
C,Haiti,0,3,6,-3,0,0,0,4
D,Turkey,5,4,3,1,0,0,0,1
D,Paraguay,3,3,3,0,1,0,1,2
D,Australia,3,3,3,0,1,0,1,3
D,United States,2,3,4,-1,0,0,0,4
E,Ecuador,7,5,2,3,1,0,1,1
E,Germany,7,5,3,2,1,0,1,2
E,Ivory Coast,3,4,5,-1,0,0,0,3
E,Curaçao,0,2,6,-4,0,0,0,4
F,Netherlands,7,5,3,2,1,0,1,1
F,Japan,7,5,3,2,1,0,1,2
F,Sweden,1,3,5,-2,1,0,1,3
F,Tunisia,1,3,5,-2,1,0,1,4
G,Belgium,7,5,3,2,1,0,1,1
G,Iran,7,5,3,2,1,0,1,2
G,Egypt,3,4,5,-1,0,0,0,3
G,New Zealand,0,3,6,-3,0,0,0,4
H,Spain,9,6,1,5,0,0,0,1
H,Uruguay,6,5,4,1,0,0,0,2
H,Saudi Arabia,3,3,5,-2,0,0,0,3
H,Cape Verde,0,2,6,-4,0,0,0,4
I,France,9,6,3,3,0,0,0,1
I,Senegal,4,4,4,0,1,0,1,2
I,Norway,4,4,4,0,1,0,1,3
I,Iraq,0,3,6,-3,0,0,0,4
J,Argentina,9,6,3,3,0,0,0,1
J,Algeria,6,5,4,1,0,0,0,2
J,Austria,1,3,5,-2,1,0,1,3
J,Jordan,1,3,5,-2,1,0,1,4
K,Portugal,7,5,3,2,1,0,1,1
K,Colombia,7,5,3,2,1,0,1,2
K,Uzbekistan,3,4,5,-1,0,0,0,3
K,DR Congo,0,3,6,-3,0,0,0,4
L,England,9,6,2,4,0,0,0,1
L,Croatia,6,5,4,1,0,0,0,2
L,Panama,3,4,5,-1,0,0,0,3
L,Ghana,0,2,6,-4,0,0,0,4
