Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,98.16,70.09,50.36000000000001,37.99,7.9399999999999995,26.51,17.53
Argentina,96.23,65.85,50.6,36.980000000000004,8.64,24.86,16.09
Brazil,96.17,67.92,46.6,29.38,7.969999999999999,16.63,9.39
England,96.0,65.38000000000001,41.72,25.83,7.180000000000001,14.63,8.33
France,92.05,64.23,40.67,25.8,7.3,13.700000000000001,7.199999999999999
Portugal,89.91,61.17,35.94,20.53,5.36,11.19,5.71
Colombia,87.53999999999999,56.769999999999996,32.41,17.49,4.1000000000000005,9.62,4.6
Germany,95.67999999999999,59.46,30.470000000000002,16.42,4.68,7.66,3.51
Morocco,88.14,50.33,29.880000000000003,15.32,3.85,7.470000000000001,3.1
Netherlands,88.1,44.330000000000005,27.839999999999996,14.7,3.9,6.909999999999999,3.02
Belgium,90.96,59.040000000000006,32.5,14.299999999999999,3.54,6.78,2.73
Ecuador,90.53999999999999,52.2,25.85,12.770000000000001,3.4799999999999995,5.59,2.3800000000000003
Uruguay,88.16000000000001,42.230000000000004,23.200000000000003,11.92,2.86,5.71,2.29
Japan,83.08,38.97,22.31,10.81,2.9000000000000004,4.34,1.83
Mexico,93.83,60.74,30.17,12.46,3.2300000000000004,4.96,1.7399999999999998
Croatia,86.78,43.65,19.869999999999997,9.45,2.4899999999999998,4.08,1.59
Switzerland,94.05,56.06,24.72,9.82,2.7,3.9,1.3599999999999999
Norway,74.94,37.419999999999995,17.599999999999998,7.19,1.8800000000000001,2.6599999999999997,1.03
United States,71.87,39.87,16.650000000000002,6.22,1.37,2.5,0.95
Turkey,70.22,37.05,15.190000000000001,6.1,1.3599999999999999,2.2800000000000002,0.74
Iran,80.87,43.0,17.549999999999997,6.260000000000001,1.55,2.1999999999999997,0.72
Senegal,71.12,32.910000000000004,13.889999999999999,5.56,1.41,1.82,0.5499999999999999
Australia,68.66,36.03,14.77,5.17,1.22,1.92,0.53
Canada,94.57,52.959999999999994,22.38,6.950000000000001,1.54,1.96,0.52
South Korea,75.67,38.67,14.979999999999999,5.28,1.13,1.81,0.51
Algeria,67.95,24.4,10.52,3.65,1.03,1.26,0.38999999999999996
Austria,66.59,23.76,9.75,3.75,0.91,1.23,0.36
Paraguay,63.51,31.96,11.799999999999999,4.130000000000001,1.06,1.34,0.33
Ivory Coast,74.48,28.660000000000004,9.85,2.8899999999999997,0.7000000000000001,0.91,0.22
Egypt,65.98,26.619999999999997,8.38,2.29,0.5,0.72,0.16999999999999998
Scotland,63.23,22.27,8.37,2.41,0.48,0.63,0.16
Czech Republic,62.13999999999999,26.419999999999998,8.21,2.23,0.44,0.5700000000000001,0.16
Uzbekistan,50.83,17.09,5.3100000000000005,1.5699999999999998,0.27999999999999997,0.4,0.08
Sweden,49.95,13.4,4.47,1.35,0.22,0.31,0.06999999999999999
Tunisia,48.9,12.72,4.49,1.3,0.13999999999999999,0.3,0.06
Iraq,30.380000000000003,8.07,1.7399999999999998,0.38,0.05,0.06,0.01
Ghana,30.25,5.12,0.95,0.18,0.03,0.04,0.01
DR Congo,37.580000000000005,10.71,2.87,0.5499999999999999,0.12,0.06999999999999999,0.01
Saudi Arabia,39.23,7.91,1.79,0.3,0.04,0.06999999999999999,0.01
Panama,48.209999999999994,12.659999999999998,3.2199999999999998,0.7799999999999999,0.11,0.16999999999999998,0.01
Cape Verde,28.860000000000003,5.06,0.83,0.16999999999999998,0.04,0.03,0.0
Bosnia and Herzegovina,48.120000000000005,12.07,2.02,0.32,0.1,0.01,0.0
Haiti,20.04,3.45,0.64,0.08,0.01,0.01,0.0
Qatar,26.229999999999997,4.4799999999999995,0.53,0.04,0.0,0.0,0.0
Curaçao,11.66,1.34,0.13999999999999999,0.0,0.0,0.0,0.0
New Zealand,31.740000000000002,7.46,1.31,0.13,0.02,0.01,0.0
Jordan,34.22,7.7,2.34,0.42,0.08,0.08,0.0
South Africa,36.620000000000005,10.34,2.35,0.38,0.06,0.09,0.0
