team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,7.01,4.63,70.1,23.5,4.5,98.1
Argentina,6.63,3.68,68.1,20.8,7.3,96.2
England,6.5,3.57,60.9,26.8,8.1,95.9
Brazil,6.35,3.57,58.0,28.4,9.7,96.0
Mexico,6.13,2.83,58.3,25.1,9.9,93.4
Germany,6.03,3.33,48.9,32.0,14.4,95.3
Canada,6.0,2.89,46.4,37.9,10.2,94.5
France,5.99,2.69,54.4,27.4,11.0,92.8
Switzerland,5.97,2.91,45.7,37.9,10.5,94.1
Belgium,5.71,2.31,48.9,28.7,12.9,90.5
Portugal,5.58,2.12,44.9,32.3,12.5,89.7
Ecuador,5.49,2.09,36.1,36.4,18.3,90.8
Netherlands,5.47,1.94,44.8,30.3,13.1,88.2
Colombia,5.36,1.75,39.9,33.7,13.8,87.4
Morocco,5.27,1.72,31.3,41.2,16.3,88.8
Uruguay,5.21,1.55,24.7,51.2,12.8,88.6
Croatia,5.13,1.47,29.0,42.7,15.4,87.1
Japan,5.07,1.37,35.7,33.2,15.2,84.1
Iran,4.8,0.98,29.4,34.1,18.5,82.1
South Korea,4.41,0.44,22.6,34.8,19.3,76.6
Norway,4.36,0.34,22.9,30.8,21.5,75.2
Turkey,4.18,0.15,26.9,25.2,18.2,70.4
United States,4.15,0.1,26.5,24.5,18.2,69.3
Australia,4.11,0.04,25.5,25.1,18.4,69.0
Senegal,4.07,-0.06,18.9,30.2,21.4,70.5
Ivory Coast,4.0,-0.07,14.2,27.6,31.8,73.6
Algeria,3.88,-0.33,14.4,33.9,20.8,69.1
Paraguay,3.85,-0.29,21.1,25.1,18.8,65.0
Austria,3.77,-0.46,13.6,30.5,22.7,66.8
Egypt,3.77,-0.44,16.6,25.8,23.3,65.7
Czech Republic,3.57,-0.76,13.5,26.1,22.6,62.3
Scotland,3.44,-1.0,9.4,23.5,29.7,62.7
Uzbekistan,3.06,-1.49,9.5,19.7,22.3,51.5
Panama,2.99,-1.8,7.0,19.7,24.6,51.3
Sweden,2.96,-1.71,9.8,18.5,20.6,48.8
Tunisia,2.93,-1.61,9.7,18.0,20.8,48.5
Bosnia and Herzegovina,2.79,-2.1,5.4,15.7,26.2,47.3
Saudi Arabia,2.49,-2.72,3.1,15.0,21.5,39.7
DR Congo,2.43,-2.39,5.6,14.3,16.5,36.5
South Africa,2.35,-2.5,5.5,14.0,17.0,36.5
Jordan,2.25,-2.88,3.9,14.8,15.0,33.7
New Zealand,2.15,-2.85,5.1,11.3,13.9,30.4
Iraq,2.05,-2.96,3.8,11.6,14.0,29.4
Ghana,2.02,-3.25,3.1,10.8,15.1,29.0
Cape Verde,2.01,-3.45,2.1,10.3,16.4,28.7
Qatar,1.9,-3.7,2.5,8.5,15.9,26.9
Haiti,1.59,-4.3,1.3,6.9,11.5,19.7
Curaçao,1.18,-5.35,0.8,4.0,7.5,12.2
