Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,98.24000000000001,70.91,51.18000000000001,38.82,8.459999999999999,26.96,17.29
Argentina,96.45,64.74,49.120000000000005,35.839999999999996,7.829999999999999,24.490000000000002,16.03
Brazil,96.24000000000001,67.64,46.5,29.01,8.5,16.04,9.06
England,96.35000000000001,66.24,41.510000000000005,25.45,6.93,14.719999999999999,8.14
France,92.08,64.84,41.199999999999996,26.009999999999998,7.04,14.330000000000002,7.75
Portugal,90.09,60.11,36.33,21.01,5.25,11.78,5.66
Colombia,87.47,56.95,32.57,17.28,4.16,9.48,4.569999999999999
Germany,95.94,59.57,31.28,17.06,4.8500000000000005,7.670000000000001,3.56
Netherlands,88.49000000000001,45.17,28.349999999999998,14.89,3.7600000000000002,6.890000000000001,3.15
Morocco,88.14,50.73,30.599999999999998,16.04,4.51,6.959999999999999,2.83
Belgium,90.92,58.9,32.09,13.889999999999999,3.44,6.69,2.58
Uruguay,88.71,42.67,23.03,11.709999999999999,2.91,5.35,2.41
Ecuador,90.85,51.43,24.7,11.940000000000001,3.02,5.45,2.31
Japan,83.25,38.22,21.85,10.68,2.6599999999999997,4.62,1.95
Mexico,93.38,61.1,30.599999999999998,12.31,3.1,4.9,1.9300000000000002
Croatia,86.83999999999999,44.39,20.4,9.9,2.4299999999999997,4.07,1.55
Switzerland,93.57,56.15,24.39,9.73,2.62,3.8699999999999997,1.3
Norway,76.77000000000001,38.3,17.06,7.3,1.72,2.8000000000000003,1.03
Australia,70.13000000000001,36.53,15.14,5.82,1.31,2.27,0.8
United States,70.52000000000001,38.86,16.38,6.419999999999999,1.6400000000000001,2.41,0.79
Iran,81.22,43.53,18.529999999999998,6.65,1.7399999999999998,2.39,0.75
Turkey,69.54,37.41,15.61,5.319999999999999,1.34,1.9900000000000002,0.69
South Korea,75.64999999999999,39.54,14.59,4.93,1.16,1.67,0.54
Canada,93.93,52.25,21.81,6.819999999999999,1.6,1.82,0.52
Senegal,69.63000000000001,32.46,13.84,5.390000000000001,1.35,1.92,0.51
Paraguay,64.0,32.07,12.85,4.46,1.05,1.53,0.44
Austria,67.0,23.72,10.2,3.93,1.06,1.3599999999999999,0.4
Algeria,68.34,24.099999999999998,10.489999999999998,3.83,0.9199999999999999,1.3299999999999998,0.36
Scotland,63.29,22.220000000000002,7.829999999999999,2.4899999999999998,0.58,0.7000000000000001,0.27
Egypt,65.53,25.46,7.55,2.02,0.43,0.54,0.16
Uzbekistan,50.17,17.14,5.35,1.6199999999999999,0.27,0.45999999999999996,0.16
Ivory Coast,73.37,26.889999999999997,8.84,2.74,0.72,0.72,0.13
Czech Republic,63.080000000000005,26.529999999999998,8.21,2.22,0.53,0.62,0.11
Sweden,49.75,12.770000000000001,4.14,1.2,0.27,0.27999999999999997,0.06999999999999999
Tunisia,48.230000000000004,12.53,4.31,1.28,0.25,0.26,0.05
Jordan,33.94,8.18,2.19,0.45999999999999996,0.11,0.08,0.04
Ghana,30.209999999999997,5.58,1.29,0.18,0.01,0.05,0.02
South Africa,36.94,10.979999999999999,2.4,0.4,0.04,0.08,0.02
Panama,47.64,12.58,2.94,0.8,0.16999999999999998,0.08,0.02
Bosnia and Herzegovina,48.8,12.740000000000002,2.32,0.35000000000000003,0.02,0.06999999999999999,0.02
Qatar,26.540000000000003,4.46,0.62,0.06999999999999999,0.0,0.02,0.01
Iraq,29.75,7.489999999999999,1.82,0.37,0.08,0.04,0.01
DR Congo,38.43,10.879999999999999,2.94,0.52,0.06999999999999999,0.06999999999999999,0.01
Saudi Arabia,39.81,8.33,1.94,0.4,0.04,0.08,0.0
New Zealand,31.19,7.090000000000001,1.28,0.12,0.02,0.03,0.0
Haiti,20.07,3.35,0.72,0.12,0.01,0.03,0.0
Curaçao,11.65,1.28,0.16,0.01,0.0,0.0,0.0
Cape Verde,27.87,4.99,0.95,0.19,0.02,0.03,0.0
