team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,6.97,4.62,69.1,24.8,4.4,98.2
Argentina,6.65,3.71,67.6,21.6,7.3,96.5
England,6.56,3.67,62.4,26.5,7.4,96.4
Brazil,6.39,3.66,58.0,28.4,9.8,96.2
Mexico,6.11,2.79,57.9,25.0,10.4,93.4
Germany,6.09,3.46,50.4,31.7,13.8,95.9
Canada,6.03,2.89,47.3,37.0,9.6,93.9
France,5.97,2.66,54.3,26.8,11.0,92.1
Switzerland,5.95,2.85,44.7,37.9,11.0,93.6
Belgium,5.74,2.37,50.0,28.3,12.6,90.9
Portugal,5.59,2.13,45.4,31.6,13.1,90.1
Netherlands,5.48,1.98,45.5,29.9,13.1,88.5
Ecuador,5.47,2.07,35.2,37.6,18.1,90.8
Colombia,5.34,1.71,39.4,34.1,14.0,87.5
Uruguay,5.24,1.6,25.9,50.2,12.7,88.7
Morocco,5.23,1.67,30.4,41.6,16.1,88.1
Croatia,5.12,1.48,28.4,43.6,14.8,86.8
Japan,5.01,1.26,35.1,32.8,15.4,83.2
Iran,4.78,0.94,29.6,33.6,18.0,81.2
Norway,4.4,0.4,23.0,32.6,21.2,76.8
South Korea,4.37,0.38,22.4,34.3,19.0,75.6
United States,4.18,0.13,27.3,25.5,17.8,70.5
Australia,4.13,0.1,24.8,26.2,19.1,70.1
Turkey,4.12,0.07,26.0,24.5,19.0,69.5
Senegal,4.01,-0.13,18.4,29.6,21.6,69.6
Ivory Coast,3.98,-0.1,13.8,26.9,32.6,73.4
Paraguay,3.83,-0.31,21.9,23.8,18.3,64.0
Austria,3.83,-0.39,14.5,31.6,20.9,67.0
Algeria,3.82,-0.42,13.2,33.2,21.9,68.3
Egypt,3.74,-0.47,16.1,26.4,23.1,65.5
Czech Republic,3.59,-0.72,14.2,25.6,23.3,63.1
Scotland,3.49,-0.95,9.9,23.3,30.0,63.3
Uzbekistan,3.01,-1.56,9.3,19.4,21.4,50.2
Sweden,3.0,-1.64,10.1,18.9,20.7,49.8
Tunisia,2.94,-1.6,9.3,18.3,20.5,48.2
Panama,2.86,-2.0,6.2,18.5,23.0,47.6
Bosnia and Herzegovina,2.81,-2.02,5.6,16.4,26.7,48.8
Saudi Arabia,2.5,-2.69,3.1,15.0,21.7,39.8
DR Congo,2.48,-2.29,5.9,14.9,17.6,38.4
South Africa,2.37,-2.46,5.5,15.1,16.3,36.9
Jordan,2.25,-2.9,4.7,13.6,15.6,33.9
New Zealand,2.14,-2.83,4.3,11.7,15.2,31.2
Iraq,2.1,-2.93,4.2,11.1,14.5,29.8
Ghana,2.08,-3.14,3.1,11.4,15.8,30.2
Cape Verde,1.98,-3.53,1.9,10.1,15.9,27.9
Qatar,1.89,-3.72,2.3,8.6,15.6,26.5
Haiti,1.56,-4.38,1.7,6.7,11.7,20.1
Curaçao,1.16,-5.43,0.6,3.8,7.2,11.7
