home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Czech Republic,Norway,Neutral,1.101,1.678,23.8,26.2,50.0,23.3,4.4,5.8,51.4,7.1,8.0,33.5,66.5,"[{""score"": ""1 - 1"", ""pct"": 11.48}, {""score"": ""0 - 1"", ""pct"": 10.45}, {""score"": ""1 - 2"", ""pct"": 9.48}]"
Czech Republic,Panama,Neutral,1.397,1.268,39.1,28.0,32.9,39.7,6.3,7.5,33.9,5.6,7.0,53.5,46.5,"[{""score"": ""1 - 1"", ""pct"": 13.04}, {""score"": ""1 - 0"", ""pct"": 9.58}, {""score"": ""0 - 1"", ""pct"": 9.01}]"
Czech Republic,Austria,Neutral,1.106,1.425,27.7,29.1,43.2,28.7,4.9,6.8,43.9,6.8,8.8,40.5,59.5,"[{""score"": ""1 - 1"", ""pct"": 13.0}, {""score"": ""0 - 1"", ""pct"": 11.23}, {""score"": ""0 - 0"", ""pct"": 9.22}]"
Czech Republic,Turkey,Neutral,1.15,1.601,25.5,26.2,48.4,27.0,5.3,5.6,46.7,7.1,8.2,38.0,62.0,"[{""score"": ""1 - 1"", ""pct"": 11.4}, {""score"": ""0 - 1"", ""pct"": 10.31}, {""score"": ""1 - 2"", ""pct"": 9.75}]"
Czech Republic,Uzbekistan,Neutral,1.135,1.235,32.6,29.6,37.8,33.3,5.6,8.1,37.7,6.4,8.8,47.1,52.9,"[{""score"": ""1 - 1"", ""pct"": 13.01}, {""score"": ""0 - 1"", ""pct"": 11.81}, {""score"": ""1 - 0"", ""pct"": 10.86}]"
Czech Republic,Ghana,Neutral,1.507,0.987,49.0,27.3,23.7,49.4,7.0,8.8,23.7,4.8,6.3,65.2,34.8,"[{""score"": ""1 - 0"", ""pct"": 12.509999999999998}, {""score"": ""1 - 1"", ""pct"": 11.959999999999999}, {""score"": ""0 - 0"", ""pct"": 9.34}]"
Czech Republic,DR Congo,Neutral,1.195,1.025,39.0,30.7,30.3,39.5,7.0,9.3,30.4,5.5,8.5,55.7,44.3,"[{""score"": ""1 - 1"", ""pct"": 13.370000000000001}, {""score"": ""1 - 0"", ""pct"": 12.790000000000001}, {""score"": ""0 - 0"", ""pct"": 12.16}]"
Czech Republic,South Korea,Neutral,1.131,1.43,28.5,28.1,43.3,29.6,4.9,6.6,43.1,6.8,9.0,41.2,58.8,"[{""score"": ""1 - 1"", ""pct"": 12.45}, {""score"": ""0 - 1"", ""pct"": 11.559999999999999}, {""score"": ""1 - 2"", ""pct"": 9.030000000000001}]"
Czech Republic,Ivory Coast,Neutral,1.117,1.274,31.2,29.0,39.8,31.2,5.4,7.7,39.2,6.7,9.8,44.4,55.7,"[{""score"": ""1 - 1"", ""pct"": 13.320000000000002}, {""score"": ""0 - 1"", ""pct"": 11.790000000000001}, {""score"": ""0 - 0"", ""pct"": 10.33}]"
Czech Republic,Cape Verde,Neutral,1.545,0.935,51.0,27.5,21.5,52.1,7.2,9.9,21.6,3.9,5.3,69.2,30.8,"[{""score"": ""1 - 0"", ""pct"": 13.62}, {""score"": ""1 - 1"", ""pct"": 12.479999999999999}, {""score"": ""0 - 0"", ""pct"": 9.56}]"
Czech Republic,Iraq,Neutral,1.334,0.998,44.2,29.6,26.3,43.4,7.3,10.2,27.4,4.8,7.0,60.9,39.1,"[{""score"": ""1 - 0"", ""pct"": 13.58}, {""score"": ""1 - 1"", ""pct"": 13.55}, {""score"": ""0 - 0"", ""pct"": 10.81}]"
Czech Republic,Mexico,Neutral,0.97,1.501,23.7,27.6,48.8,23.3,4.5,6.5,49.2,7.2,9.2,34.3,65.7,"[{""score"": ""0 - 1"", ""pct"": 13.5}, {""score"": ""1 - 1"", ""pct"": 12.540000000000001}, {""score"": ""1 - 2"", ""pct"": 9.26}]"
Czech Republic,Canada,Neutral,1.12,1.332,30.9,27.9,41.2,30.6,5.3,7.3,41.3,7.0,8.6,43.2,56.8,"[{""score"": ""1 - 1"", ""pct"": 12.65}, {""score"": ""0 - 1"", ""pct"": 11.469999999999999}, {""score"": ""1 - 0"", ""pct"": 9.790000000000001}]"
Czech Republic,Netherlands,Neutral,0.966,1.858,17.9,23.4,58.7,18.7,3.6,4.2,57.7,7.5,8.2,26.6,73.4,"[{""score"": ""0 - 1"", ""pct"": 12.22}, {""score"": ""1 - 1"", ""pct"": 10.32}, {""score"": ""1 - 2"", ""pct"": 10.23}]"
Czech Republic,Colombia,Neutral,0.844,1.791,16.4,23.8,59.9,16.0,3.1,4.2,60.0,7.6,9.0,23.3,76.7,"[{""score"": ""0 - 1"", ""pct"": 13.18}, {""score"": ""0 - 2"", ""pct"": 11.25}, {""score"": ""1 - 1"", ""pct"": 10.58}]"
Czech Republic,Scotland,Neutral,1.225,1.34,33.0,27.8,39.2,33.3,5.7,7.2,39.4,6.1,8.2,46.2,53.8,"[{""score"": ""1 - 1"", ""pct"": 12.97}, {""score"": ""0 - 1"", ""pct"": 10.95}, {""score"": ""1 - 0"", ""pct"": 9.19}]"
Czech Republic,Paraguay,Neutral,1.062,1.348,28.0,28.6,43.4,28.0,5.1,6.9,43.6,7.2,9.2,39.9,60.1,"[{""score"": ""1 - 1"", ""pct"": 13.3}, {""score"": ""0 - 1"", ""pct"": 12.25}, {""score"": ""0 - 0"", ""pct"": 9.75}]"
Czech Republic,Switzerland,Neutral,1.053,1.629,23.5,25.6,50.9,23.3,4.3,5.2,51.5,7.4,8.2,32.8,67.2,"[{""score"": ""1 - 1"", ""pct"": 11.67}, {""score"": ""0 - 1"", ""pct"": 11.66}, {""score"": ""1 - 2"", ""pct"": 9.45}]"
Czech Republic,Portugal,Neutral,0.866,1.935,14.4,23.0,62.6,14.9,2.5,3.5,63.2,7.5,8.4,20.9,79.1,"[{""score"": ""0 - 1"", ""pct"": 12.15}, {""score"": ""0 - 2"", ""pct"": 10.93}, {""score"": ""1 - 1"", ""pct"": 10.37}]"
Czech Republic,Argentina,Neutral,0.692,2.044,10.0,20.3,69.7,10.8,2.1,2.7,69.0,7.2,8.2,15.6,84.4,"[{""score"": ""0 - 1"", ""pct"": 14.16}, {""score"": ""0 - 2"", ""pct"": 13.07}, {""score"": ""1 - 2"", ""pct"": 9.4}]"
Czech Republic,Ecuador,Neutral,0.891,1.521,20.8,27.5,51.7,20.9,3.6,5.9,52.9,7.1,9.5,30.4,69.6,"[{""score"": ""0 - 1"", ""pct"": 13.73}, {""score"": ""1 - 1"", ""pct"": 12.25}, {""score"": ""0 - 0"", ""pct"": 10.459999999999999}]"
Czech Republic,South Africa,Neutral,1.451,0.979,47.4,28.6,24.0,48.1,7.6,9.4,24.1,4.6,6.2,65.1,34.9,"[{""score"": ""1 - 1"", ""pct"": 13.100000000000001}, {""score"": ""1 - 0"", ""pct"": 12.9}, {""score"": ""0 - 0"", ""pct"": 9.92}]"
Czech Republic,Bosnia and Herzegovina,Neutral,1.651,1.018,51.0,26.4,22.6,50.8,7.6,9.3,22.7,3.9,5.7,67.7,32.3,"[{""score"": ""1 - 1"", ""pct"": 11.360000000000001}, {""score"": ""1 - 0"", ""pct"": 11.16}, {""score"": ""2 - 1"", ""pct"": 9.81}]"
Czech Republic,France,Neutral,0.812,1.919,14.2,22.6,63.2,14.3,2.7,3.5,63.9,7.5,8.1,20.5,79.5,"[{""score"": ""0 - 1"", ""pct"": 13.489999999999998}, {""score"": ""0 - 2"", ""pct"": 11.93}, {""score"": ""1 - 1"", ""pct"": 10.280000000000001}]"
Czech Republic,England,Neutral,0.75,1.869,13.5,22.8,63.8,13.4,2.4,3.3,64.5,7.3,9.1,19.1,80.9,"[{""score"": ""0 - 1"", ""pct"": 14.02}, {""score"": ""0 - 2"", ""pct"": 12.18}, {""score"": ""1 - 1"", ""pct"": 10.209999999999999}]"
Czech Republic,Belgium,Neutral,0.994,1.79,19.2,24.9,55.9,19.7,3.4,4.3,56.9,7.3,8.4,27.4,72.6,"[{""score"": ""1 - 1"", ""pct"": 11.78}, {""score"": ""0 - 1"", ""pct"": 11.17}, {""score"": ""1 - 2"", ""pct"": 9.56}]"
Czech Republic,United States,Neutral,1.239,1.355,32.7,28.4,38.9,33.2,5.9,7.3,39.4,6.4,7.8,46.4,53.6,"[{""score"": ""1 - 1"", ""pct"": 12.950000000000001}, {""score"": ""0 - 1"", ""pct"": 10.39}, {""score"": ""1 - 0"", ""pct"": 9.06}]"
Czech Republic,Japan,Neutral,0.982,1.659,21.2,25.2,53.6,20.8,3.9,4.9,54.1,7.3,8.9,29.6,70.4,"[{""score"": ""0 - 1"", ""pct"": 12.16}, {""score"": ""1 - 1"", ""pct"": 11.23}, {""score"": ""1 - 2"", ""pct"": 9.73}]"
Czech Republic,Brazil,Neutral,0.815,2.043,13.3,20.7,66.0,13.5,2.6,3.0,65.6,7.6,7.7,19.1,81.0,"[{""score"": ""0 - 1"", ""pct"": 12.98}, {""score"": ""0 - 2"", ""pct"": 12.19}, {""score"": ""1 - 2"", ""pct"": 9.43}]"
Czech Republic,Sweden,Neutral,1.351,1.336,36.6,27.5,35.8,36.6,6.1,7.3,36.5,6.2,7.3,50.1,49.9,"[{""score"": ""1 - 1"", ""pct"": 12.879999999999999}, {""score"": ""1 - 0"", ""pct"": 9.180000000000001}, {""score"": ""0 - 1"", ""pct"": 8.93}]"
Czech Republic,Jordan,Neutral,1.467,1.194,44.1,26.6,29.3,43.0,6.6,8.3,30.1,5.4,6.7,57.9,42.1,"[{""score"": ""1 - 1"", ""pct"": 11.83}, {""score"": ""1 - 0"", ""pct"": 10.79}, {""score"": ""2 - 1"", ""pct"": 9.3}]"
Czech Republic,Senegal,Neutral,1.034,1.458,25.5,27.7,46.9,25.5,4.9,6.7,46.7,7.1,9.1,37.1,62.9,"[{""score"": ""0 - 1"", ""pct"": 12.740000000000002}, {""score"": ""1 - 1"", ""pct"": 12.19}, {""score"": ""1 - 2"", ""pct"": 9.73}]"
Czech Republic,Australia,Neutral,1.075,1.459,26.6,28.3,45.1,27.4,4.7,6.4,45.4,7.4,8.7,38.5,61.5,"[{""score"": ""1 - 1"", ""pct"": 13.16}, {""score"": ""0 - 1"", ""pct"": 11.55}, {""score"": ""1 - 2"", ""pct"": 9.33}]"
Czech Republic,Croatia,Neutral,1.036,1.655,23.1,26.2,50.8,23.1,4.3,5.4,51.0,7.5,8.8,32.8,67.2,"[{""score"": ""1 - 1"", ""pct"": 11.83}, {""score"": ""0 - 1"", ""pct"": 11.48}, {""score"": ""1 - 2"", ""pct"": 9.17}]"
Czech Republic,Uruguay,Neutral,0.9,1.59,20.9,25.9,53.2,19.4,3.6,5.7,53.7,7.3,10.3,28.7,71.3,"[{""score"": ""0 - 1"", ""pct"": 13.79}, {""score"": ""1 - 1"", ""pct"": 11.59}, {""score"": ""0 - 2"", ""pct"": 10.91}]"
Czech Republic,Saudi Arabia,Neutral,1.415,0.996,46.4,28.0,25.6,46.9,7.3,9.4,25.2,4.7,6.4,63.7,36.3,"[{""score"": ""1 - 0"", ""pct"": 13.34}, {""score"": ""1 - 1"", ""pct"": 12.41}, {""score"": ""0 - 0"", ""pct"": 9.94}]"
Czech Republic,Spain,Neutral,0.762,2.226,10.2,18.3,71.4,10.4,2.0,2.5,70.8,7.2,7.2,14.8,85.2,"[{""score"": ""0 - 2"", ""pct"": 12.19}, {""score"": ""0 - 1"", ""pct"": 11.44}, {""score"": ""1 - 2"", ""pct"": 9.22}]"
Czech Republic,Tunisia,Neutral,1.189,1.117,36.9,30.6,32.6,37.0,6.3,8.8,33.4,6.0,8.4,52.2,47.9,"[{""score"": ""1 - 1"", ""pct"": 13.819999999999999}, {""score"": ""1 - 0"", ""pct"": 11.76}, {""score"": ""0 - 0"", ""pct"": 11.16}]"
Czech Republic,Morocco,Neutral,0.843,1.627,18.9,25.7,55.4,18.3,3.9,4.9,55.8,7.6,9.6,27.1,72.9,"[{""score"": ""0 - 1"", ""pct"": 13.77}, {""score"": ""1 - 1"", ""pct"": 11.4}, {""score"": ""0 - 2"", ""pct"": 10.780000000000001}]"
Czech Republic,New Zealand,Neutral,1.496,0.947,49.9,26.7,23.3,49.6,7.0,9.7,23.0,4.5,6.2,66.3,33.7,"[{""score"": ""1 - 0"", ""pct"": 13.25}, {""score"": ""1 - 1"", ""pct"": 12.01}, {""score"": ""0 - 0"", ""pct"": 9.34}]"
Czech Republic,Qatar,Neutral,1.936,0.889,62.2,22.3,15.5,62.5,7.3,8.2,15.4,2.8,3.8,78.0,22.0,"[{""score"": ""1 - 0"", ""pct"": 11.450000000000001}, {""score"": ""2 - 0"", ""pct"": 10.870000000000001}, {""score"": ""2 - 1"", ""pct"": 10.280000000000001}]"
Czech Republic,Algeria,Neutral,1.129,1.483,27.9,27.0,45.1,28.4,5.1,6.8,43.6,6.9,9.1,40.4,59.6,"[{""score"": ""1 - 1"", ""pct"": 12.690000000000001}, {""score"": ""0 - 1"", ""pct"": 11.020000000000001}, {""score"": ""1 - 2"", ""pct"": 9.32}]"
Czech Republic,Haiti,Neutral,1.718,1.054,53.4,25.3,21.3,53.0,7.6,8.1,22.2,3.9,5.2,68.7,31.3,"[{""score"": ""1 - 1"", ""pct"": 11.43}, {""score"": ""1 - 0"", ""pct"": 11.110000000000001}, {""score"": ""2 - 1"", ""pct"": 10.290000000000001}]"
Czech Republic,Egypt,Neutral,1.115,1.185,32.4,30.8,36.9,33.4,5.7,8.9,36.5,6.6,8.9,48.0,52.0,"[{""score"": ""1 - 1"", ""pct"": 13.79}, {""score"": ""0 - 1"", ""pct"": 12.34}, {""score"": ""0 - 0"", ""pct"": 11.16}]"
Czech Republic,Iran,Neutral,1.064,1.481,26.2,27.1,46.7,26.3,4.9,6.3,46.2,6.9,9.3,37.6,62.4,"[{""score"": ""1 - 1"", ""pct"": 12.629999999999999}, {""score"": ""0 - 1"", ""pct"": 11.76}, {""score"": ""1 - 2"", ""pct"": 9.610000000000001}]"
Czech Republic,Germany,Neutral,1.001,2.005,17.0,22.2,60.7,16.8,3.3,3.8,61.2,7.3,7.7,23.9,76.1,"[{""score"": ""0 - 1"", ""pct"": 10.9}, {""score"": ""1 - 1"", ""pct"": 10.11}, {""score"": ""1 - 2"", ""pct"": 10.059999999999999}]"
Czech Republic,Curaçao,Neutral,2.047,0.857,65.2,21.1,13.6,65.4,7.5,7.6,13.6,2.7,3.1,80.6,19.4,"[{""score"": ""1 - 0"", ""pct"": 11.92}, {""score"": ""2 - 0"", ""pct"": 11.59}, {""score"": ""1 - 1"", ""pct"": 9.53}]"
Norway,Czech Republic,Neutral,1.678,1.101,51.3,25.1,23.6,50.3,7.6,8.4,24.4,4.1,5.1,66.4,33.6,"[{""score"": ""1 - 1"", ""pct"": 11.16}, {""score"": ""1 - 0"", ""pct"": 10.83}, {""score"": ""2 - 1"", ""pct"": 9.91}]"
Norway,Panama,Neutral,1.808,1.006,55.9,24.3,19.8,55.9,7.4,8.6,19.8,3.6,4.8,71.9,28.1,"[{""score"": ""1 - 0"", ""pct"": 11.52}, {""score"": ""1 - 1"", ""pct"": 11.21}, {""score"": ""2 - 1"", ""pct"": 10.02}]"
Norway,Austria,Neutral,1.443,1.17,43.1,27.0,29.9,43.5,6.6,8.0,30.0,5.2,6.6,58.1,41.9,"[{""score"": ""1 - 1"", ""pct"": 12.82}, {""score"": ""1 - 0"", ""pct"": 10.15}, {""score"": ""0 - 1"", ""pct"": 9.11}]"
Norway,Turkey,Neutral,1.434,1.317,39.0,28.1,33.0,38.6,5.9,8.2,34.0,6.3,7.0,52.7,47.3,"[{""score"": ""1 - 1"", ""pct"": 12.120000000000001}, {""score"": ""1 - 0"", ""pct"": 9.42}, {""score"": ""2 - 1"", ""pct"": 8.35}]"
Norway,Uzbekistan,Neutral,1.456,0.992,47.9,27.3,24.9,47.8,7.7,9.7,24.3,4.3,6.2,65.2,34.8,"[{""score"": ""1 - 0"", ""pct"": 13.139999999999999}, {""score"": ""1 - 1"", ""pct"": 12.379999999999999}, {""score"": ""0 - 0"", ""pct"": 9.54}]"
Norway,Ghana,Neutral,1.874,0.787,64.0,22.0,14.0,64.1,7.2,8.9,13.6,2.4,3.8,80.2,19.8,"[{""score"": ""1 - 0"", ""pct"": 13.5}, {""score"": ""2 - 0"", ""pct"": 12.34}, {""score"": ""1 - 1"", ""pct"": 10.31}]"
Norway,DR Congo,Neutral,1.552,0.887,52.9,27.2,20.0,52.9,7.6,9.4,20.5,3.9,5.7,69.9,30.1,"[{""score"": ""1 - 0"", ""pct"": 14.330000000000002}, {""score"": ""1 - 1"", ""pct"": 12.27}, {""score"": ""2 - 0"", ""pct"": 10.11}]"
Norway,South Korea,Neutral,1.422,1.159,42.5,27.9,29.6,42.0,6.9,8.2,30.4,5.2,7.3,57.2,42.8,"[{""score"": ""1 - 1"", ""pct"": 13.07}, {""score"": ""1 - 0"", ""pct"": 11.16}, {""score"": ""2 - 1"", ""pct"": 9.07}]"
Norway,Ivory Coast,Neutral,1.454,1.037,46.2,28.0,25.9,46.5,7.1,9.1,26.2,4.7,6.3,62.7,37.3,"[{""score"": ""1 - 0"", ""pct"": 12.82}, {""score"": ""1 - 1"", ""pct"": 12.620000000000001}, {""score"": ""0 - 0"", ""pct"": 9.700000000000001}]"
Norway,Cape Verde,Neutral,1.929,0.746,64.9,22.4,12.7,65.6,7.2,8.9,12.6,2.2,3.4,81.8,18.2,"[{""score"": ""1 - 0"", ""pct"": 13.71}, {""score"": ""2 - 0"", ""pct"": 12.520000000000001}, {""score"": ""1 - 1"", ""pct"": 9.84}]"
Norway,Iraq,Neutral,1.717,0.853,58.1,24.9,16.9,58.2,7.8,9.1,17.3,3.3,4.4,75.0,25.0,"[{""score"": ""1 - 0"", ""pct"": 13.18}, {""score"": ""1 - 1"", ""pct"": 11.25}, {""score"": ""2 - 0"", ""pct"": 11.17}]"
Norway,Mexico,Neutral,1.22,1.212,35.4,28.9,35.6,36.2,6.6,8.2,34.5,6.5,8.0,50.9,49.1,"[{""score"": ""1 - 1"", ""pct"": 12.809999999999999}, {""score"": ""0 - 1"", ""pct"": 10.65}, {""score"": ""0 - 0"", ""pct"": 10.17}]"
Norway,Canada,Neutral,1.418,1.074,43.5,28.0,28.5,44.5,6.4,9.3,27.7,5.2,6.9,60.3,39.7,"[{""score"": ""1 - 1"", ""pct"": 12.61}, {""score"": ""1 - 0"", ""pct"": 11.540000000000001}, {""score"": ""0 - 0"", ""pct"": 9.24}]"
Norway,Netherlands,Neutral,1.223,1.563,28.7,25.9,45.4,28.5,5.2,6.8,44.5,6.9,8.1,40.5,59.5,"[{""score"": ""1 - 1"", ""pct"": 11.85}, {""score"": ""0 - 1"", ""pct"": 10.35}, {""score"": ""1 - 2"", ""pct"": 9.51}]"
Norway,Colombia,Neutral,1.08,1.557,25.2,27.4,47.4,25.2,4.4,5.9,48.5,7.2,8.8,35.5,64.5,"[{""score"": ""1 - 1"", ""pct"": 12.57}, {""score"": ""0 - 1"", ""pct"": 11.64}, {""score"": ""1 - 2"", ""pct"": 9.53}]"
Norway,Scotland,Neutral,1.591,1.1,48.0,26.7,25.3,48.2,7.4,8.3,25.9,4.6,5.6,63.9,36.1,"[{""score"": ""1 - 1"", ""pct"": 12.5}, {""score"": ""1 - 0"", ""pct"": 10.93}, {""score"": ""2 - 1"", ""pct"": 9.58}]"
Norway,Paraguay,Neutral,1.366,1.107,41.5,28.4,30.1,42.3,6.9,8.7,29.6,5.0,7.5,57.9,42.1,"[{""score"": ""1 - 1"", ""pct"": 13.059999999999999}, {""score"": ""1 - 0"", ""pct"": 11.44}, {""score"": ""0 - 0"", ""pct"": 9.29}]"
Norway,Switzerland,Neutral,1.386,1.356,37.1,26.5,36.4,37.5,6.5,7.1,35.3,6.2,7.5,51.1,48.9,"[{""score"": ""1 - 1"", ""pct"": 12.139999999999999}, {""score"": ""2 - 1"", ""pct"": 9.04}, {""score"": ""0 - 1"", ""pct"": 8.959999999999999}]"
Norway,Portugal,Neutral,1.087,1.682,23.1,26.0,50.8,23.7,4.3,5.2,51.3,7.1,8.4,33.2,66.8,"[{""score"": ""1 - 1"", ""pct"": 11.95}, {""score"": ""0 - 1"", ""pct"": 11.14}, {""score"": ""1 - 2"", ""pct"": 9.82}]"
Norway,Argentina,Neutral,0.829,1.767,16.8,24.2,59.0,16.0,2.8,4.6,60.2,7.8,8.7,23.4,76.6,"[{""score"": ""0 - 1"", ""pct"": 13.309999999999999}, {""score"": ""0 - 2"", ""pct"": 11.33}, {""score"": ""1 - 1"", ""pct"": 10.86}]"
Norway,Ecuador,Neutral,1.086,1.306,30.4,28.7,40.9,29.9,5.4,7.5,41.1,6.5,9.6,42.8,57.2,"[{""score"": ""1 - 1"", ""pct"": 13.020000000000001}, {""score"": ""0 - 1"", ""pct"": 11.76}, {""score"": ""0 - 0"", ""pct"": 10.5}]"
Norway,South Africa,Neutral,1.792,0.814,60.7,23.9,15.4,60.6,7.8,9.1,14.9,3.2,4.4,77.5,22.5,"[{""score"": ""1 - 0"", ""pct"": 14.02}, {""score"": ""2 - 0"", ""pct"": 11.360000000000001}, {""score"": ""1 - 1"", ""pct"": 10.879999999999999}]"
Norway,Bosnia and Herzegovina,Neutral,2.011,0.819,66.5,20.8,12.7,66.4,7.0,7.6,13.4,2.5,3.1,81.0,19.0,"[{""score"": ""1 - 0"", ""pct"": 12.58}, {""score"": ""2 - 0"", ""pct"": 12.280000000000001}, {""score"": ""2 - 1"", ""pct"": 9.75}]"
Norway,France,Neutral,1.071,1.703,23.1,25.1,51.8,22.3,4.3,5.3,51.8,7.6,8.6,32.0,68.0,"[{""score"": ""0 - 1"", ""pct"": 11.14}, {""score"": ""1 - 1"", ""pct"": 10.83}, {""score"": ""1 - 2"", ""pct"": 9.969999999999999}]"
Norway,England,Neutral,0.969,1.619,21.4,25.8,52.8,21.4,4.3,5.6,51.5,7.8,9.5,31.2,68.8,"[{""score"": ""0 - 1"", ""pct"": 12.24}, {""score"": ""1 - 1"", ""pct"": 11.74}, {""score"": ""1 - 2"", ""pct"": 9.790000000000001}]"
Norway,Belgium,Neutral,1.25,1.484,31.1,27.2,41.7,31.1,5.6,6.8,41.3,7.0,8.2,43.6,56.4,"[{""score"": ""1 - 1"", ""pct"": 12.629999999999999}, {""score"": ""0 - 1"", ""pct"": 9.9}, {""score"": ""1 - 2"", ""pct"": 8.59}]"
Norway,United States,Neutral,1.65,1.1,49.6,26.2,24.2,50.6,7.1,8.6,24.0,4.2,5.4,66.4,33.6,"[{""score"": ""1 - 1"", ""pct"": 11.940000000000001}, {""score"": ""1 - 0"", ""pct"": 10.870000000000001}, {""score"": ""2 - 1"", ""pct"": 9.229999999999999}]"
Norway,Japan,Neutral,1.193,1.414,29.9,28.3,41.7,31.7,5.5,7.4,40.2,7.0,8.3,44.6,55.4,"[{""score"": ""1 - 1"", ""pct"": 12.35}, {""score"": ""0 - 1"", ""pct"": 10.489999999999998}, {""score"": ""1 - 0"", ""pct"": 9.01}]"
Norway,Brazil,Neutral,1.018,1.772,21.4,24.6,53.9,20.4,3.9,5.0,54.5,7.7,8.6,29.2,70.8,"[{""score"": ""1 - 1"", ""pct"": 10.85}, {""score"": ""0 - 1"", ""pct"": 10.69}, {""score"": ""1 - 2"", ""pct"": 9.55}]"
Norway,Sweden,Neutral,1.754,1.156,50.2,24.4,25.4,51.8,7.6,7.2,23.7,4.5,5.2,66.6,33.4,"[{""score"": ""1 - 1"", ""pct"": 11.29}, {""score"": ""1 - 0"", ""pct"": 9.99}, {""score"": ""2 - 1"", ""pct"": 9.56}]"
Norway,Jordan,Neutral,1.846,0.977,57.8,23.9,18.3,57.1,7.0,8.4,19.2,3.6,4.7,72.5,27.5,"[{""score"": ""1 - 0"", ""pct"": 11.790000000000001}, {""score"": ""1 - 1"", ""pct"": 10.83}, {""score"": ""2 - 1"", ""pct"": 10.100000000000001}]"
Norway,Senegal,Neutral,1.308,1.189,38.0,28.2,33.8,38.6,6.3,8.3,33.3,5.8,7.6,53.3,46.7,"[{""score"": ""1 - 1"", ""pct"": 13.03}, {""score"": ""1 - 0"", ""pct"": 11.04}, {""score"": ""0 - 1"", ""pct"": 9.85}]"
Norway,Australia,Neutral,1.32,1.174,39.8,28.1,32.1,39.4,6.3,8.8,32.3,5.4,7.8,54.5,45.5,"[{""score"": ""1 - 1"", ""pct"": 12.47}, {""score"": ""1 - 0"", ""pct"": 11.35}, {""score"": ""0 - 1"", ""pct"": 9.370000000000001}]"
Norway,Croatia,Neutral,1.266,1.377,34.2,27.7,38.2,32.9,6.1,7.3,39.4,6.1,8.3,46.2,53.8,"[{""score"": ""1 - 1"", ""pct"": 12.91}, {""score"": ""0 - 1"", ""pct"": 9.87}, {""score"": ""1 - 0"", ""pct"": 9.76}]"
