Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,99.22999999999999,73.66,52.25,39.519999999999996,8.32,26.740000000000002,16.57
Argentina,98.33,66.36,51.790000000000006,36.35,9.02,22.71,14.41
Brazil,99.21,75.56,56.699999999999996,38.18,10.18,23.54,14.08
England,97.72,70.78999999999999,47.99,29.659999999999997,7.55,17.75,9.86
Portugal,95.21,68.81,45.28,26.450000000000003,7.02,14.99,7.779999999999999
France,95.95,69.28999999999999,43.86,27.42,7.489999999999999,14.42,7.380000000000001
Belgium,96.77,71.7,45.72,20.549999999999997,5.3,10.5,4.58
Germany,99.08,68.33,38.25,22.2,6.569999999999999,10.22,4.58
Colombia,91.57,59.41,34.17,18.279999999999998,4.7,9.5,4.44
Netherlands,89.52,46.37,32.16,17.18,4.51,8.129999999999999,3.3000000000000003
Uruguay,92.4,43.7,24.759999999999998,13.11,3.7699999999999996,5.57,2.1399999999999997
Morocco,91.25,49.419999999999995,29.360000000000003,14.57,3.5999999999999996,5.89,2.02
Croatia,91.47999999999999,47.94,22.12,10.040000000000001,2.6,3.92,1.49
Switzerland,95.1,61.809999999999995,26.55,10.59,2.52,4.03,1.44
Ecuador,92.99,50.29,21.07,9.27,2.53,3.29,1.0999999999999999
Norway,80.07,38.379999999999995,15.49,5.8500000000000005,1.3299999999999998,1.9,0.66
United States,75.42999999999999,41.02,15.68,4.6899999999999995,1.11,1.71,0.5499999999999999
Mexico,91.13,54.6,22.81,6.890000000000001,1.63,2.15,0.52
Japan,72.31,26.240000000000002,13.089999999999998,5.1,1.24,1.7000000000000002,0.48
Senegal,72.98,31.430000000000003,11.799999999999999,4.25,1.04,1.25,0.35000000000000003
Austria,75.5,25.3,9.78,3.74,0.9400000000000001,1.06,0.3
Iran,79.38,38.74,13.389999999999999,3.7900000000000005,0.8,1.08,0.27
Turkey,69.99,35.32,11.99,3.2800000000000002,0.7100000000000001,0.9400000000000001,0.27
Sweden,62.82,19.61,8.77,3.19,0.69,0.9400000000000001,0.22999999999999998
Paraguay,64.09,30.17,9.29,2.69,0.51,0.8,0.2
Australia,65.16,30.3,9.66,2.6100000000000003,0.38999999999999996,0.7000000000000001,0.18
Ivory Coast,79.91,30.0,8.18,2.1,0.45999999999999996,0.5,0.13
Algeria,66.59,19.82,6.959999999999999,1.95,0.41000000000000003,0.5499999999999999,0.13
Canada,89.74,44.74,13.01,2.9000000000000004,0.44999999999999996,0.59,0.11
Czech Republic,71.37,33.019999999999996,10.56,2.53,0.5700000000000001,0.54,0.11
South Korea,69.78999999999999,31.19,10.24,2.56,0.5700000000000001,0.5599999999999999,0.09
Scotland,72.95,25.240000000000002,9.700000000000001,2.76,0.5,0.54,0.08
Tunisia,45.989999999999995,11.5,3.92,1.2,0.29,0.31,0.06
Egypt,69.35,28.27,8.14,1.94,0.35000000000000003,0.52,0.05
Saudi Arabia,32.97,5.88,1.18,0.2,0.02,0.05,0.03
Ghana,40.949999999999996,6.819999999999999,1.55,0.33,0.04,0.05,0.01
Uzbekistan,38.9,9.520000000000001,2.42,0.5700000000000001,0.11,0.15,0.01
DR Congo,33.53,7.670000000000001,1.7999999999999998,0.37,0.09,0.06,0.01
Qatar,27.900000000000002,5.42,0.52,0.01,0.0,0.0,0.0
Haiti,8.03,0.51,0.09,0.01,0.0,0.0,0.0
Cape Verde,24.38,3.82,0.6,0.08,0.02,0.01,0.0
Panama,27.939999999999998,3.6999999999999997,0.64,0.12,0.01,0.0,0.0
Iraq,20.39,3.4099999999999997,0.36,0.06,0.0,0.0,0.0
New Zealand,20.95,3.29,0.27,0.0,0.0,0.0,0.0
Curaçao,5.04,0.25,0.02,0.0,0.0,0.0,0.0
Bosnia and Herzegovina,54.67999999999999,16.49,3.1300000000000003,0.47000000000000003,0.01,0.06999999999999999,0.0
South Africa,39.68,11.360000000000001,2.37,0.31,0.03,0.04,0.0
Jordan,24.3,3.53,0.5599999999999999,0.08,0.0,0.03,0.0
