home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
United States,Tunisia,Neutral,1.082,1.054,35.3,31.2,33.5,34.7,6.3,9.7,33.9,5.8,9.6,50.7,49.3,"[{""score"": ""1 - 1"", ""pct"": 13.55}, {""score"": ""0 - 0"", ""pct"": 13.16}, {""score"": ""1 - 0"", ""pct"": 12.91}]"
United States,Colombia,Neutral,0.78,1.815,14.2,23.3,62.5,14.3,3.0,3.9,62.1,7.6,9.0,21.3,78.7,"[{""score"": ""0 - 1"", ""pct"": 14.499999999999998}, {""score"": ""0 - 2"", ""pct"": 11.99}, {""score"": ""1 - 1"", ""pct"": 10.549999999999999}]"
United States,Uzbekistan,Neutral,1.209,0.978,40.8,31.2,28.0,40.8,6.5,10.5,28.4,5.7,8.1,57.8,42.2,"[{""score"": ""1 - 0"", ""pct"": 13.96}, {""score"": ""1 - 1"", ""pct"": 13.639999999999999}, {""score"": ""0 - 0"", ""pct"": 12.22}]"
United States,Panama,Neutral,1.656,0.973,52.7,25.6,21.7,53.7,7.4,8.8,20.9,3.9,5.3,69.9,30.1,"[{""score"": ""1 - 0"", ""pct"": 11.95}, {""score"": ""1 - 1"", ""pct"": 11.76}, {""score"": ""2 - 1"", ""pct"": 10.24}]"
United States,Qatar,Neutral,1.993,0.962,60.6,22.8,16.6,61.3,7.3,7.9,16.9,3.1,3.5,76.5,23.5,"[{""score"": ""2 - 0"", ""pct"": 10.48}, {""score"": ""1 - 1"", ""pct"": 10.209999999999999}, {""score"": ""1 - 0"", ""pct"": 10.05}]"
United States,Australia,Neutral,1.069,1.264,30.5,29.7,39.8,31.0,5.6,7.3,40.0,6.6,9.5,43.9,56.1,"[{""score"": ""1 - 1"", ""pct"": 12.97}, {""score"": ""0 - 1"", ""pct"": 11.84}, {""score"": ""0 - 0"", ""pct"": 11.07}]"
United States,Haiti,Neutral,2.209,0.858,68.6,19.6,11.7,68.7,7.4,6.7,11.9,2.7,2.6,82.9,17.1,"[{""score"": ""2 - 0"", ""pct"": 11.37}, {""score"": ""1 - 0"", ""pct"": 10.86}, {""score"": ""2 - 1"", ""pct"": 9.48}]"
United States,Norway,Neutral,1.126,1.71,24.3,24.7,51.0,24.6,4.6,5.5,50.4,6.8,8.1,34.7,65.3,"[{""score"": ""1 - 1"", ""pct"": 11.21}, {""score"": ""0 - 1"", ""pct"": 11.09}, {""score"": ""1 - 2"", ""pct"": 9.59}]"
United States,Switzerland,Neutral,1.01,1.715,21.1,24.1,54.8,20.8,3.8,5.5,53.9,7.5,8.5,30.0,70.0,"[{""score"": ""0 - 1"", ""pct"": 12.22}, {""score"": ""1 - 1"", ""pct"": 11.24}, {""score"": ""1 - 2"", ""pct"": 9.39}]"
United States,France,Neutral,0.745,2.049,11.5,19.8,68.8,11.2,2.1,2.7,69.0,7.0,8.0,16.0,84.1,"[{""score"": ""0 - 1"", ""pct"": 13.489999999999998}, {""score"": ""0 - 2"", ""pct"": 13.100000000000001}, {""score"": ""1 - 2"", ""pct"": 9.33}]"
United States,Spain,Neutral,0.69,2.476,7.4,15.3,77.3,7.0,1.4,2.0,77.8,6.1,5.6,10.5,89.5,"[{""score"": ""0 - 2"", ""pct"": 12.57}, {""score"": ""0 - 1"", ""pct"": 10.95}, {""score"": ""0 - 3"", ""pct"": 10.56}]"
United States,Cape Verde,Neutral,1.548,0.81,53.7,27.6,18.7,54.6,7.4,10.1,18.9,4.0,5.1,72.0,28.0,"[{""score"": ""1 - 0"", ""pct"": 14.790000000000001}, {""score"": ""1 - 1"", ""pct"": 12.57}, {""score"": ""0 - 0"", ""pct"": 10.42}]"
United States,Belgium,Neutral,0.917,2.027,15.4,21.6,63.0,14.1,3.1,3.6,63.7,7.8,7.7,20.8,79.2,"[{""score"": ""0 - 1"", ""pct"": 11.57}, {""score"": ""0 - 2"", ""pct"": 10.299999999999999}, {""score"": ""1 - 2"", ""pct"": 10.23}]"
