group,team,points,goals_for,goals_against,goals_diff,h2h_pts,h2h_gd,h2h_gf,position
A,Mexico,7,5,2,3,1,0,1,1
A,South Korea,7,5,3,2,1,0,1,2
A,Czech Republic,1,3,5,-2,1,0,1,3
A,South Africa,1,2,5,-3,1,0,1,4
B,Canada,5,4,3,1,1,0,1,1
B,Switzerland,5,4,3,1,1,0,1,2
B,Bosnia and Herzegovina,2,3,4,-1,1,0,1,3
B,Qatar,2,3,4,-1,1,0,1,4
C,Brazil,7,6,3,3,1,0,1,1
C,Morocco,7,5,3,2,1,0,1,2
C,Scotland,3,3,4,-1,0,0,0,3
C,Haiti,0,2,6,-4,0,0,0,4
D,United States,7,7,3,4,0,0,0,1
D,Australia,5,4,2,2,0,0,0,2
D,Paraguay,2,3,6,-3,0,0,0,3
D,Turkey,1,2,5,-3,0,0,0,4
E,Germany,7,10,3,7,0,0,0,1
E,Ivory Coast,6,4,3,1,0,0,0,2
E,Ecuador,4,3,3,0,0,0,0,3
E,Curaçao,0,3,11,-8,0,0,0,4
F,Netherlands,7,6,4,2,1,0,2,1
F,Japan,7,6,4,2,1,0,2,2
F,Sweden,3,7,5,2,0,0,0,3
F,Tunisia,0,3,9,-6,0,0,0,4
G,Belgium,5,4,3,1,0,0,0,1
G,Iran,3,4,4,0,1,0,1,2
G,Egypt,3,3,3,0,1,0,1,3
G,New Zealand,2,4,5,-1,0,0,0,4
H,Spain,7,4,2,2,0,0,0,1
H,Uruguay,4,4,4,0,0,0,0,2
H,Saudi Arabia,2,3,4,-1,1,0,1,3
H,Cape Verde,2,2,3,-1,1,0,1,4
I,France,9,7,3,4,0,0,0,1
I,Norway,4,6,4,2,1,0,1,2
I,Senegal,4,4,5,-1,1,0,1,3
I,Iraq,0,3,8,-5,0,0,0,4
J,Argentina,9,7,2,5,0,0,0,1
J,Austria,4,5,4,1,1,0,1,2
J,Algeria,4,3,5,-2,1,0,1,3
J,Jordan,0,3,7,-4,0,0,0,4
K,Colombia,7,6,3,3,0,0,0,1
K,Portugal,5,4,3,1,0,0,0,2
K,DR Congo,2,3,4,-1,0,0,0,3
K,Uzbekistan,1,3,6,-3,0,0,0,4
L,England,9,8,4,4,0,0,0,1
L,Croatia,6,6,6,0,0,0,0,2
L,Ghana,3,3,4,-1,0,0,0,3
L,Panama,0,2,5,-3,0,0,0,4
