Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Argentina,99.65,72.37,55.769999999999996,40.75,9.68,27.43,18.38
Spain,93.01,64.1,46.35,34.89,7.5,23.62,14.59
England,99.52,72.05,45.48,28.43,8.06,16.03,9.51
France,99.06,72.06,46.63,29.79,7.8,16.82,9.17
Brazil,95.65,64.52,42.96,25.929999999999996,7.41,14.37,8.09
Colombia,98.24000000000001,68.76,42.970000000000006,22.830000000000002,6.0,12.34,6.239999999999999
Portugal,81.04,53.55,30.759999999999998,17.849999999999998,4.5600000000000005,9.42,4.66
Germany,99.59,60.370000000000005,30.869999999999997,16.54,4.25,7.870000000000001,3.52
Belgium,87.75,57.29,30.320000000000004,13.56,3.36,6.660000000000001,2.8899999999999997
Morocco,91.13,53.21,31.369999999999997,15.190000000000001,3.7199999999999998,6.83,2.67
Netherlands,89.2,43.39,26.25,12.46,3.47,5.7700000000000005,2.29
Mexico,99.17,66.47,33.03,14.499999999999998,3.71,5.83,2.2800000000000002
Japan,86.47,40.62,23.3,11.75,3.1399999999999997,5.11,2.11
Norway,96.77,50.63999999999999,23.16,10.34,2.68,3.88,1.6199999999999999
Uruguay,76.42999999999999,33.32,17.47,8.73,2.32,3.66,1.48
United States,95.78999999999999,58.620000000000005,26.47,10.61,2.56,4.35,1.48
Ecuador,77.58,37.88,18.68,7.960000000000001,1.9800000000000002,3.44,1.35
Australia,95.03,56.410000000000004,23.810000000000002,8.99,2.18,3.66,1.1900000000000002
Switzerland,82.19,45.14,19.689999999999998,7.199999999999999,1.8499999999999999,2.76,1.03
Croatia,77.34,36.71,15.229999999999999,7.16,1.71,2.81,0.9299999999999999
Austria,92.07,35.510000000000005,15.82,6.59,1.41,2.79,0.88
South Korea,94.41000000000001,53.36,20.61,7.180000000000001,1.68,2.45,0.7000000000000001
Iran,66.64,35.61,13.930000000000001,5.09,1.16,2.07,0.53
Ivory Coast,95.45,37.18,12.120000000000001,4.760000000000001,1.21,1.47,0.51
Canada,87.77000000000001,46.25,19.259999999999998,5.55,1.27,1.47,0.42
Senegal,57.31,23.84,10.17,3.51,0.6799999999999999,1.31,0.36
Algeria,52.900000000000006,20.580000000000002,8.41,3.09,0.64,1.01,0.26
Scotland,82.69,29.709999999999997,10.63,3.42,0.83,0.8500000000000001,0.16
Turkey,43.120000000000005,19.05,6.909999999999999,2.67,0.7100000000000001,0.8500000000000001,0.16
Paraguay,34.949999999999996,15.32,5.319999999999999,1.97,0.43,0.5599999999999999,0.13
Egypt,70.53,28.37,8.86,2.29,0.5,0.64,0.12
Sweden,94.41000000000001,24.77,8.94,2.6100000000000003,0.63,0.72,0.11
DR Congo,47.23,13.950000000000001,3.5000000000000004,0.98,0.19,0.21,0.04
Czech Republic,44.6,17.52,5.970000000000001,1.4500000000000002,0.22,0.36,0.03
Uzbekistan,33.1,10.38,2.8899999999999997,0.97,0.16,0.19,0.03
South Africa,24.959999999999997,7.739999999999999,1.72,0.31,0.06,0.06999999999999999,0.02
Saudi Arabia,49.43,9.31,2.07,0.41000000000000003,0.06,0.09,0.02
Ghana,68.58999999999999,14.08,2.8000000000000003,0.4,0.04,0.03,0.02
Jordan,13.59,3.52,0.76,0.13,0.03,0.02,0.01
Panama,15.2,3.66,0.9900000000000001,0.15,0.02,0.06,0.01
Curaçao,5.63,0.53,0.04,0.0,0.0,0.0,0.0
Haiti,5.9799999999999995,1.01,0.16,0.02,0.0,0.0,0.0
Qatar,38.32,6.52,1.0,0.08,0.01,0.01,0.0
New Zealand,35.07,8.99,1.4200000000000002,0.13999999999999999,0.02,0.02,0.0
Cape Verde,44.05,6.84,1.41,0.22,0.01,0.01,0.0
Bosnia and Herzegovina,58.15,13.950000000000001,2.62,0.33999999999999997,0.03,0.05,0.0
Iraq,11.41,2.68,0.44999999999999996,0.05,0.01,0.02,0.0
Tunisia,11.83,2.29,0.65,0.16,0.05,0.01,0.0
