team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
England,7.81,5.14,89.8,8.8,1.0,99.6
Argentina,7.63,5.91,82.1,16.3,1.2,99.6
France,7.16,4.13,67.2,28.9,2.8,99.0
Mexico,6.88,3.58,66.5,25.6,6.9,99.0
Colombia,6.48,3.03,65.2,24.2,8.9,98.3
Germany,6.34,6.88,58.9,26.4,14.4,99.6
Ivory Coast,6.18,1.67,31.8,52.7,11.1,95.6
United States,5.94,3.31,50.7,33.4,11.9,96.0
Australia,5.84,2.14,40.4,42.2,12.2,94.8
South Korea,5.83,1.14,29.0,55.0,10.4,94.5
Brazil,5.69,3.16,52.9,30.6,12.5,96.0
Norway,5.43,2.55,29.3,47.7,19.9,96.8
Spain,5.36,2.44,61.2,25.5,6.7,93.4
Morocco,5.14,2.02,29.8,40.9,19.9,90.7
Austria,5.13,1.12,15.7,57.0,20.6,93.2
Netherlands,5.04,1.86,39.2,33.2,16.4,88.8
Belgium,4.94,1.79,49.8,25.0,13.8,88.5
Japan,4.87,1.54,31.0,37.2,19.1,87.3
Sweden,4.77,2.54,28.5,24.2,41.7,94.4
Canada,4.75,1.56,45.8,30.1,11.7,87.6
Scotland,4.58,-0.66,16.9,26.5,39.7,83.2
Switzerland,4.46,1.05,37.0,35.6,10.0,82.5
Portugal,4.43,1.0,27.5,41.4,12.8,81.8
Croatia,4.1,-0.07,2.8,59.1,15.3,77.2
Ghana,4.06,-1.65,6.1,28.0,34.5,68.6
Uruguay,4.0,0.35,26.1,38.3,11.9,76.3
Egypt,3.9,0.25,18.9,28.0,23.7,70.6
Ecuador,3.73,0.6,9.1,19.2,50.1,78.4
Iran,3.63,-0.12,24.6,31.0,9.9,65.5
Bosnia and Herzegovina,3.24,-0.8,11.2,20.8,25.7,57.7
Algeria,3.17,-2.39,1.5,25.0,26.8,53.3
Senegal,3.15,-1.44,2.7,21.5,32.7,56.9
DR Congo,2.86,-1.18,5.7,19.7,20.9,46.4
Saudi Arabia,2.84,-1.58,7.1,20.0,21.1,48.2
Cape Verde,2.81,-1.21,5.6,16.2,22.7,44.5
Turkey,2.67,-2.09,5.4,13.5,24.0,42.9
Qatar,2.59,-1.82,6.0,13.6,19.7,39.2
New Zealand,2.47,-1.91,6.7,16.0,12.8,35.5
Paraguay,2.42,-3.36,3.5,10.9,19.8,34.2
Czech Republic,2.41,-1.5,3.6,10.1,32.3,46.0
Uzbekistan,2.16,-2.85,1.6,14.7,16.4,32.6
South Africa,1.82,-3.23,0.9,9.2,14.8,25.0
Tunisia,1.37,-5.95,1.2,5.5,4.9,11.6
Iraq,1.27,-5.24,0.7,1.9,9.0,11.7
Panama,1.21,-3.42,1.3,4.0,9.4,14.8
Jordan,1.17,-4.65,0.7,1.6,9.6,11.9
Curaçao,0.87,-9.15,0.1,1.8,3.0,4.9
Haiti,0.76,-4.52,0.4,2.0,3.3,5.7
