home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Cape Verde,Iraq,Neutral,0.981,1.142,30.5,31.0,38.5,29.4,5.8,8.7,39.0,6.6,10.5,43.9,56.1,"[{""score"": ""0 - 1"", ""pct"": 13.48}, {""score"": ""1 - 1"", ""pct"": 13.38}, {""score"": ""0 - 0"", ""pct"": 13.209999999999999}]"
Cape Verde,Ghana,Neutral,1.055,1.14,31.8,31.1,37.0,32.4,5.8,8.6,37.3,6.4,9.5,46.8,53.2,"[{""score"": ""1 - 1"", ""pct"": 13.87}, {""score"": ""0 - 1"", ""pct"": 12.690000000000001}, {""score"": ""0 - 0"", ""pct"": 12.41}]"
Cape Verde,Belgium,Neutral,0.692,2.096,9.4,20.1,70.5,10.3,1.9,2.6,70.4,7.4,7.4,14.8,85.2,"[{""score"": ""0 - 2"", ""pct"": 13.5}, {""score"": ""0 - 1"", ""pct"": 13.41}, {""score"": ""1 - 2"", ""pct"": 9.75}]"
Cape Verde,Croatia,Neutral,0.725,1.865,12.6,21.7,65.7,13.3,2.5,3.7,64.3,7.3,8.8,19.5,80.5,"[{""score"": ""0 - 1"", ""pct"": 13.99}, {""score"": ""0 - 2"", ""pct"": 13.18}, {""score"": ""1 - 2"", ""pct"": 10.17}]"
Cape Verde,Norway,Neutral,0.74,1.926,13.0,21.4,65.6,12.7,2.3,3.2,65.3,7.7,8.8,18.2,81.8,"[{""score"": ""0 - 1"", ""pct"": 14.24}, {""score"": ""0 - 2"", ""pct"": 12.83}, {""score"": ""1 - 1"", ""pct"": 9.26}]"
Cape Verde,Tunisia,Neutral,0.963,1.204,28.7,30.4,40.9,28.6,5.2,8.3,40.6,6.7,10.5,42.1,57.9,"[{""score"": ""0 - 1"", ""pct"": 13.76}, {""score"": ""1 - 1"", ""pct"": 13.600000000000001}, {""score"": ""0 - 0"", ""pct"": 12.27}]"
Cape Verde,Colombia,Neutral,0.598,2.182,7.5,17.5,75.0,7.6,1.6,1.8,74.7,7.0,7.3,11.1,89.0,"[{""score"": ""0 - 2"", ""pct"": 14.62}, {""score"": ""0 - 1"", ""pct"": 14.49}, {""score"": ""0 - 3"", ""pct"": 10.549999999999999}]"
Cape Verde,United States,Neutral,0.886,1.644,19.1,25.6,55.3,18.5,3.6,5.2,55.7,7.8,9.3,27.2,72.8,"[{""score"": ""0 - 1"", ""pct"": 13.23}, {""score"": ""1 - 1"", ""pct"": 11.53}, {""score"": ""0 - 2"", ""pct"": 11.19}]"
Cape Verde,Saudi Arabia,Neutral,0.97,1.159,28.9,31.7,39.4,29.1,5.1,9.1,39.6,6.8,10.4,43.2,56.8,"[{""score"": ""0 - 1"", ""pct"": 13.8}, {""score"": ""0 - 0"", ""pct"": 13.750000000000002}, {""score"": ""1 - 1"", ""pct"": 13.66}]"
Cape Verde,Netherlands,Neutral,0.673,2.121,9.4,18.7,71.9,9.4,1.8,2.3,72.1,7.2,7.1,13.5,86.5,"[{""score"": ""0 - 2"", ""pct"": 14.2}, {""score"": ""0 - 1"", ""pct"": 13.66}, {""score"": ""0 - 3"", ""pct"": 9.53}]"
Cape Verde,Egypt,Neutral,0.818,1.415,20.6,28.8,50.6,20.2,3.9,5.8,51.4,7.1,11.5,30.0,70.0,"[{""score"": ""0 - 1"", ""pct"": 15.06}, {""score"": ""1 - 1"", ""pct"": 12.45}, {""score"": ""0 - 0"", ""pct"": 11.559999999999999}]"
Cape Verde,Algeria,Neutral,0.817,1.735,16.3,25.0,58.7,16.6,3.2,4.1,59.5,7.6,9.1,23.9,76.1,"[{""score"": ""0 - 1"", ""pct"": 14.280000000000001}, {""score"": ""1 - 1"", ""pct"": 11.600000000000001}, {""score"": ""0 - 2"", ""pct"": 11.39}]"
Cape Verde,Czech Republic,Neutral,0.921,1.537,21.1,27.0,51.9,21.5,3.8,5.7,52.2,7.2,9.6,31.0,69.0,"[{""score"": ""0 - 1"", ""pct"": 13.370000000000001}, {""score"": ""1 - 1"", ""pct"": 12.120000000000001}, {""score"": ""1 - 2"", ""pct"": 9.91}]"
Cape Verde,Ecuador,Neutral,0.606,1.692,12.3,24.8,62.9,11.7,2.3,4.0,63.6,8.1,10.2,18.0,82.0,"[{""score"": ""0 - 1"", ""pct"": 16.75}, {""score"": ""0 - 2"", ""pct"": 13.61}, {""score"": ""0 - 0"", ""pct"": 11.34}]"
Cape Verde,Morocco,Neutral,0.576,1.756,10.2,23.3,66.5,10.3,1.9,3.5,66.3,7.5,10.5,15.7,84.3,"[{""score"": ""0 - 1"", ""pct"": 17.37}, {""score"": ""0 - 2"", ""pct"": 14.78}, {""score"": ""0 - 0"", ""pct"": 10.440000000000001}]"
Cape Verde,Spain,Neutral,0.542,2.512,4.9,13.7,81.4,5.5,1.0,1.3,80.8,6.0,5.5,7.7,92.3,"[{""score"": ""0 - 2"", ""pct"": 14.41}, {""score"": ""0 - 1"", ""pct"": 12.75}, {""score"": ""0 - 3"", ""pct"": 12.31}]"
Cape Verde,Mexico,Neutral,0.665,1.713,13.4,24.0,62.5,13.2,2.5,3.7,62.7,7.8,10.1,19.5,80.5,"[{""score"": ""0 - 1"", ""pct"": 16.88}, {""score"": ""0 - 2"", ""pct"": 13.270000000000001}, {""score"": ""1 - 1"", ""pct"": 10.84}]"
Cape Verde,South Korea,Neutral,0.763,1.616,16.4,25.4,58.1,16.7,3.1,5.0,57.5,7.9,9.9,24.8,75.2,"[{""score"": ""0 - 1"", ""pct"": 15.53}, {""score"": ""0 - 2"", ""pct"": 11.48}, {""score"": ""1 - 1"", ""pct"": 11.360000000000001}]"
Cape Verde,Australia,Neutral,0.695,1.66,14.2,24.5,61.3,13.7,2.8,4.3,61.0,8.0,10.1,20.8,79.2,"[{""score"": ""0 - 1"", ""pct"": 16.5}, {""score"": ""0 - 2"", ""pct"": 12.01}, {""score"": ""1 - 1"", ""pct"": 10.92}]"
Cape Verde,Haiti,Neutral,1.208,1.194,36.3,28.5,35.1,35.9,6.0,8.6,34.9,5.9,8.7,50.5,49.5,"[{""score"": ""1 - 1"", ""pct"": 12.55}, {""score"": ""1 - 0"", ""pct"": 11.28}, {""score"": ""0 - 1"", ""pct"": 10.489999999999998}]"
Cape Verde,Senegal,Neutral,0.746,1.649,15.3,25.4,59.3,15.4,3.0,4.6,59.8,7.4,9.8,23.0,77.0,"[{""score"": ""0 - 1"", ""pct"": 15.86}, {""score"": ""0 - 2"", ""pct"": 12.139999999999999}, {""score"": ""1 - 1"", ""pct"": 10.8}]"
Cape Verde,Portugal,Neutral,0.631,2.184,8.5,17.6,73.9,8.0,1.8,2.1,73.9,7.3,7.0,11.8,88.2,"[{""score"": ""0 - 2"", ""pct"": 14.67}, {""score"": ""0 - 1"", ""pct"": 13.170000000000002}, {""score"": ""0 - 3"", ""pct"": 10.35}]"
Cape Verde,Switzerland,Neutral,0.772,1.858,13.5,23.7,62.8,14.1,2.7,4.2,62.6,7.4,9.0,21.1,78.9,"[{""score"": ""0 - 1"", ""pct"": 13.36}, {""score"": ""0 - 2"", ""pct"": 12.41}, {""score"": ""1 - 1"", ""pct"": 10.35}]"
Cape Verde,Sweden,Neutral,0.955,1.722,19.7,25.1,55.2,19.3,3.8,5.1,55.9,7.4,8.5,28.2,71.8,"[{""score"": ""0 - 1"", ""pct"": 12.16}, {""score"": ""1 - 1"", ""pct"": 11.59}, {""score"": ""0 - 2"", ""pct"": 9.81}]"
Cape Verde,England,Neutral,0.537,2.273,6.4,15.8,77.7,6.2,1.3,1.7,76.8,6.9,7.0,9.2,90.8,"[{""score"": ""0 - 2"", ""pct"": 15.690000000000001}, {""score"": ""0 - 1"", ""pct"": 14.52}, {""score"": ""0 - 3"", ""pct"": 11.03}]"
Cape Verde,Turkey,Neutral,0.829,1.792,15.9,23.6,60.5,15.4,3.1,4.5,60.2,7.8,9.0,23.0,77.0,"[{""score"": ""0 - 1"", ""pct"": 13.719999999999999}, {""score"": ""0 - 2"", ""pct"": 11.44}, {""score"": ""1 - 1"", ""pct"": 10.91}]"
Cape Verde,Uruguay,Neutral,0.616,1.672,12.5,24.0,63.5,12.4,2.5,3.9,63.5,7.5,10.1,18.9,81.1,"[{""score"": ""0 - 1"", ""pct"": 17.349999999999998}, {""score"": ""0 - 2"", ""pct"": 13.900000000000002}, {""score"": ""0 - 0"", ""pct"": 10.780000000000001}]"
Cape Verde,Qatar,Neutral,1.332,1.05,43.0,29.1,27.9,42.2,6.8,9.5,28.7,4.8,8.0,58.6,41.5,"[{""score"": ""1 - 1"", ""pct"": 13.13}, {""score"": ""1 - 0"", ""pct"": 12.389999999999999}, {""score"": ""0 - 0"", ""pct"": 10.39}]"
Cape Verde,Austria,Neutral,0.779,1.749,15.1,24.7,60.2,15.4,2.9,4.0,60.6,7.8,9.3,22.4,77.6,"[{""score"": ""0 - 1"", ""pct"": 14.93}, {""score"": ""0 - 2"", ""pct"": 12.1}, {""score"": ""1 - 1"", ""pct"": 11.52}]"
Cape Verde,South Africa,Neutral,1.021,1.131,31.6,31.3,37.1,31.2,5.6,9.1,37.2,6.7,10.0,46.0,54.0,"[{""score"": ""1 - 1"", ""pct"": 13.200000000000001}, {""score"": ""0 - 0"", ""pct"": 13.020000000000001}, {""score"": ""0 - 1"", ""pct"": 12.989999999999998}]"
Cape Verde,Paraguay,Neutral,0.783,1.547,17.6,27.0,55.4,18.3,3.5,4.9,54.7,7.8,10.8,26.7,73.3,"[{""score"": ""0 - 1"", ""pct"": 15.290000000000001}, {""score"": ""1 - 1"", ""pct"": 11.64}, {""score"": ""0 - 2"", ""pct"": 11.41}]"
Cape Verde,Scotland,Neutral,0.887,1.611,18.9,25.7,55.4,19.9,3.8,5.1,54.0,7.5,9.6,28.8,71.2,"[{""score"": ""0 - 1"", ""pct"": 13.700000000000001}, {""score"": ""1 - 1"", ""pct"": 11.86}, {""score"": ""0 - 2"", ""pct"": 11.09}]"
Cape Verde,Panama,Neutral,1.044,1.404,27.0,28.7,44.4,26.7,5.1,7.0,44.8,7.4,9.0,38.8,61.2,"[{""score"": ""1 - 1"", ""pct"": 13.100000000000001}, {""score"": ""0 - 1"", ""pct"": 12.520000000000001}, {""score"": ""0 - 0"", ""pct"": 9.71}]"
Cape Verde,Brazil,Neutral,0.609,2.375,6.7,16.2,77.1,6.9,1.4,1.7,76.6,7.2,6.1,10.0,90.0,"[{""score"": ""0 - 2"", ""pct"": 14.44}, {""score"": ""0 - 1"", ""pct"": 12.2}, {""score"": ""0 - 3"", ""pct"": 10.56}]"
Cape Verde,DR Congo,Neutral,0.87,1.225,25.7,30.8,43.5,24.4,4.9,7.6,44.7,7.1,11.2,36.9,63.1,"[{""score"": ""0 - 1"", ""pct"": 14.91}, {""score"": ""0 - 0"", ""pct"": 13.83}, {""score"": ""1 - 1"", ""pct"": 12.770000000000001}]"
Cape Verde,Argentina,Neutral,0.467,2.382,4.7,14.5,80.9,4.7,1.1,1.2,80.3,6.5,6.3,6.9,93.1,"[{""score"": ""0 - 2"", ""pct"": 16.57}, {""score"": ""0 - 1"", ""pct"": 14.52}, {""score"": ""0 - 3"", ""pct"": 12.659999999999998}]"
Cape Verde,Japan,Neutral,0.667,1.833,11.7,21.8,66.5,11.9,2.2,3.6,65.2,7.7,9.4,17.7,82.3,"[{""score"": ""0 - 1"", ""pct"": 15.459999999999999}, {""score"": ""0 - 2"", ""pct"": 13.3}, {""score"": ""1 - 2"", ""pct"": 9.62}]"
Cape Verde,Curaçao,Neutral,1.454,0.962,48.5,27.7,23.8,48.7,7.0,10.1,23.4,4.5,6.2,65.8,34.2,"[{""score"": ""1 - 0"", ""pct"": 12.959999999999999}, {""score"": ""1 - 1"", ""pct"": 12.8}, {""score"": ""0 - 0"", ""pct"": 9.45}]"
Cape Verde,Ivory Coast,Neutral,0.805,1.553,17.9,27.0,55.1,18.0,3.4,5.3,55.5,7.8,10.0,26.7,73.3,"[{""score"": ""0 - 1"", ""pct"": 14.649999999999999}, {""score"": ""1 - 1"", ""pct"": 11.87}, {""score"": ""0 - 2"", ""pct"": 11.25}]"
Cape Verde,Uzbekistan,Neutral,0.851,1.423,21.6,28.7,49.7,21.5,4.7,6.2,49.7,7.6,10.2,32.4,67.6,"[{""score"": ""0 - 1"", ""pct"": 14.87}, {""score"": ""1 - 1"", ""pct"": 12.629999999999999}, {""score"": ""0 - 0"", ""pct"": 11.51}]"
