match_id,round,venue,venue_country,home_team,away_team,predicted_home_goals,predicted_away_goals,corners,yellow_cards,red_cards,extra_time,penalties,winner_name_meta
1,Group A,"Estadio Azteca, Mexico City",Mexico,Mexico,South Africa,2,0,,,,False,False,Mexico
2,Group A,"Estadio Akron, Guadalajara",Mexico,South Korea,Czech Republic,2,1,,,,False,False,South Korea
3,Group B,"BMO Field, Toronto",Canada,Canada,Bosnia and Herzegovina,1,1,,,,False,False,Draw
4,Group D,"SoFi Stadium, Los Angeles",United States,United States,Paraguay,4,1,,,,False,False,United States
5,Group D,"BC Place, Vancouver",Canada,Australia,Turkey,2,0,,,,False,False,Australia
6,Group B,"Levi's Stadium, Santa Clara",United States,Qatar,Switzerland,1,1,,,,False,False,Draw
7,Group C,"MetLife Stadium, East Rutherford",United States,Brazil,Morocco,1,1,,,,False,False,Draw
8,Group C,"Gillette Stadium, Boston",United States,Haiti,Scotland,0,1,,,,False,False,Scotland
9,Group E,"NRG Stadium, Houston",United States,Germany,Curaçao,7,1,,,,False,False,Germany
10,Group F,"AT&T Stadium, Dallas",United States,Netherlands,Japan,2,2,,,,False,False,Draw
11,Group E,"Lincoln Financial Field, Philadelphia",United States,Ivory Coast,Ecuador,1,0,,,,False,False,Ivory Coast
12,Group F,"Estadio BBVA, Monterrey",Mexico,Sweden,Tunisia,5,1,,,,False,False,Sweden
13,Group H,"Mercedes-Benz Stadium, Atlanta",United States,Spain,Cape Verde,0,0,,,,False,False,Draw
14,Group G,"Lumen Field, Seattle",United States,Belgium,Egypt,1,1,,,,False,False,Draw
15,Group H,"Hard Rock Stadium, Miami",United States,Saudi Arabia,Uruguay,1,1,,,,False,False,Draw
16,Group G,"SoFi Stadium, Los Angeles",United States,Iran,New Zealand,2,2,,,,False,False,Draw
17,Group J,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Argentina,Algeria,3,0,,,,False,False,Argentina
18,Group I,"MetLife Stadium, East Rutherford",United States,France,Senegal,3,1,,,,False,False,France
19,Group I,"Gillette Stadium, Boston",United States,Iraq,Norway,1,4,,,,False,False,Norway
20,Group J,"Levi's Stadium, Santa Clara",United States,Austria,Jordan,3,1,,,,False,False,Austria
21,Group K,"NRG Stadium, Houston",United States,Portugal,DR Congo,1,1,,,,False,False,Draw
22,Group L,"AT&T Stadium, Dallas",United States,England,Croatia,4,2,,,,False,False,England
23,Group L,"BMO Field, Toronto",Canada,Ghana,Panama,1,0,,,,False,False,Ghana
24,Group K,"Estadio Azteca, Mexico City",Mexico,Uzbekistan,Colombia,1,3,,,,False,False,Colombia
25,Group A,"Mercedes-Benz Stadium, Atlanta",United States,Czech Republic,South Africa,1,1,,,,False,False,Draw
26,Group B,"SoFi Stadium, Los Angeles",United States,Switzerland,Bosnia and Herzegovina,4,1,,,,False,False,Switzerland
27,Group B,"BC Place, Vancouver",Canada,Canada,Qatar,6,0,,,,False,False,Canada
28,Group A,"Estadio Akron, Guadalajara",Mexico,Mexico,South Korea,1,0,,,,False,False,Mexico
29,Group D,"Lumen Field, Seattle",United States,United States,Australia,2,0,,,,False,False,United States
30,Group D,"Levi's Stadium, Santa Clara",United States,Turkey,Paraguay,0,1,,,,False,False,Paraguay
31,Group C,"Gillette Stadium, Boston",United States,Scotland,Morocco,0,1,,,,False,False,Morocco
32,Group C,"Lincoln Financial Field, Philadelphia",United States,Brazil,Haiti,3,0,,,,False,False,Brazil
33,Group F,"NRG Stadium, Houston",United States,Netherlands,Sweden,5,1,,,,False,False,Netherlands
34,Group F,"Estadio BBVA, Monterrey",Mexico,Tunisia,Japan,0,4,,,,False,False,Japan
35,Group E,"BMO Field, Toronto",Canada,Germany,Ivory Coast,2,1,,,,False,False,Germany
36,Group E,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Ecuador,Curaçao,0,0,,,,False,False,Draw
37,Group H,"Mercedes-Benz Stadium, Atlanta",United States,Spain,Saudi Arabia,4,0,,,,False,False,Spain
38,Group G,"SoFi Stadium, Los Angeles",United States,Belgium,Iran,0,0,,,,False,False,Draw
39,Group H,"Hard Rock Stadium, Miami",United States,Uruguay,Cape Verde,2,2,,,,False,False,Draw
40,Group G,"BC Place, Vancouver",Canada,New Zealand,Egypt,1,3,,,,False,False,Egypt
41,Group J,"AT&T Stadium, Dallas",United States,Argentina,Austria,2,0,,,,False,False,Argentina
42,Group I,"Lincoln Financial Field, Philadelphia",United States,France,Iraq,3,0,,,,False,False,France
43,Group I,"MetLife Stadium, East Rutherford",United States,Norway,Senegal,3,2,,,,False,False,Norway
44,Group J,"Levi's Stadium, Santa Clara",United States,Jordan,Algeria,1,2,,,,False,False,Algeria
45,Group K,"NRG Stadium, Houston",United States,Portugal,Uzbekistan,5,0,,,,False,False,Portugal
46,Group L,"Gillette Stadium, Boston",United States,England,Ghana,0,0,,,,False,False,Draw
47,Group L,"BMO Field, Toronto",Canada,Panama,Croatia,0,1,,,,False,False,Croatia
48,Group K,"Estadio Akron, Guadalajara",Mexico,Colombia,DR Congo,1,0,,,,False,False,Colombia
49,Group B,"BC Place, Vancouver",Canada,Switzerland,Canada,2,1,,,,False,False,Switzerland
50,Group B,"Lumen Field, Seattle",United States,Bosnia and Herzegovina,Qatar,3,1,,,,False,False,Bosnia and Herzegovina
51,Group C,"Hard Rock Stadium, Miami",United States,Scotland,Brazil,0,3,,,,False,False,Brazil
52,Group C,"Mercedes-Benz Stadium, Atlanta",United States,Morocco,Haiti,4,2,,,,False,False,Morocco
53,Group A,"Estadio Azteca, Mexico City",Mexico,Czech Republic,Mexico,0,3,,,,False,False,Mexico
54,Group A,"Estadio BBVA, Monterrey",Mexico,South Africa,South Korea,1,0,,,,False,False,South Africa
55,Group E,"Lincoln Financial Field, Philadelphia",United States,Curaçao,Ivory Coast,0,2,,,,False,False,Ivory Coast
56,Group E,"MetLife Stadium, East Rutherford",United States,Ecuador,Germany,2,1,,,,False,False,Ecuador
57,Group F,"AT&T Stadium, Dallas",United States,Japan,Sweden,1,1,,,,False,False,Draw
58,Group F,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Tunisia,Netherlands,1,3,,,,False,False,Netherlands
59,Group D,"SoFi Stadium, Los Angeles",United States,Turkey,United States,3,2,,,,False,False,Turkey
60,Group D,"Levi's Stadium, Santa Clara",United States,Paraguay,Australia,0,0,,,,False,False,Draw
61,Group I,"Gillette Stadium, Boston",United States,Norway,France,1,4,,,,False,False,France
62,Group I,"BMO Field, Toronto",Canada,Senegal,Iraq,5,0,,,,False,False,Senegal
63,Group H,"NRG Stadium, Houston",United States,Cape Verde,Saudi Arabia,0,0,,,,False,False,Draw
64,Group H,"Estadio Akron, Guadalajara",Mexico,Uruguay,Spain,0,1,,,,False,False,Spain
65,Group G,"Lumen Field, Seattle",United States,Egypt,Iran,1,1,,,,False,False,Draw
66,Group G,"BC Place, Vancouver",Canada,New Zealand,Belgium,1,5,,,,False,False,Belgium
67,Group L,"MetLife Stadium, East Rutherford",United States,Panama,England,0,2,,,,False,False,England
68,Group L,"Lincoln Financial Field, Philadelphia",United States,Croatia,Ghana,2,1,,,,False,False,Croatia
69,Group K,"Hard Rock Stadium, Miami",United States,Colombia,Portugal,0,0,,,,False,False,Draw
70,Group K,"Mercedes-Benz Stadium, Atlanta",United States,DR Congo,Uzbekistan,3,1,,,,False,False,DR Congo
71,Group J,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Algeria,Austria,3,3,,,,False,False,Draw
72,Group J,"AT&T Stadium, Dallas",United States,Jordan,Argentina,1,3,,,,False,False,Argentina
73,Round of 32,"SoFi Stadium, Los Angeles",United States,South Africa,Canada,1,2,10,3,0,True,False,Canada
74,Round of 32,"Gillette Stadium, Boston",United States,Germany,Paraguay,2,1,10,4,0,False,False,Germany
75,Round of 32,"Estadio BBVA, Monterrey",Mexico,Netherlands,Morocco,2,2,13,5,0,True,True,Netherlands
76,Round of 32,"NRG Stadium, Houston",United States,Brazil,Japan,2,1,11,4,0,False,False,Brazil
77,Round of 32,"MetLife Stadium, East Rutherford",United States,France,Sweden,2,1,10,4,0,False,False,France
78,Round of 32,"AT&T Stadium, Dallas",United States,Ivory Coast,Norway,1,2,12,4,0,True,False,Norway
79,Round of 32,"Estadio Azteca, Mexico City",Mexico,Mexico,Ecuador,1,1,11,4,0,True,True,Mexico
80,Round of 32,"Mercedes-Benz Stadium, Atlanta",United States,England,DR Congo,2,1,9,3,0,False,False,England
81,Round of 32,"Levi's Stadium, Santa Clara",United States,United States,Bosnia and Herzegovina,2,1,9,3,0,False,False,United States
82,Round of 32,"Lumen Field, Seattle",United States,Belgium,Senegal,2,1,13,5,0,True,False,Belgium
83,Round of 32,"BMO Field, Toronto",Canada,Portugal,Croatia,2,1,11,4,0,False,False,Portugal
84,Round of 32,"SoFi Stadium, Los Angeles",United States,Spain,Austria,2,1,11,4,0,False,False,Spain
85,Round of 32,"BC Place, Vancouver",Canada,Switzerland,Algeria,2,1,10,4,0,False,False,Switzerland
86,Round of 32,"Hard Rock Stadium, Miami",United States,Argentina,Cape Verde,2,0,9,3,0,False,False,Argentina
87,Round of 32,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Colombia,Ghana,2,1,9,3,0,False,False,Colombia
88,Round of 32,"AT&T Stadium, Dallas",United States,Australia,Egypt,2,1,11,4,0,True,False,Australia
89,Round of 16,"NRG Stadium, Houston",United States,Canada,Netherlands,1,2,10,4,0,False,False,Netherlands
90,Round of 16,"Lincoln Financial Field, Philadelphia",United States,Germany,France,1,2,11,5,0,False,False,France
91,Round of 16,"MetLife Stadium, East Rutherford",United States,Brazil,Norway,2,1,11,4,0,False,False,Brazil
