Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Argentina,100.0,92.44,75.67,55.279999999999994,13.209999999999999,36.120000000000005,23.150000000000002
Spain,100.0,81.07,53.690000000000005,40.86,8.58,27.700000000000003,16.68
France,100.0,82.65,53.65,34.599999999999994,8.84,18.92,9.58
Brazil,100.0,67.0,50.74999999999999,30.14,9.36,15.67,8.780000000000001
England,100.0,81.54,49.0,29.099999999999998,8.7,14.27,7.76
Colombia,100.0,84.58,57.14,25.53,6.859999999999999,13.780000000000001,7.66
Portugal,100.0,67.66,30.15,19.73,3.83,11.360000000000001,4.54
Germany,100.0,69.66,32.32,17.810000000000002,4.590000000000001,7.4399999999999995,2.9499999999999997
Netherlands,100.0,48.92,37.1,18.529999999999998,4.5600000000000005,8.02,2.85
Morocco,100.0,51.080000000000005,37.8,18.18,3.7800000000000002,8.07,2.83
Belgium,100.0,63.06,39.900000000000006,14.87,3.83,6.909999999999999,2.58
Mexico,100.0,62.5,31.89,13.98,4.16,5.04,1.9800000000000002
United States,100.0,82.35,37.330000000000005,11.29,2.77,4.41,1.49
Japan,100.0,33.0,19.830000000000002,8.82,2.77,3.02,1.31
Switzerland,100.0,59.650000000000006,25.16,8.200000000000001,2.23,3.2399999999999998,1.26
Ecuador,100.0,37.5,15.21,5.65,1.8599999999999999,1.83,0.8099999999999999
Norway,100.0,61.419999999999995,19.37,7.2700000000000005,1.76,2.39,0.76
Croatia,100.0,32.34,10.100000000000001,5.0,1.0999999999999999,2.16,0.69
Australia,100.0,59.43000000000001,14.499999999999998,5.67,1.1400000000000001,1.96,0.54
Senegal,100.0,36.94,19.35,5.19,1.25,1.35,0.4
Canada,100.0,68.45,19.74,5.4,1.1900000000000002,1.3599999999999999,0.29
Ivory Coast,100.0,38.58,10.05,4.05,0.84,1.16,0.29
Paraguay,100.0,30.34,9.11,3.44,0.7100000000000001,0.88,0.24
Austria,100.0,18.93,6.0600000000000005,2.59,0.51,0.9900000000000001,0.18
Egypt,100.0,40.57,8.05,2.55,0.43,0.7100000000000001,0.16
Algeria,100.0,40.35,14.13,1.91,0.44,0.54,0.11
Sweden,100.0,17.349999999999998,4.92,1.17,0.29,0.26,0.05
DR Congo,100.0,18.459999999999997,3.9,0.9900000000000001,0.13,0.16999999999999998,0.03
South Africa,100.0,31.55,5.36,0.8699999999999999,0.1,0.11,0.02
Bosnia and Herzegovina,100.0,17.65,3.42,0.47000000000000003,0.09,0.06,0.01
Cape Verde,100.0,7.5600000000000005,1.78,0.29,0.01,0.05,0.01
Ghana,100.0,15.42,3.5700000000000003,0.5700000000000001,0.08,0.05,0.01
Qatar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iran,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tunisia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Czech Republic,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Saudi Arabia,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Turkey,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uruguay,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Panama,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Curaçao,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Scotland,0.0,0.0,0.0,0.0,0.0,0.0,0.0
