group,team,points,goals_for,goals_against,goals_diff,h2h_pts,h2h_gd,h2h_gf,position
A,Mexico,9,6,0,6,0,0,0,1
A,South Africa,4,2,3,-1,0,0,0,2
A,South Korea,3,2,3,-1,0,0,0,3
A,Czech Republic,1,2,6,-4,0,0,0,4
B,Switzerland,7,7,3,4,0,0,0,1
B,Canada,4,8,3,5,1,0,1,2
B,Bosnia and Herzegovina,4,5,6,-1,1,0,1,3
B,Qatar,1,2,10,-8,0,0,0,4
C,Brazil,7,7,1,6,1,0,1,1
C,Morocco,7,6,3,3,1,0,1,2
C,Scotland,3,1,4,-3,0,0,0,3
C,Haiti,0,2,8,-6,0,0,0,4
D,United States,6,8,4,4,0,0,0,1
D,Australia,4,2,2,0,1,0,0,2
D,Paraguay,4,2,4,-2,1,0,0,3
D,Turkey,3,3,5,-2,0,0,0,4
E,Germany,6,10,4,6,3,1,2,1
E,Ivory Coast,6,4,2,2,0,-1,1,2
E,Ecuador,4,2,2,0,0,0,0,3
E,Curaçao,1,1,9,-8,0,0,0,4
F,Netherlands,7,10,4,6,0,0,0,1
F,Japan,5,7,3,4,0,0,0,2
F,Sweden,4,7,7,0,0,0,0,3
F,Tunisia,0,2,12,-10,0,0,0,4
G,Belgium,5,6,2,4,1,0,1,1
G,Egypt,5,5,3,2,1,0,1,2
G,Iran,3,3,3,0,0,0,0,3
G,New Zealand,1,4,10,-6,0,0,0,4
H,Spain,7,5,0,5,0,0,0,1
H,Cape Verde,3,2,2,0,0,0,0,2
H,Uruguay,2,3,4,-1,1,0,1,3
H,Saudi Arabia,2,1,5,-4,1,0,1,4
I,France,9,10,2,8,0,0,0,1
I,Norway,6,8,7,1,0,0,0,2
I,Senegal,3,8,6,2,0,0,0,3
I,Iraq,0,1,12,-11,0,0,0,4
J,Argentina,9,8,1,7,0,0,0,1
J,Austria,4,6,6,0,1,0,3,2
J,Algeria,4,5,7,-2,1,0,3,3
J,Jordan,0,3,8,-5,0,0,0,4
K,Colombia,7,4,1,3,0,0,0,1
K,Portugal,5,6,1,5,0,0,0,2
K,DR Congo,4,4,3,1,0,0,0,3
K,Uzbekistan,0,2,11,-9,0,0,0,4
L,England,7,6,2,4,0,0,0,1
L,Croatia,6,5,5,0,0,0,0,2
L,Ghana,4,2,2,0,0,0,0,3
L,Panama,0,0,4,-4,0,0,0,4
