home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Senegal,Curaçao,Neutral,2.302,0.665,74.9,16.9,8.1,75.3,6.4,6.4,8.1,1.6,2.1,88.2,11.8,"[{""score"": ""2 - 0"", ""pct"": 14.27}, {""score"": ""1 - 0"", ""pct"": 12.27}, {""score"": ""3 - 0"", ""pct"": 10.05}]"
Senegal,Uzbekistan,Neutral,1.609,0.893,53.8,26.4,19.8,54.1,7.5,9.5,19.6,4.1,5.1,71.2,28.8,"[{""score"": ""1 - 0"", ""pct"": 13.61}, {""score"": ""1 - 1"", ""pct"": 12.030000000000001}, {""score"": ""2 - 0"", ""pct"": 9.950000000000001}]"
Senegal,Croatia,Neutral,1.18,1.384,32.0,27.3,40.7,30.3,5.6,7.5,41.0,6.6,9.0,43.4,56.6,"[{""score"": ""1 - 1"", ""pct"": 12.620000000000001}, {""score"": ""0 - 1"", ""pct"": 10.67}, {""score"": ""1 - 0"", ""pct"": 9.030000000000001}]"
Senegal,Czech Republic,Neutral,1.654,1.085,50.1,25.8,24.1,50.8,7.0,8.4,23.8,4.5,5.4,66.2,33.8,"[{""score"": ""1 - 1"", ""pct"": 11.459999999999999}, {""score"": ""1 - 0"", ""pct"": 10.72}, {""score"": ""2 - 1"", ""pct"": 10.14}]"
Senegal,Paraguay,Neutral,1.171,1.142,35.4,30.2,34.4,36.5,6.0,9.0,34.1,6.0,8.5,51.5,48.5,"[{""score"": ""1 - 1"", ""pct"": 13.270000000000001}, {""score"": ""1 - 0"", ""pct"": 11.65}, {""score"": ""0 - 0"", ""pct"": 11.37}]"
Senegal,Cape Verde,Neutral,1.728,0.799,59.9,24.4,15.7,59.5,7.2,9.5,16.2,3.3,4.3,76.2,23.8,"[{""score"": ""1 - 0"", ""pct"": 14.360000000000001}, {""score"": ""2 - 0"", ""pct"": 11.3}, {""score"": ""1 - 1"", ""pct"": 10.879999999999999}]"
Senegal,Ivory Coast,Neutral,1.276,1.065,40.2,30.0,29.8,40.6,6.3,9.3,30.2,5.9,7.7,56.3,43.8,"[{""score"": ""1 - 1"", ""pct"": 13.01}, {""score"": ""1 - 0"", ""pct"": 12.43}, {""score"": ""0 - 0"", ""pct"": 11.200000000000001}]"
Senegal,Bosnia and Herzegovina,Neutral,1.916,0.85,63.1,22.4,14.5,63.3,7.4,8.3,14.9,2.7,3.3,79.0,21.0,"[{""score"": ""1 - 0"", ""pct"": 12.86}, {""score"": ""2 - 0"", ""pct"": 11.23}, {""score"": ""1 - 1"", ""pct"": 10.01}]"
Senegal,Colombia,Neutral,0.92,1.614,19.9,26.5,53.6,20.0,3.7,5.5,53.9,7.6,9.4,29.1,70.9,"[{""score"": ""0 - 1"", ""pct"": 14.02}, {""score"": ""1 - 1"", ""pct"": 12.26}, {""score"": ""0 - 2"", ""pct"": 9.610000000000001}]"
Senegal,Canada,Neutral,1.297,1.129,39.3,29.6,31.1,40.2,6.6,8.7,30.9,5.5,8.2,55.5,44.5,"[{""score"": ""1 - 1"", ""pct"": 13.63}, {""score"": ""1 - 0"", ""pct"": 11.73}, {""score"": ""0 - 0"", ""pct"": 10.15}]"
Senegal,Ghana,Neutral,1.659,0.83,57.3,24.9,17.8,56.5,7.1,10.0,17.8,3.8,4.8,73.6,26.4,"[{""score"": ""1 - 0"", ""pct"": 14.05}, {""score"": ""1 - 1"", ""pct"": 11.08}, {""score"": ""2 - 0"", ""pct"": 11.07}]"
Senegal,Turkey,Neutral,1.31,1.26,36.4,28.4,35.2,37.4,6.5,8.0,34.9,5.6,7.6,51.9,48.1,"[{""score"": ""1 - 1"", ""pct"": 12.790000000000001}, {""score"": ""1 - 0"", ""pct"": 9.969999999999999}, {""score"": ""0 - 1"", ""pct"": 9.07}]"
Senegal,Japan,Neutral,1.072,1.416,27.3,28.8,43.9,27.7,5.2,6.9,44.6,6.8,8.8,39.8,60.2,"[{""score"": ""1 - 1"", ""pct"": 13.18}, {""score"": ""0 - 1"", ""pct"": 12.01}, {""score"": ""0 - 0"", ""pct"": 9.66}]"
Senegal,France,Neutral,0.948,1.875,17.3,23.2,59.5,17.7,3.7,4.1,59.2,7.2,8.1,25.5,74.5,"[{""score"": ""0 - 1"", ""pct"": 12.15}, {""score"": ""1 - 2"", ""pct"": 10.209999999999999}, {""score"": ""1 - 1"", ""pct"": 9.959999999999999}]"
Senegal,Netherlands,Neutral,1.083,1.685,23.2,25.9,50.9,23.6,4.4,5.5,51.2,7.0,8.3,33.5,66.5,"[{""score"": ""1 - 1"", ""pct"": 11.67}, {""score"": ""0 - 1"", ""pct"": 10.82}, {""score"": ""1 - 2"", ""pct"": 9.790000000000001}]"
Senegal,Egypt,Neutral,1.294,1.037,42.0,28.9,29.1,41.2,6.8,9.5,29.6,5.0,7.8,57.5,42.5,"[{""score"": ""1 - 1"", ""pct"": 13.100000000000001}, {""score"": ""1 - 0"", ""pct"": 12.46}, {""score"": ""0 - 0"", ""pct"": 10.25}]"
Senegal,England,Neutral,0.84,1.717,17.6,25.1,57.3,17.0,3.3,4.8,57.9,7.8,9.2,25.1,74.9,"[{""score"": ""0 - 1"", ""pct"": 13.969999999999999}, {""score"": ""1 - 1"", ""pct"": 11.89}, {""score"": ""0 - 2"", ""pct"": 10.9}]"
Senegal,Tunisia,Neutral,1.766,0.858,58.6,24.6,16.8,59.6,7.3,9.0,16.4,3.4,4.3,75.8,24.2,"[{""score"": ""1 - 0"", ""pct"": 13.54}, {""score"": ""1 - 1"", ""pct"": 11.25}, {""score"": ""2 - 0"", ""pct"": 10.870000000000001}]"
Senegal,Austria,Neutral,1.356,1.217,40.4,28.0,31.6,39.7,6.4,8.5,32.3,5.5,7.6,54.6,45.4,"[{""score"": ""1 - 1"", ""pct"": 12.72}, {""score"": ""1 - 0"", ""pct"": 10.59}, {""score"": ""0 - 1"", ""pct"": 9.049999999999999}]"
Senegal,Morocco,Neutral,0.929,1.461,22.9,28.0,49.0,22.6,3.8,6.2,49.9,7.6,9.9,32.6,67.4,"[{""score"": ""0 - 1"", ""pct"": 13.91}, {""score"": ""1 - 1"", ""pct"": 12.29}, {""score"": ""0 - 0"", ""pct"": 10.41}]"
Senegal,Germany,Neutral,1.158,1.673,25.3,25.7,48.9,24.8,4.4,5.5,50.4,6.7,8.2,34.7,65.3,"[{""score"": ""1 - 1"", ""pct"": 11.57}, {""score"": ""0 - 1"", ""pct"": 9.950000000000001}, {""score"": ""1 - 2"", ""pct"": 9.83}]"
Senegal,Uruguay,Neutral,1.061,1.254,30.0,29.4,40.6,30.4,5.0,8.1,40.7,7.0,8.9,43.4,56.6,"[{""score"": ""1 - 1"", ""pct"": 13.55}, {""score"": ""0 - 1"", ""pct"": 12.770000000000001}, {""score"": ""0 - 0"", ""pct"": 10.639999999999999}]"
Senegal,Iran,Neutral,1.174,1.209,34.9,29.0,36.1,34.3,6.0,8.7,36.3,6.1,8.5,49.1,50.9,"[{""score"": ""1 - 1"", ""pct"": 12.93}, {""score"": ""1 - 0"", ""pct"": 11.360000000000001}, {""score"": ""0 - 1"", ""pct"": 11.05}]"
Senegal,Spain,Neutral,0.737,1.923,12.5,22.1,65.4,12.6,2.3,3.3,66.3,7.3,8.3,18.2,81.8,"[{""score"": ""0 - 1"", ""pct"": 14.430000000000001}, {""score"": ""0 - 2"", ""pct"": 12.629999999999999}, {""score"": ""1 - 1"", ""pct"": 10.14}]"
Senegal,Mexico,Neutral,1.014,1.379,26.5,28.7,44.8,26.3,4.8,7.1,44.9,7.2,9.7,38.2,61.8,"[{""score"": ""1 - 1"", ""pct"": 12.870000000000001}, {""score"": ""0 - 1"", ""pct"": 12.34}, {""score"": ""0 - 0"", ""pct"": 9.99}]"
Senegal,Australia,Neutral,1.155,1.172,35.2,29.9,34.9,34.7,5.9,8.8,34.9,6.6,9.1,49.4,50.6,"[{""score"": ""1 - 1"", ""pct"": 13.100000000000001}, {""score"": ""1 - 0"", ""pct"": 11.72}, {""score"": ""0 - 1"", ""pct"": 11.41}]"
Senegal,Belgium,Neutral,1.075,1.571,24.6,26.7,48.7,24.6,4.4,6.4,48.8,7.0,8.9,35.4,64.6,"[{""score"": ""1 - 1"", ""pct"": 12.15}, {""score"": ""0 - 1"", ""pct"": 11.63}, {""score"": ""1 - 2"", ""pct"": 9.69}]"
Senegal,Saudi Arabia,Neutral,1.706,0.827,57.8,25.2,17.0,57.8,7.4,9.6,17.2,3.2,4.8,74.8,25.2,"[{""score"": ""1 - 0"", ""pct"": 13.76}, {""score"": ""1 - 1"", ""pct"": 11.600000000000001}, {""score"": ""2 - 0"", ""pct"": 11.020000000000001}]"
Senegal,Argentina,Neutral,0.81,1.874,14.9,22.7,62.4,15.1,2.9,3.8,62.1,8.0,8.1,21.8,78.2,"[{""score"": ""0 - 1"", ""pct"": 13.51}, {""score"": ""0 - 2"", ""pct"": 12.21}, {""score"": ""1 - 1"", ""pct"": 10.209999999999999}]"
Senegal,Jordan,Neutral,1.798,0.941,58.0,24.1,17.9,58.1,7.8,8.3,18.0,3.4,4.4,74.2,25.8,"[{""score"": ""1 - 0"", ""pct"": 12.67}, {""score"": ""1 - 1"", ""pct"": 10.94}, {""score"": ""2 - 1"", ""pct"": 10.09}]"
Senegal,Portugal,Neutral,0.943,1.746,19.4,24.5,56.1,19.2,3.4,4.8,56.5,7.5,8.6,27.4,72.6,"[{""score"": ""0 - 1"", ""pct"": 12.57}, {""score"": ""1 - 1"", ""pct"": 11.49}, {""score"": ""1 - 2"", ""pct"": 10.07}]"
