home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Switzerland,Belgium,Neutral,1.236,1.447,31.6,27.2,41.2,30.9,5.8,6.7,41.8,6.8,8.0,43.4,56.6,"[{""score"": ""1 - 1"", ""pct"": 12.16}, {""score"": ""0 - 1"", ""pct"": 9.9}, {""score"": ""1 - 0"", ""pct"": 8.94}]"
Switzerland,DR Congo,Neutral,1.616,0.879,54.7,26.1,19.2,54.6,8.0,9.5,19.0,3.6,5.3,72.1,27.9,"[{""score"": ""1 - 0"", ""pct"": 13.83}, {""score"": ""1 - 1"", ""pct"": 11.78}, {""score"": ""2 - 0"", ""pct"": 10.42}]"
Switzerland,Germany,Neutral,1.37,1.502,33.9,26.9,39.2,34.1,5.7,6.7,39.6,6.5,7.4,46.4,53.6,"[{""score"": ""1 - 1"", ""pct"": 12.16}, {""score"": ""1 - 2"", ""pct"": 8.7}, {""score"": ""0 - 1"", ""pct"": 8.41}]"
Switzerland,Austria,Neutral,1.551,1.096,47.9,26.7,25.5,47.2,7.3,8.8,26.0,4.4,6.2,63.3,36.7,"[{""score"": ""1 - 1"", ""pct"": 12.15}, {""score"": ""1 - 0"", ""pct"": 11.63}, {""score"": ""2 - 1"", ""pct"": 9.47}]"
Switzerland,Tunisia,Neutral,1.956,0.744,66.4,21.3,12.3,66.9,6.9,8.1,12.7,2.5,3.0,81.8,18.1,"[{""score"": ""1 - 0"", ""pct"": 13.780000000000001}, {""score"": ""2 - 0"", ""pct"": 13.15}, {""score"": ""2 - 1"", ""pct"": 9.62}]"
Switzerland,Sweden,Neutral,1.863,1.06,56.5,22.8,20.7,56.4,7.0,8.2,19.7,3.8,4.8,71.6,28.4,"[{""score"": ""1 - 0"", ""pct"": 10.51}, {""score"": ""1 - 1"", ""pct"": 10.27}, {""score"": ""2 - 1"", ""pct"": 9.8}]"
Switzerland,Morocco,Neutral,1.032,1.303,27.7,29.8,42.6,28.9,4.7,7.7,42.4,7.0,9.2,41.3,58.7,"[{""score"": ""1 - 1"", ""pct"": 12.73}, {""score"": ""0 - 1"", ""pct"": 12.709999999999999}, {""score"": ""0 - 0"", ""pct"": 11.23}]"
Switzerland,Egypt,Neutral,1.507,0.951,50.4,26.9,22.6,48.9,7.4,9.6,23.4,4.2,6.5,65.9,34.1,"[{""score"": ""1 - 0"", ""pct"": 13.36}, {""score"": ""1 - 1"", ""pct"": 12.73}, {""score"": ""2 - 0"", ""pct"": 9.59}]"
Switzerland,Portugal,Neutral,1.071,1.532,25.4,27.0,47.6,25.4,4.6,6.5,48.0,6.8,8.7,36.5,63.5,"[{""score"": ""1 - 1"", ""pct"": 12.43}, {""score"": ""0 - 1"", ""pct"": 12.34}, {""score"": ""1 - 2"", ""pct"": 9.36}]"
Switzerland,Bosnia and Herzegovina,Neutral,2.087,0.779,67.5,20.7,11.8,69.2,7.4,7.5,11.1,2.1,2.8,84.0,16.0,"[{""score"": ""1 - 0"", ""pct"": 12.53}, {""score"": ""2 - 0"", ""pct"": 11.53}, {""score"": ""2 - 1"", ""pct"": 9.43}]"
Switzerland,Haiti,Neutral,2.354,0.721,75.3,16.3,8.4,74.5,6.4,6.6,8.6,1.6,2.2,87.5,12.5,"[{""score"": ""2 - 0"", ""pct"": 13.29}, {""score"": ""1 - 0"", ""pct"": 11.31}, {""score"": ""2 - 1"", ""pct"": 9.64}]"
Switzerland,Scotland,Neutral,1.642,0.984,53.7,25.6,20.8,52.8,8.0,8.5,21.2,4.3,5.2,69.3,30.7,"[{""score"": ""1 - 0"", ""pct"": 12.76}, {""score"": ""1 - 1"", ""pct"": 11.61}, {""score"": ""2 - 0"", ""pct"": 9.93}]"
Switzerland,United States,Neutral,1.722,1.04,53.2,25.3,21.5,53.0,7.2,8.5,22.1,4.4,4.9,68.7,31.3,"[{""score"": ""1 - 1"", ""pct"": 11.21}, {""score"": ""1 - 0"", ""pct"": 10.97}, {""score"": ""2 - 1"", ""pct"": 10.040000000000001}]"
Switzerland,Argentina,Neutral,1.16,1.758,25.0,24.5,50.5,24.1,4.3,5.8,50.7,7.4,7.8,34.1,65.9,"[{""score"": ""1 - 1"", ""pct"": 10.75}, {""score"": ""0 - 1"", ""pct"": 9.46}, {""score"": ""1 - 2"", ""pct"": 9.41}]"
