home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Curaçao,Saudi Arabia,Neutral,0.882,1.536,20.3,27.6,52.0,19.9,4.0,5.8,53.2,7.6,9.4,29.8,70.2,"[{""score"": ""0 - 1"", ""pct"": 13.719999999999999}, {""score"": ""1 - 1"", ""pct"": 12.049999999999999}, {""score"": ""0 - 0"", ""pct"": 10.34}]"
Curaçao,United States,Neutral,0.793,2.258,10.5,18.2,71.4,10.6,2.1,2.0,71.6,7.0,6.6,14.7,85.3,"[{""score"": ""0 - 2"", ""pct"": 12.36}, {""score"": ""0 - 1"", ""pct"": 11.450000000000001}, {""score"": ""1 - 2"", ""pct"": 10.01}]"
Curaçao,Haiti,Neutral,1.063,1.605,24.7,25.5,49.8,23.3,4.7,5.9,50.0,7.3,8.9,33.8,66.2,"[{""score"": ""1 - 1"", ""pct"": 11.63}, {""score"": ""0 - 1"", ""pct"": 11.32}, {""score"": ""1 - 2"", ""pct"": 9.719999999999999}]"
Curaçao,Spain,Neutral,0.447,3.689,1.3,5.0,93.7,1.4,0.3,0.2,92.9,3.3,1.8,1.9,98.1,"[{""score"": ""0 - 3"", ""pct"": 13.19}, {""score"": ""0 - 4"", ""pct"": 12.72}, {""score"": ""0 - 2"", ""pct"": 11.16}]"
Curaçao,Uruguay,Neutral,0.589,2.37,6.6,15.5,77.9,6.9,1.2,1.6,77.4,6.4,6.6,9.7,90.3,"[{""score"": ""0 - 2"", ""pct"": 15.27}, {""score"": ""0 - 1"", ""pct"": 12.989999999999998}, {""score"": ""0 - 3"", ""pct"": 10.67}]"
Curaçao,New Zealand,Neutral,1.01,1.458,25.6,27.7,46.7,24.9,4.6,6.7,47.2,7.5,9.0,36.2,63.8,"[{""score"": ""1 - 1"", ""pct"": 12.33}, {""score"": ""0 - 1"", ""pct"": 12.2}, {""score"": ""0 - 0"", ""pct"": 9.5}]"
Curaçao,Norway,Neutral,0.684,2.763,5.9,12.8,81.2,5.9,1.1,1.1,81.3,5.9,4.6,8.1,91.9,"[{""score"": ""0 - 2"", ""pct"": 12.709999999999999}, {""score"": ""0 - 3"", ""pct"": 11.110000000000001}, {""score"": ""0 - 1"", ""pct"": 9.39}]"
Curaçao,Algeria,Neutral,0.733,2.341,9.0,17.0,74.0,8.9,1.7,1.9,74.0,7.0,6.6,12.4,87.6,"[{""score"": ""0 - 2"", ""pct"": 12.42}, {""score"": ""0 - 1"", ""pct"": 11.43}, {""score"": ""0 - 3"", ""pct"": 9.73}]"
Curaçao,Uzbekistan,Neutral,0.868,1.726,17.6,24.4,58.1,17.3,3.2,4.2,58.5,7.7,9.0,24.7,75.2,"[{""score"": ""0 - 1"", ""pct"": 14.14}, {""score"": ""0 - 2"", ""pct"": 10.979999999999999}, {""score"": ""1 - 1"", ""pct"": 10.93}]"
Curaçao,Croatia,Neutral,0.635,2.571,6.3,14.5,79.2,6.2,1.1,1.4,79.8,6.3,5.2,8.6,91.4,"[{""score"": ""0 - 2"", ""pct"": 13.0}, {""score"": ""0 - 3"", ""pct"": 11.26}, {""score"": ""0 - 1"", ""pct"": 10.870000000000001}]"
