home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Curaçao,Jordan,Neutral,0.819,1.881,14.5,22.7,62.8,14.2,2.7,3.8,63.5,7.6,8.3,20.6,79.4,"[{""score"": ""0 - 1"", ""pct"": 13.120000000000001}, {""score"": ""0 - 2"", ""pct"": 11.469999999999999}, {""score"": ""1 - 1"", ""pct"": 10.2}]"
Curaçao,Qatar,Neutral,1.512,1.188,44.1,27.1,28.8,44.1,6.5,8.2,29.7,5.0,6.6,58.8,41.2,"[{""score"": ""1 - 1"", ""pct"": 12.45}, {""score"": ""1 - 0"", ""pct"": 10.77}, {""score"": ""2 - 1"", ""pct"": 9.32}]"
Curaçao,Morocco,Neutral,0.505,2.195,5.7,17.5,76.8,6.3,1.1,1.6,77.2,6.7,7.1,9.0,91.0,"[{""score"": ""0 - 2"", ""pct"": 16.38}, {""score"": ""0 - 1"", ""pct"": 15.2}, {""score"": ""0 - 3"", ""pct"": 11.459999999999999}]"
Curaçao,Egypt,Neutral,0.873,1.827,16.3,23.8,59.9,16.4,2.9,4.4,60.6,7.4,8.2,23.7,76.3,"[{""score"": ""0 - 1"", ""pct"": 13.209999999999999}, {""score"": ""1 - 1"", ""pct"": 11.129999999999999}, {""score"": ""0 - 2"", ""pct"": 10.41}]"
Curaçao,Senegal,Neutral,0.63,2.07,9.6,18.9,71.4,9.7,2.0,2.6,71.1,6.6,8.1,14.3,85.7,"[{""score"": ""0 - 2"", ""pct"": 14.63}, {""score"": ""0 - 1"", ""pct"": 14.48}, {""score"": ""0 - 3"", ""pct"": 9.379999999999999}]"
Curaçao,Ecuador,Neutral,0.489,2.211,5.8,16.4,77.8,6.3,1.1,1.6,77.7,6.3,7.0,9.0,91.0,"[{""score"": ""0 - 2"", ""pct"": 15.9}, {""score"": ""0 - 1"", ""pct"": 15.49}, {""score"": ""0 - 3"", ""pct"": 12.049999999999999}]"
Curaçao,Croatia,Neutral,0.585,2.115,7.9,18.7,73.4,8.2,1.6,2.2,73.6,7.0,7.5,12.0,88.0,"[{""score"": ""0 - 1"", ""pct"": 14.97}, {""score"": ""0 - 2"", ""pct"": 14.799999999999999}, {""score"": ""0 - 3"", ""pct"": 10.63}]"
Curaçao,Portugal,Neutral,0.484,2.216,5.9,16.7,77.4,6.0,1.1,1.6,77.8,6.8,6.7,8.7,91.3,"[{""score"": ""0 - 2"", ""pct"": 16.830000000000002}, {""score"": ""0 - 1"", ""pct"": 14.790000000000001}, {""score"": ""0 - 3"", ""pct"": 11.66}]"
Curaçao,Netherlands,Neutral,0.54,2.16,6.7,17.4,76.0,7.0,1.2,1.7,75.8,6.7,7.5,9.9,90.1,"[{""score"": ""0 - 1"", ""pct"": 15.950000000000001}, {""score"": ""0 - 2"", ""pct"": 15.809999999999999}, {""score"": ""0 - 3"", ""pct"": 10.76}]"
Curaçao,Switzerland,Neutral,0.636,2.064,9.3,19.0,71.7,9.2,1.7,2.6,71.9,7.0,7.5,13.5,86.5,"[{""score"": ""0 - 1"", ""pct"": 14.59}, {""score"": ""0 - 2"", ""pct"": 13.930000000000001}, {""score"": ""0 - 3"", ""pct"": 9.54}]"
Curaçao,Norway,Neutral,0.602,2.098,8.7,18.6,72.7,8.6,1.4,2.1,72.7,7.4,7.8,12.1,87.9,"[{""score"": ""0 - 1"", ""pct"": 14.39}, {""score"": ""0 - 2"", ""pct"": 14.23}, {""score"": ""0 - 3"", ""pct"": 9.94}]"
Curaçao,Iran,Neutral,0.612,2.088,8.7,18.9,72.5,8.8,1.5,2.4,72.2,7.2,8.0,12.6,87.4,"[{""score"": ""0 - 2"", ""pct"": 15.09}, {""score"": ""0 - 1"", ""pct"": 14.39}, {""score"": ""0 - 3"", ""pct"": 9.9}]"
Curaçao,Iraq,Neutral,0.975,1.725,20.5,24.7,54.9,20.3,3.7,4.8,54.6,7.8,8.9,28.7,71.3,"[{""score"": ""0 - 1"", ""pct"": 12.25}, {""score"": ""1 - 1"", ""pct"": 11.04}, {""score"": ""0 - 2"", ""pct"": 10.32}]"
Curaçao,New Zealand,Neutral,1.058,1.642,23.6,25.4,51.1,23.4,4.3,5.3,51.2,7.1,8.7,33.0,67.0,"[{""score"": ""0 - 1"", ""pct"": 11.5}, {""score"": ""1 - 1"", ""pct"": 11.43}, {""score"": ""1 - 2"", ""pct"": 9.33}]"
Curaçao,DR Congo,Neutral,0.944,1.756,19.0,24.7,56.3,19.1,3.7,4.8,56.2,7.7,8.5,27.6,72.4,"[{""score"": ""0 - 1"", ""pct"": 11.940000000000001}, {""score"": ""1 - 1"", ""pct"": 11.75}, {""score"": ""0 - 2"", ""pct"": 10.24}]"
Curaçao,Panama,Neutral,0.71,1.99,11.1,21.1,67.7,11.1,2.2,3.0,67.6,7.9,8.3,16.2,83.8,"[{""score"": ""0 - 1"", ""pct"": 14.000000000000002}, {""score"": ""0 - 2"", ""pct"": 12.82}, {""score"": ""1 - 2"", ""pct"": 9.71}]"
Curaçao,Uzbekistan,Neutral,0.733,1.967,12.8,20.2,67.0,12.2,2.3,3.2,66.4,7.9,7.9,17.8,82.2,"[{""score"": ""0 - 1"", ""pct"": 14.01}, {""score"": ""0 - 2"", ""pct"": 12.83}, {""score"": ""1 - 2"", ""pct"": 9.6}]"
