team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,7.01,4.65,71.7,22.6,4.0,98.3
Argentina,6.6,3.66,68.5,20.6,7.0,96.1
England,6.51,3.62,62.6,26.2,7.6,96.4
Brazil,6.35,3.63,57.9,29.8,8.6,96.3
Mexico,6.2,2.94,59.8,25.4,8.9,94.1
Germany,6.09,3.42,51.1,31.1,13.6,95.8
Canada,6.04,2.94,47.0,37.9,9.7,94.7
Switzerland,5.99,2.9,45.4,37.9,10.9,94.2
France,5.93,2.62,53.9,27.7,10.6,92.2
Belgium,5.76,2.39,51.7,28.5,11.4,91.5
Portugal,5.59,2.12,45.8,31.9,12.1,89.8
Netherlands,5.49,1.98,45.7,29.9,12.8,88.5
Ecuador,5.43,2.06,34.5,37.5,19.2,91.1
Colombia,5.4,1.79,40.0,34.6,13.8,88.3
Morocco,5.27,1.75,31.6,41.2,16.1,88.9
Uruguay,5.21,1.52,24.0,52.6,12.6,89.2
Croatia,5.11,1.46,28.2,44.2,14.8,87.1
Japan,4.97,1.21,35.0,32.8,14.9,82.8
Iran,4.73,0.88,28.4,34.0,18.9,81.4
Norway,4.35,0.35,22.6,32.1,20.9,75.6
South Korea,4.34,0.35,22.5,34.0,19.4,75.9
Turkey,4.19,0.11,26.7,25.1,18.5,70.2
United States,4.16,0.12,27.0,25.2,17.9,70.2
Senegal,4.08,-0.05,19.6,29.0,22.4,70.9
Australia,4.07,0.02,24.6,25.3,19.0,68.9
Ivory Coast,4.02,-0.01,13.8,27.9,32.4,74.1
Paraguay,3.85,-0.25,21.6,24.5,19.1,65.3
Algeria,3.84,-0.38,13.7,33.4,21.0,68.1
Egypt,3.78,-0.4,15.8,26.4,23.8,66.1
Austria,3.78,-0.46,13.3,32.0,21.9,67.2
Czech Republic,3.57,-0.76,12.7,26.4,23.4,62.5
Scotland,3.45,-0.99,8.9,22.4,31.2,62.6
Uzbekistan,3.08,-1.47,9.4,20.2,21.7,51.4
Sweden,3.02,-1.62,10.2,18.5,21.2,50.0
Panama,2.95,-1.88,6.6,18.8,24.4,49.8
Tunisia,2.94,-1.57,9.0,18.8,20.0,47.7
Bosnia and Herzegovina,2.77,-2.12,5.3,15.2,26.9,47.4
Saudi Arabia,2.37,-2.87,2.4,13.5,20.4,36.3
DR Congo,2.36,-2.44,4.8,13.2,17.2,35.3
South Africa,2.35,-2.53,5.0,14.3,16.4,35.7
Jordan,2.32,-2.82,4.4,14.0,16.2,34.6
New Zealand,2.14,-2.87,4.1,11.1,14.9,30.1
Iraq,2.12,-2.93,4.0,11.1,14.8,29.8
Cape Verde,2.1,-3.3,1.9,11.3,16.9,30.2
Ghana,2.06,-3.21,2.6,10.9,15.8,29.4
Qatar,1.92,-3.72,2.3,9.0,16.1,27.3
Haiti,1.59,-4.38,1.7,6.6,10.8,19.1
Curaçao,1.16,-5.47,0.6,3.5,7.5,11.6
