home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Canada,Iran,Neutral,1.047,1.212,31.0,30.2,38.8,30.0,5.7,8.3,39.6,6.3,10.1,44.0,56.0,"[{""score"": ""1 - 1"", ""pct"": 13.450000000000001}, {""score"": ""0 - 1"", ""pct"": 12.280000000000001}, {""score"": ""0 - 0"", ""pct"": 11.709999999999999}]"
Canada,Croatia,Neutral,1.011,1.395,26.1,29.0,44.9,26.3,4.8,6.6,45.8,7.0,9.5,37.7,62.3,"[{""score"": ""0 - 1"", ""pct"": 13.209999999999999}, {""score"": ""1 - 1"", ""pct"": 13.18}, {""score"": ""0 - 0"", ""pct"": 10.100000000000001}]"
Canada,South Africa,Neutral,1.487,0.841,53.4,26.9,19.7,52.7,7.2,10.3,20.1,4.1,5.6,70.3,29.7,"[{""score"": ""1 - 0"", ""pct"": 15.559999999999999}, {""score"": ""1 - 1"", ""pct"": 11.72}, {""score"": ""0 - 0"", ""pct"": 10.45}]"
Canada,Brazil,Neutral,0.849,1.808,16.3,23.6,60.1,16.2,3.0,4.3,60.7,7.2,8.6,23.5,76.5,"[{""score"": ""0 - 1"", ""pct"": 13.29}, {""score"": ""0 - 2"", ""pct"": 11.15}, {""score"": ""1 - 1"", ""pct"": 10.879999999999999}]"
Canada,Paraguay,Neutral,1.075,1.128,33.2,30.9,35.9,34.1,5.7,9.1,35.7,6.1,9.4,48.8,51.2,"[{""score"": ""1 - 1"", ""pct"": 13.270000000000001}, {""score"": ""0 - 0"", ""pct"": 12.590000000000002}, {""score"": ""0 - 1"", ""pct"": 12.379999999999999}]"
Canada,Turkey,Neutral,1.125,1.346,30.3,28.8,40.9,30.7,5.1,7.3,41.1,7.0,8.7,43.1,56.9,"[{""score"": ""1 - 1"", ""pct"": 12.82}, {""score"": ""0 - 1"", ""pct"": 10.9}, {""score"": ""0 - 0"", ""pct"": 9.62}]"
Canada,Belgium,Neutral,0.998,1.546,23.3,26.3,50.4,23.6,4.7,5.8,49.3,7.8,8.8,34.1,65.9,"[{""score"": ""0 - 1"", ""pct"": 12.29}, {""score"": ""1 - 1"", ""pct"": 12.09}, {""score"": ""0 - 2"", ""pct"": 9.5}]"
Canada,Norway,Neutral,1.088,1.418,28.0,28.3,43.8,27.2,4.9,6.9,44.6,7.2,9.2,39.0,61.0,"[{""score"": ""1 - 1"", ""pct"": 12.920000000000002}, {""score"": ""0 - 1"", ""pct"": 11.690000000000001}, {""score"": ""0 - 0"", ""pct"": 8.959999999999999}]"
Canada,Bosnia and Herzegovina,Neutral,1.665,0.835,55.9,25.9,18.2,57.1,7.3,9.5,17.7,3.2,5.1,74.0,26.0,"[{""score"": ""1 - 0"", ""pct"": 13.889999999999999}, {""score"": ""1 - 1"", ""pct"": 11.86}, {""score"": ""2 - 0"", ""pct"": 11.03}]"
Canada,United States,Neutral,1.341,1.121,41.1,28.8,30.2,41.9,6.7,9.1,30.1,5.5,6.7,57.6,42.4,"[{""score"": ""1 - 1"", ""pct"": 12.989999999999998}, {""score"": ""1 - 0"", ""pct"": 11.99}, {""score"": ""0 - 0"", ""pct"": 9.74}]"
Canada,New Zealand,Neutral,1.56,0.803,54.7,26.5,18.9,54.1,8.3,10.5,18.2,3.5,5.2,73.0,27.0,"[{""score"": ""1 - 0"", ""pct"": 14.49}, {""score"": ""1 - 1"", ""pct"": 11.42}, {""score"": ""2 - 0"", ""pct"": 11.34}]"
Canada,Curaçao,Neutral,2.026,0.683,69.5,19.9,10.6,69.4,7.4,7.8,10.6,2.2,2.6,84.6,15.4,"[{""score"": ""2 - 0"", ""pct"": 14.02}, {""score"": ""1 - 0"", ""pct"": 13.569999999999999}, {""score"": ""2 - 1"", ""pct"": 9.83}]"
Canada,Mexico,Neutral,0.951,1.255,26.6,30.7,42.7,27.6,4.8,7.6,43.1,6.3,10.5,40.0,60.0,"[{""score"": ""0 - 1"", ""pct"": 14.24}, {""score"": ""1 - 1"", ""pct"": 13.170000000000002}, {""score"": ""0 - 0"", ""pct"": 12.370000000000001}]"
Canada,Argentina,Neutral,0.65,1.779,12.0,22.5,65.5,12.3,2.4,3.4,64.5,8.0,9.4,18.1,81.8,"[{""score"": ""0 - 1"", ""pct"": 16.5}, {""score"": ""0 - 2"", ""pct"": 13.350000000000001}, {""score"": ""0 - 0"", ""pct"": 9.94}]"
Canada,Austria,Neutral,1.16,1.218,33.3,29.9,36.8,33.9,5.4,8.3,37.5,6.0,8.8,47.7,52.3,"[{""score"": ""1 - 1"", ""pct"": 13.73}, {""score"": ""0 - 1"", ""pct"": 11.219999999999999}, {""score"": ""1 - 0"", ""pct"": 10.9}]"
Canada,Japan,Neutral,0.942,1.421,24.2,28.2,47.6,24.3,4.4,6.8,47.8,7.1,9.6,35.5,64.5,"[{""score"": ""0 - 1"", ""pct"": 13.5}, {""score"": ""1 - 1"", ""pct"": 12.68}, {""score"": ""0 - 0"", ""pct"": 10.4}]"
Canada,Senegal,Neutral,1.033,1.217,30.4,30.5,39.1,30.3,5.5,8.2,38.5,6.9,10.6,44.0,56.0,"[{""score"": ""1 - 1"", ""pct"": 13.780000000000001}, {""score"": ""0 - 1"", ""pct"": 12.889999999999999}, {""score"": ""0 - 0"", ""pct"": 11.73}]"
