Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,98.15,70.97,51.82,39.64,8.25,27.77,17.96
Argentina,96.34,64.39,48.61,35.52,8.39,23.549999999999997,14.81
Brazil,96.59,67.58,43.8,29.57,8.1,16.619999999999997,9.8
England,96.41,66.86999999999999,42.51,27.01,7.32,15.47,9.01
France,92.28,64.39,38.7,23.86,6.859999999999999,12.620000000000001,6.890000000000001
Portugal,90.44,61.25000000000001,37.41,21.07,5.1,11.88,6.069999999999999
Colombia,88.46000000000001,57.92,33.23,17.98,4.61,9.6,4.5600000000000005
Germany,95.99,61.419999999999995,37.49,20.03,5.66,9.13,4.15
Morocco,88.63,50.59,27.79,14.580000000000002,4.16,6.9,3.0700000000000003
Netherlands,88.27000000000001,45.26,24.73,13.01,3.63,6.05,2.56
Ecuador,91.29,52.38,28.389999999999997,13.44,3.46,5.89,2.48
Belgium,91.22,58.98,32.910000000000004,13.25,3.49,6.16,2.4
Uruguay,89.31,41.260000000000005,22.220000000000002,11.540000000000001,2.81,5.42,2.12
Japan,83.62,40.46,20.14,9.8,2.45,4.3,1.8399999999999999
Mexico,94.03,58.620000000000005,30.4,12.61,2.9499999999999997,4.95,1.73
Croatia,87.03999999999999,44.39,19.35,9.370000000000001,2.25,4.04,1.54
Switzerland,94.17999999999999,57.07,24.38,10.27,2.86,3.7199999999999998,1.21
Norway,75.64,39.269999999999996,16.97,7.42,1.79,2.91,0.9400000000000001
Canada,94.63000000000001,54.35,20.62,7.359999999999999,1.66,2.46,0.8
Australia,68.77,34.949999999999996,15.21,5.050000000000001,1.25,1.8499999999999999,0.7000000000000001
United States,71.54,38.81,18.12,5.8999999999999995,1.4200000000000002,2.08,0.69
Iran,80.94,42.1,18.64,6.4799999999999995,1.59,2.35,0.65
Turkey,70.28,37.26,16.66,5.64,1.34,2.11,0.5700000000000001
Senegal,71.49,34.96,14.04,5.800000000000001,1.5,1.9900000000000002,0.54
Paraguay,64.08,31.680000000000003,13.8,4.1000000000000005,0.8699999999999999,1.49,0.47000000000000003
South Korea,75.28,37.13,14.760000000000002,4.65,1.11,1.3299999999999998,0.43
Algeria,68.2,24.14,9.86,3.64,0.77,1.38,0.43
Austria,67.19000000000001,22.720000000000002,9.39,3.5900000000000003,0.89,1.24,0.38999999999999996
Ivory Coast,72.98,28.189999999999998,9.9,3.29,0.66,1.0,0.31
Egypt,66.67,27.13,9.0,2.4699999999999998,0.5,0.7000000000000001,0.22999999999999998
Czech Republic,62.25000000000001,23.84,7.7700000000000005,2.1,0.43,0.61,0.15
Scotland,63.019999999999996,21.709999999999997,7.17,2.25,0.52,0.6,0.13999999999999999
Tunisia,48.47,13.530000000000001,4.5600000000000005,1.1900000000000002,0.24,0.36,0.11
Uzbekistan,50.44,16.950000000000003,5.13,1.46,0.36,0.4,0.08
Sweden,49.39,14.01,4.279999999999999,1.35,0.25,0.38,0.06999999999999999
DR Congo,35.82,10.18,2.4899999999999998,0.5700000000000001,0.15,0.09,0.02
Panama,49.38,12.6,3.38,0.95,0.13999999999999999,0.21,0.02
Iraq,30.15,7.6899999999999995,1.76,0.37,0.03,0.06999999999999999,0.02
Saudi Arabia,36.17,7.12,1.8499999999999999,0.37,0.04,0.09,0.02
Jordan,34.11,7.55,2.06,0.35000000000000003,0.04,0.06,0.01
South Africa,35.92,10.299999999999999,2.25,0.33999999999999997,0.04,0.06999999999999999,0.01
Haiti,19.42,3.32,0.44,0.06999999999999999,0.01,0.0,0.0
Ghana,29.53,5.53,1.0699999999999998,0.16,0.02,0.02,0.0
New Zealand,30.620000000000005,7.08,1.16,0.1,0.01,0.04,0.0
Bosnia and Herzegovina,47.160000000000004,11.03,2.26,0.25,0.02,0.03,0.0
Qatar,26.43,4.62,0.45999999999999996,0.02,0.0,0.0,0.0
Cape Verde,30.209999999999997,4.96,0.9199999999999999,0.13999999999999999,0.0,0.01,0.0
Curaçao,11.57,1.49,0.13999999999999999,0.02,0.0,0.0,0.0
