team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,7.0,4.64,70.6,23.4,4.1,98.2
Argentina,6.6,3.65,67.1,21.9,7.3,96.3
England,6.48,3.58,62.4,26.6,7.3,96.4
Brazil,6.35,3.66,58.4,29.6,8.7,96.6
Mexico,6.2,2.91,60.1,25.2,8.8,94.0
Germany,6.1,3.47,51.6,31.5,12.9,96.0
Canada,6.06,2.96,47.9,37.7,9.0,94.6
Switzerland,5.96,2.86,45.1,38.6,10.5,94.2
France,5.94,2.63,54.6,26.5,11.2,92.3
Belgium,5.76,2.37,50.8,28.3,12.1,91.2
Portugal,5.62,2.17,46.2,32.4,11.9,90.4
Netherlands,5.48,1.97,45.6,29.6,13.0,88.3
Ecuador,5.45,2.08,33.9,38.2,19.2,91.3
Colombia,5.42,1.81,40.4,34.9,13.2,88.5
Uruguay,5.23,1.58,24.6,51.9,12.8,89.3
Morocco,5.23,1.71,30.3,42.1,16.3,88.6
Croatia,5.11,1.45,28.4,43.9,14.8,87.0
Japan,5.0,1.26,34.7,33.4,15.5,83.6
Iran,4.75,0.91,29.1,33.5,18.4,80.9
Norway,4.36,0.34,22.4,32.2,21.1,75.6
South Korea,4.35,0.35,22.1,34.3,18.9,75.3
United States,4.21,0.2,27.9,25.5,18.1,71.5
Turkey,4.17,0.1,26.3,25.3,18.7,70.3
Australia,4.07,0.01,24.4,25.3,19.0,68.8
Senegal,4.06,-0.04,18.8,30.0,22.7,71.5
Ivory Coast,3.98,-0.12,13.8,26.7,32.5,73.0
Algeria,3.89,-0.35,14.1,31.9,22.1,68.2
Austria,3.82,-0.43,14.1,32.2,20.9,67.2
Paraguay,3.81,-0.31,21.4,23.9,18.8,64.1
Egypt,3.8,-0.41,16.0,27.1,23.6,66.7
Czech Republic,3.56,-0.78,12.7,26.3,23.3,62.3
Scotland,3.5,-0.96,9.9,22.2,30.9,63.0
Uzbekistan,3.03,-1.54,8.7,19.8,21.9,50.4
Sweden,3.0,-1.65,10.2,18.6,20.6,49.4
Panama,2.96,-1.86,6.5,18.6,24.2,49.4
Tunisia,2.95,-1.58,9.5,18.3,20.7,48.5
Bosnia and Herzegovina,2.78,-2.11,5.0,15.6,26.5,47.2
Saudi Arabia,2.38,-2.88,2.9,13.4,20.0,36.2
DR Congo,2.38,-2.44,4.8,13.0,18.1,35.8
South Africa,2.35,-2.48,5.1,14.3,16.6,35.9
Jordan,2.27,-2.87,4.7,13.9,15.5,34.1
Iraq,2.12,-2.92,4.2,11.4,14.6,30.1
New Zealand,2.12,-2.87,4.1,11.1,15.4,30.6
Cape Verde,2.09,-3.34,1.9,11.3,17.0,30.2
Ghana,2.07,-3.17,2.7,10.8,16.0,29.5
Qatar,1.9,-3.72,2.0,8.1,16.3,26.4
Haiti,1.58,-4.41,1.5,6.1,11.8,19.4
Curaçao,1.18,-5.43,0.7,3.6,7.2,11.6
