team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,7.25,5.46,73.2,23.5,2.6,99.3
Argentina,7.04,4.47,73.8,19.4,5.0,98.2
Brazil,6.97,5.42,69.7,23.5,6.1,99.3
England,6.87,4.4,66.7,27.0,4.7,98.4
Germany,6.65,5.29,62.3,26.1,10.5,98.9
Belgium,6.57,3.69,66.5,22.9,7.4,96.8
France,6.41,3.41,62.3,25.0,9.0,96.2
Switzerland,6.25,3.38,54.9,30.6,9.6,95.2
Portugal,6.18,3.07,54.0,32.8,8.5,95.3
Mexico,5.74,2.2,52.4,26.9,12.0,91.3
Netherlands,5.74,2.33,52.6,26.4,11.2,90.2
Colombia,5.64,2.1,39.0,41.7,10.6,91.3
Uruguay,5.5,1.99,24.5,58.6,9.8,92.9
Croatia,5.42,2.01,28.9,50.8,11.8,91.5
Canada,5.42,1.96,35.7,40.4,14.1,90.2
Ecuador,5.36,2.11,26.4,43.4,23.3,93.1
Morocco,5.23,1.86,22.5,48.9,20.7,92.0
Norway,4.5,0.55,21.7,35.6,22.3,79.6
United States,4.48,0.56,32.2,26.1,17.5,75.8
Iran,4.44,0.43,18.9,38.8,21.9,79.5
Austria,4.22,0.14,14.9,40.5,21.1,76.4
Japan,4.22,0.11,23.1,30.2,19.7,73.0
Ivory Coast,4.16,0.18,11.2,29.4,39.7,80.2
Czech Republic,4.14,0.08,21.2,29.8,21.3,72.3
Turkey,4.09,0.03,25.4,24.7,19.5,69.6
Senegal,4.0,-0.14,14.6,31.7,25.9,72.2
South Korea,3.99,-0.1,19.6,28.3,22.5,70.4
Australia,3.87,-0.25,21.9,24.3,19.6,65.8
Egypt,3.82,-0.39,13.1,30.6,25.4,69.1
Paraguay,3.79,-0.33,20.4,24.9,19.3,64.6
Scotland,3.72,-0.48,7.5,25.4,39.7,72.7
Sweden,3.67,-0.67,16.0,26.1,21.4,63.5
Algeria,3.65,-0.77,9.6,30.9,25.6,66.1
Bosnia and Herzegovina,3.09,-1.56,6.9,19.8,28.4,55.1
Tunisia,2.78,-1.77,8.3,17.3,18.9,44.5
Ghana,2.47,-2.63,2.9,13.3,24.2,40.4
Uzbekistan,2.46,-2.43,4.2,13.8,20.8,38.8
South Africa,2.46,-2.18,6.8,15.0,17.0,38.7
DR Congo,2.23,-2.75,2.8,11.6,19.3,33.8
Saudi Arabia,2.19,-3.35,1.4,10.5,20.6,32.5
Panama,1.96,-3.77,1.5,8.9,16.8,27.3
Qatar,1.91,-3.77,2.5,9.2,16.0,27.6
Cape Verde,1.82,-4.1,0.9,7.4,15.5,23.8
Jordan,1.78,-3.85,1.8,9.1,12.7,23.6
New Zealand,1.65,-3.73,1.6,7.8,11.1,20.4
Iraq,1.62,-3.82,1.5,7.6,11.5,20.7
Haiti,0.88,-6.8,0.3,2.2,5.1,7.6
Curaçao,0.67,-7.58,0.1,1.1,3.0,4.2
