Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,96.8,67.02,47.54,35.29,7.180000000000001,24.740000000000002,16.43
Argentina,92.88,62.239999999999995,44.59,32.11,6.93,22.1,14.75
France,87.74,59.37,35.91,22.28,5.55,12.58,6.99
England,93.73,60.029999999999994,35.19,20.89,5.45,11.84,6.329999999999999
Brazil,89.86,55.67999999999999,33.18,19.689999999999998,5.63,10.05,4.84
Colombia,85.46000000000001,52.68000000000001,29.509999999999998,16.23,4.25,9.0,4.77
Japan,90.91,51.160000000000004,29.470000000000002,16.439999999999998,4.49,8.67,4.32
Mexico,96.0,66.16,39.2,19.11,5.21,8.93,3.9899999999999998
Portugal,83.36,51.07000000000001,27.310000000000002,14.77,3.82,7.85,3.75
Ecuador,89.92,53.11,30.659999999999997,16.38,4.3,7.969999999999999,3.5700000000000003
Morocco,85.94000000000001,49.230000000000004,27.46,15.14,4.49,7.23,3.55
Germany,88.26,50.080000000000005,26.32,13.270000000000001,3.35,6.13,2.74
Netherlands,86.44,43.79,22.53,11.469999999999999,2.86,5.4399999999999995,2.34
Canada,97.19,60.3,29.26,13.23,3.2099999999999995,5.3100000000000005,1.9800000000000002
Uruguay,85.26,38.95,19.36,9.91,2.41,4.390000000000001,1.81
Australia,72.07000000000001,41.64,21.38,8.77,2.2800000000000002,3.7699999999999996,1.59
Belgium,81.88,44.32,21.54,8.58,1.9900000000000002,3.55,1.54
Turkey,70.86,40.57,20.82,8.53,2.34,3.7900000000000005,1.52
Iran,83.07,45.739999999999995,22.21,8.780000000000001,2.35,3.6799999999999997,1.44
Switzerland,92.35,50.61,22.34,9.45,2.31,3.75,1.3599999999999999
Norway,71.00999999999999,37.39,17.27,8.06,2.1399999999999997,3.32,1.3
Croatia,82.55,40.43,17.8,7.960000000000001,2.0,3.17,1.26
South Korea,81.52000000000001,44.2,20.630000000000003,8.17,2.25,3.3099999999999996,1.22
United States,66.91,37.059999999999995,17.97,6.9,2.02,2.8899999999999997,1.13
Paraguay,64.25999999999999,33.86,16.48,6.5600000000000005,1.55,2.65,1.08
Senegal,70.88,36.120000000000005,15.58,6.84,1.78,2.73,1.08
Algeria,69.97,29.92,13.91,6.18,1.6,2.5,1.0
Panama,68.72,28.68,10.75,4.07,0.98,1.25,0.38
Austria,58.75,22.12,8.88,3.15,0.61,1.1900000000000002,0.35000000000000003
Ivory Coast,68.55,27.26,10.040000000000001,3.55,0.9400000000000001,1.0699999999999998,0.33999999999999997
Uzbekistan,60.58,24.83,9.15,3.2800000000000002,0.88,1.1400000000000001,0.33999999999999997
Egypt,64.0,24.69,8.39,2.62,0.54,0.77,0.26
Scotland,53.92,18.59,6.65,2.1399999999999997,0.54,0.5700000000000001,0.13999999999999999
Jordan,45.6,13.950000000000001,4.53,1.59,0.4,0.54,0.13999999999999999
Iraq,39.58,13.04,3.7800000000000002,0.95,0.1,0.29,0.09
Haiti,38.129999999999995,10.92,3.4099999999999997,0.96,0.18,0.27,0.06
Czech Republic,52.2,18.92,6.18,1.53,0.3,0.36,0.05
DR Congo,38.9,12.42,3.7600000000000002,1.13,0.22999999999999998,0.37,0.05
Tunisia,51.39,14.149999999999999,4.34,1.03,0.16999999999999998,0.33999999999999997,0.05
South Africa,34.37,9.8,2.45,0.6,0.06,0.09,0.02
New Zealand,41.660000000000004,12.27,2.91,0.69,0.15,0.1,0.01
Sweden,37.59,8.85,1.9800000000000002,0.43,0.01,0.1,0.01
Saudi Arabia,41.85,9.629999999999999,2.35,0.48,0.08,0.08,0.01
Qatar,26.729999999999997,4.53,0.7000000000000001,0.06,0.0,0.01,0.01
Cape Verde,34.78,7.049999999999999,1.5,0.36,0.06999999999999999,0.08,0.01
Ghana,22.42,4.15,0.66,0.12,0.0,0.02,0.0
Bosnia and Herzegovina,40.21,7.19,1.34,0.16999999999999998,0.0,0.01,0.0
Curaçao,22.99,4.2299999999999995,0.83,0.1,0.02,0.01,0.0
