team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,6.7,3.92,66.9,23.9,6.0,96.8
Canada,6.54,3.82,58.2,32.8,6.2,97.2
Mexico,6.49,3.47,64.5,24.1,7.4,96.0
Argentina,6.11,2.87,59.6,23.6,9.7,92.9
England,6.1,2.93,54.7,28.4,10.6,93.7
Switzerland,5.7,2.38,36.9,44.3,11.1,92.3
Japan,5.7,2.28,47.1,31.8,12.1,90.9
Brazil,5.58,2.15,45.9,31.2,12.7,89.9
Ecuador,5.52,2.1,42.0,31.8,16.2,89.9
France,5.49,1.93,47.2,27.7,12.9,87.7
Germany,5.31,1.81,38.8,33.2,16.2,88.3
Netherlands,5.23,1.65,38.1,34.5,13.8,86.4
Colombia,5.21,1.56,39.5,31.0,14.9,85.5
Morocco,5.2,1.59,36.9,34.5,14.5,85.9
Iran,5.06,1.32,38.0,29.0,16.1,83.1
Portugal,5.06,1.3,37.8,30.5,15.1,83.4
Uruguay,4.98,1.21,24.8,45.9,14.6,85.3
Belgium,4.9,1.13,36.4,29.8,15.8,81.9
Croatia,4.79,0.99,27.0,35.9,19.7,82.5
South Korea,4.71,0.85,24.0,39.9,17.6,81.5
Australia,4.26,0.25,26.8,26.5,18.8,72.1
Turkey,4.25,0.22,27.0,25.5,18.4,70.9
Norway,4.2,0.16,23.5,27.9,19.7,71.0
Senegal,4.13,0.01,22.1,28.6,20.1,70.9
Algeria,4.06,-0.07,18.4,32.3,19.3,70.0
United States,3.97,-0.16,24.1,24.8,18.0,66.9
Panama,3.92,-0.28,15.9,27.5,25.3,68.7
Ivory Coast,3.91,-0.28,16.4,26.8,25.4,68.5
Paraguay,3.84,-0.31,22.2,23.1,18.9,64.3
Egypt,3.75,-0.42,17.4,24.9,21.7,64.0
Uzbekistan,3.57,-0.74,15.7,23.3,21.6,60.6
Austria,3.42,-0.94,12.9,24.9,20.9,58.8
Scotland,3.22,-1.35,11.0,20.2,22.7,53.9
Tunisia,3.11,-1.43,9.6,19.4,22.4,51.4
Czech Republic,3.09,-1.57,7.4,22.0,22.8,52.2
Jordan,2.86,-1.87,9.1,19.1,17.3,45.6
New Zealand,2.68,-2.03,8.3,16.4,17.0,41.7
Saudi Arabia,2.62,-2.38,4.7,16.4,20.7,41.9
Iraq,2.6,-2.11,7.2,15.9,16.5,39.6
DR Congo,2.54,-2.12,6.9,15.2,16.8,38.9
Bosnia and Herzegovina,2.52,-2.58,3.2,13.8,23.2,40.2
Haiti,2.47,-2.38,6.2,14.0,17.9,38.1
Sweden,2.45,-2.5,5.2,14.3,18.1,37.6
Cape Verde,2.32,-2.75,3.6,13.8,17.4,34.8
South Africa,2.29,-2.75,4.1,14.0,16.3,34.4
Qatar,1.94,-3.61,1.7,9.1,15.9,26.7
Curaçao,1.8,-3.63,2.9,8.2,11.9,23.0
Ghana,1.77,-3.63,2.4,8.2,11.8,22.4
