home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Ivory Coast,Uzbekistan,Neutral,1.162,1.538,27.8,27.0,45.2,27.3,5.1,6.5,46.0,7.0,8.2,38.8,61.2,"[{""score"": ""1 - 1"", ""pct"": 11.92}, {""score"": ""0 - 1"", ""pct"": 10.639999999999999}, {""score"": ""1 - 2"", ""pct"": 9.02}]"
Ivory Coast,Qatar,Neutral,1.974,0.726,67.3,21.0,11.7,66.9,7.5,8.6,11.9,2.1,3.1,83.0,17.0,"[{""score"": ""1 - 0"", ""pct"": 14.249999999999998}, {""score"": ""2 - 0"", ""pct"": 13.08}, {""score"": ""2 - 1"", ""pct"": 9.610000000000001}]"
Ivory Coast,Panama,Neutral,1.191,1.509,28.5,27.7,43.8,29.2,5.2,6.5,43.9,7.0,8.2,40.9,59.1,"[{""score"": ""1 - 1"", ""pct"": 12.41}, {""score"": ""0 - 1"", ""pct"": 10.18}, {""score"": ""1 - 2"", ""pct"": 9.4}]"
Ivory Coast,Saudi Arabia,Neutral,1.629,1.071,49.6,25.7,24.6,50.7,7.1,8.4,23.9,4.2,5.8,66.1,33.9,"[{""score"": ""1 - 1"", ""pct"": 11.5}, {""score"": ""1 - 0"", ""pct"": 10.979999999999999}, {""score"": ""2 - 1"", ""pct"": 9.950000000000001}]"
Ivory Coast,Tunisia,Neutral,1.538,1.162,45.0,27.3,27.7,46.6,6.5,8.3,27.9,4.9,5.8,61.4,38.6,"[{""score"": ""1 - 1"", ""pct"": 12.620000000000001}, {""score"": ""1 - 0"", ""pct"": 10.73}, {""score"": ""2 - 1"", ""pct"": 8.290000000000001}]"
Ivory Coast,Austria,Neutral,1.282,1.418,32.9,27.8,39.3,33.0,5.5,7.0,40.1,6.5,8.1,45.4,54.6,"[{""score"": ""1 - 1"", ""pct"": 12.55}, {""score"": ""0 - 1"", ""pct"": 9.36}, {""score"": ""1 - 0"", ""pct"": 8.66}]"
Ivory Coast,Senegal,Neutral,1.045,1.655,23.1,25.2,51.8,22.6,4.3,5.6,51.6,7.4,8.5,32.5,67.6,"[{""score"": ""1 - 1"", ""pct"": 11.78}, {""score"": ""0 - 1"", ""pct"": 11.55}, {""score"": ""1 - 2"", ""pct"": 9.74}]"
Ivory Coast,Netherlands,Neutral,0.901,1.799,17.6,23.6,58.8,17.6,3.4,4.7,58.3,7.5,8.4,25.8,74.3,"[{""score"": ""0 - 1"", ""pct"": 13.489999999999998}, {""score"": ""1 - 1"", ""pct"": 10.96}, {""score"": ""0 - 2"", ""pct"": 9.969999999999999}]"
Ivory Coast,Colombia,Neutral,0.73,1.97,11.7,21.2,67.1,12.0,2.1,2.9,67.5,7.4,8.1,17.1,83.0,"[{""score"": ""0 - 1"", ""pct"": 14.78}, {""score"": ""0 - 2"", ""pct"": 13.209999999999999}, {""score"": ""1 - 1"", ""pct"": 10.0}]"
Ivory Coast,South Korea,Neutral,1.051,1.649,23.2,25.9,50.9,23.1,4.5,5.5,50.7,7.3,8.8,33.1,66.9,"[{""score"": ""1 - 1"", ""pct"": 11.85}, {""score"": ""0 - 1"", ""pct"": 11.1}, {""score"": ""1 - 2"", ""pct"": 9.68}]"
Ivory Coast,Switzerland,Neutral,1.075,1.625,25.2,24.8,49.9,23.5,4.3,5.3,50.4,7.4,9.0,33.1,66.8,"[{""score"": ""0 - 1"", ""pct"": 11.51}, {""score"": ""1 - 1"", ""pct"": 10.97}, {""score"": ""1 - 2"", ""pct"": 10.100000000000001}]"
Ivory Coast,Australia,Neutral,0.976,1.724,20.4,25.4,54.2,20.3,4.0,4.9,54.9,7.4,8.4,29.2,70.8,"[{""score"": ""0 - 1"", ""pct"": 12.18}, {""score"": ""1 - 1"", ""pct"": 11.93}, {""score"": ""1 - 2"", ""pct"": 10.0}]"
Ivory Coast,France,Neutral,0.635,2.065,9.2,20.1,70.7,9.1,1.7,2.1,71.6,7.5,7.8,13.0,87.0,"[{""score"": ""0 - 1"", ""pct"": 14.74}, {""score"": ""0 - 2"", ""pct"": 13.91}, {""score"": ""0 - 3"", ""pct"": 9.65}]"
Ivory Coast,Morocco,Neutral,0.808,1.892,14.2,22.4,63.4,14.3,2.8,3.4,63.1,7.7,8.8,20.4,79.6,"[{""score"": ""0 - 1"", ""pct"": 13.48}, {""score"": ""0 - 2"", ""pct"": 11.27}, {""score"": ""1 - 2"", ""pct"": 10.280000000000001}]"
Ivory Coast,Argentina,Neutral,0.505,2.195,6.4,16.9,76.7,6.2,1.4,1.7,77.3,6.3,7.1,9.3,90.7,"[{""score"": ""0 - 2"", ""pct"": 16.0}, {""score"": ""0 - 1"", ""pct"": 15.5}, {""score"": ""0 - 3"", ""pct"": 10.77}]"
Ivory Coast,DR Congo,Neutral,1.45,1.25,41.6,26.8,31.6,40.5,6.2,8.3,32.6,5.2,7.1,55.0,45.0,"[{""score"": ""1 - 1"", ""pct"": 11.84}, {""score"": ""1 - 0"", ""pct"": 9.73}, {""score"": ""2 - 1"", ""pct"": 8.84}]"
