team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,6.98,4.63,70.3,24.0,3.9,98.2
Argentina,6.61,3.64,68.7,20.8,6.7,96.2
England,6.57,3.68,62.4,27.9,6.2,96.5
Brazil,6.34,3.6,58.3,28.9,8.9,96.0
Mexico,6.19,2.9,59.7,25.4,8.9,94.0
Germany,6.08,3.41,50.8,32.1,13.1,96.0
Canada,6.03,2.89,46.8,38.6,9.4,94.8
Switzerland,5.96,2.86,45.8,38.2,9.9,93.9
France,5.92,2.6,54.3,27.3,10.6,92.2
Belgium,5.72,2.36,50.8,28.6,12.0,91.4
Portugal,5.63,2.17,46.4,32.3,12.0,90.6
Ecuador,5.52,2.16,35.2,37.9,18.4,91.6
Netherlands,5.47,1.96,46.0,29.2,13.2,88.3
Colombia,5.4,1.76,39.7,35.2,13.2,88.0
Morocco,5.27,1.7,30.8,41.6,17.0,89.4
Uruguay,5.26,1.61,25.1,51.5,12.8,89.3
Croatia,5.13,1.52,29.2,43.6,14.4,87.2
Japan,4.97,1.21,34.7,32.9,15.4,83.0
Iran,4.79,0.95,29.7,33.6,18.3,81.6
Norway,4.34,0.32,22.7,31.9,20.8,75.4
South Korea,4.33,0.32,21.4,34.6,20.4,76.3
United States,4.26,0.23,29.0,25.1,17.5,71.7
Turkey,4.15,0.1,25.6,25.1,19.2,69.9
Australia,4.07,0.02,24.1,25.8,19.0,68.8
Senegal,4.05,-0.09,18.8,28.9,23.0,70.7
Ivory Coast,4.0,-0.1,13.3,26.9,34.2,74.4
Algeria,3.86,-0.38,13.9,33.6,20.8,68.3
Austria,3.81,-0.41,13.5,31.9,21.5,67.0
Paraguay,3.8,-0.34,21.2,24.1,18.6,63.9
Egypt,3.74,-0.49,15.6,26.3,23.4,65.3
Czech Republic,3.59,-0.73,13.8,25.8,23.0,62.6
Scotland,3.45,-0.99,9.4,22.9,30.6,62.9
Sweden,3.03,-1.59,10.3,19.1,20.2,49.7
Uzbekistan,2.99,-1.58,8.6,19.1,21.7,49.5
Tunisia,2.94,-1.59,9.0,18.7,20.5,48.2
Panama,2.92,-1.93,6.0,18.3,24.8,49.1
Bosnia and Herzegovina,2.81,-2.03,5.3,14.9,27.5,47.8
Saudi Arabia,2.45,-2.75,2.7,14.1,21.6,38.5
DR Congo,2.42,-2.35,5.3,13.4,17.8,36.5
South Africa,2.36,-2.49,5.2,14.2,16.3,35.7
Jordan,2.25,-2.85,3.9,13.7,15.8,33.5
New Zealand,2.15,-2.81,3.9,11.5,15.2,30.5
Iraq,2.15,-2.83,4.2,12.0,14.5,30.7
Cape Verde,2.02,-3.49,1.9,10.4,16.2,28.5
Ghana,2.01,-3.27,2.3,10.3,16.4,29.0
Qatar,1.89,-3.72,2.1,8.2,16.1,26.4
Haiti,1.6,-4.31,1.5,6.6,11.9,20.1
Curaçao,1.13,-5.46,0.7,3.1,7.3,11.1
