team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,6.98,4.61,70.2,24.2,4.0,98.3
Argentina,6.64,3.73,69.0,21.1,6.5,96.6
England,6.54,3.63,62.7,26.4,7.2,96.4
Brazil,6.33,3.6,57.6,29.4,9.1,96.1
Mexico,6.16,2.88,59.3,25.7,9.3,94.3
Germany,6.05,3.4,50.5,31.3,13.9,95.7
Canada,6.01,2.86,47.5,36.9,9.8,94.2
Switzerland,5.96,2.88,44.7,38.4,10.8,93.8
France,5.94,2.62,54.4,27.3,10.9,92.5
Belgium,5.75,2.41,51.1,29.0,11.5,91.7
Portugal,5.62,2.15,46.3,32.2,11.8,90.4
Ecuador,5.52,2.17,35.3,38.3,18.5,92.0
Netherlands,5.49,1.96,46.5,29.8,12.2,88.5
Colombia,5.37,1.74,39.8,34.5,13.5,87.8
Morocco,5.26,1.69,31.5,40.9,16.2,88.5
Uruguay,5.21,1.58,25.4,50.5,12.5,88.3
Croatia,5.14,1.5,28.4,44.0,15.1,87.5
Japan,4.97,1.21,34.4,33.1,15.6,83.1
Iran,4.78,0.94,29.6,33.6,18.3,81.6
South Korea,4.35,0.34,22.0,33.7,20.1,75.9
Norway,4.32,0.31,22.5,30.8,20.8,74.2
United States,4.23,0.2,27.8,26.0,18.0,71.8
Turkey,4.13,0.08,26.3,24.1,18.8,69.2
Senegal,4.1,-0.02,19.0,30.4,22.7,72.1
Australia,4.09,0.02,24.5,25.2,19.1,68.7
Ivory Coast,4.02,-0.08,13.5,27.1,33.6,74.2
Algeria,3.84,-0.44,13.5,33.1,21.5,68.1
Paraguay,3.84,-0.3,21.4,24.8,18.5,64.7
Austria,3.79,-0.44,13.4,31.6,21.3,66.3
Egypt,3.76,-0.45,15.3,26.5,24.1,66.0
Czech Republic,3.6,-0.7,13.6,26.6,22.6,62.8
Scotland,3.46,-0.96,9.2,22.9,30.9,63.1
Uzbekistan,3.04,-1.53,9.0,19.5,22.2,50.7
Sweden,3.01,-1.61,9.8,19.2,20.5,49.5
Tunisia,2.94,-1.56,9.3,17.9,21.2,48.4
Panama,2.9,-1.94,6.3,19.0,22.5,47.8
Bosnia and Herzegovina,2.84,-1.97,5.8,16.4,26.6,48.8
Saudi Arabia,2.49,-2.71,2.8,14.7,21.4,38.9
DR Congo,2.41,-2.37,4.9,13.8,17.8,36.5
South Africa,2.34,-2.52,5.1,14.0,16.4,35.5
Jordan,2.28,-2.85,4.1,14.2,15.9,34.2
New Zealand,2.12,-2.9,3.9,10.8,15.5,30.2
Iraq,2.11,-2.91,4.0,11.6,14.2,29.8
Ghana,2.04,-3.2,2.6,10.6,16.2,29.3
Cape Verde,2.02,-3.48,1.7,10.6,16.4,28.7
Qatar,1.88,-3.77,2.1,8.4,15.4,25.9
Haiti,1.61,-4.32,1.7,6.8,11.7,20.2
Curaçao,1.14,-5.49,0.8,3.3,7.2,11.3
