team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,7.29,5.51,73.8,23.0,2.4,99.3
Argentina,7.09,4.52,75.8,18.1,4.5,98.4
Brazil,7.0,5.39,70.0,23.0,6.2,99.2
England,6.89,4.36,67.0,26.8,4.5,98.3
Germany,6.62,5.21,61.1,27.3,10.5,98.9
Belgium,6.51,3.64,64.5,24.4,8.0,96.9
France,6.4,3.41,62.4,24.9,8.6,95.9
Switzerland,6.27,3.44,55.8,30.3,9.7,95.8
Portugal,6.21,3.1,55.2,32.7,7.6,95.5
Mexico,5.78,2.26,53.3,27.0,11.2,91.5
Netherlands,5.77,2.39,54.2,25.4,10.9,90.4
Colombia,5.59,2.08,37.9,42.4,11.1,91.3
Uruguay,5.47,1.94,24.0,58.7,9.6,92.3
Ecuador,5.44,2.18,28.0,43.5,21.7,93.2
Canada,5.42,1.96,35.0,41.5,13.7,90.2
Croatia,5.42,2.01,28.8,50.8,11.7,91.4
Morocco,5.22,1.85,22.3,49.1,20.2,91.7
Iran,4.51,0.5,21.1,37.2,21.3,79.7
Norway,4.5,0.53,20.7,36.2,23.6,80.5
United States,4.49,0.55,32.3,26.4,16.9,75.6
Austria,4.21,0.14,13.2,40.6,23.0,76.7
Japan,4.15,0.04,21.4,30.9,19.4,71.8
Czech Republic,4.14,0.1,21.6,28.9,22.2,72.8
Ivory Coast,4.12,0.2,10.8,28.1,41.1,80.0
Turkey,4.11,0.05,26.1,24.7,19.1,69.8
Senegal,4.04,-0.07,15.1,32.0,25.2,72.3
South Korea,3.95,-0.15,18.7,29.5,21.4,69.7
Australia,3.88,-0.25,21.6,24.5,19.9,65.9
Egypt,3.86,-0.35,13.1,31.4,26.2,70.8
Paraguay,3.76,-0.35,20.1,24.4,19.8,64.3
Scotland,3.71,-0.53,7.4,25.7,39.6,72.7
Sweden,3.69,-0.68,16.3,26.2,21.2,63.7
Algeria,3.65,-0.74,9.3,31.8,25.4,66.5
Bosnia and Herzegovina,3.07,-1.63,6.8,19.7,27.8,54.2
Tunisia,2.8,-1.74,8.1,17.5,19.6,45.2
South Africa,2.46,-2.2,6.3,14.5,17.5,38.4
Ghana,2.46,-2.65,2.6,13.8,23.5,39.9
Uzbekistan,2.44,-2.44,4.0,13.0,21.2,38.2
DR Congo,2.24,-2.74,2.9,11.9,19.6,34.4
Saudi Arabia,2.17,-3.37,1.4,10.1,20.5,32.1
Panama,1.95,-3.72,1.6,8.6,17.4,27.6
Qatar,1.93,-3.77,2.4,8.5,16.3,27.2
Cape Verde,1.83,-4.07,0.8,8.1,15.6,24.6
Jordan,1.75,-3.92,1.7,9.5,12.5,23.6
Iraq,1.6,-3.87,1.8,6.9,11.3,20.0
New Zealand,1.59,-3.79,1.3,6.9,10.9,19.1
Haiti,0.89,-6.71,0.3,2.2,5.5,8.0
Curaçao,0.67,-7.59,0.1,1.0,3.3,4.5
