group,team,points,goals_for,goals_against,goals_diff,position
A,Mexico,9,6,3,3,1
A,South Korea,6,5,4,1,2
A,South Africa,1,3,5,-2,3
A,Czech Republic,1,3,5,-2,4
B,Canada,7,5,3,2,1
B,Switzerland,7,5,3,2,2
B,Bosnia and Herzegovina,1,3,5,-2,3
B,Qatar,1,3,5,-2,4
C,Brazil,7,5,3,2,1
C,Morocco,7,5,3,2,2
C,Haiti,1,3,5,-2,3
C,Scotland,1,3,5,-2,4
D,United States,3,3,3,0,1
D,Paraguay,3,3,3,0,2
D,Australia,3,3,3,0,3
D,Turkey,3,3,3,0,4
E,Germany,7,5,3,2,1
E,Ecuador,5,4,3,1,2
E,Ivory Coast,4,4,4,0,3
E,Curaçao,0,3,6,-3,4
F,Netherlands,7,5,3,2,1
F,Japan,7,5,3,2,2
F,Sweden,1,3,5,-2,3
F,Tunisia,1,3,5,-2,4
G,Belgium,5,4,3,1,1
G,Iran,5,4,3,1,2
G,Egypt,3,3,3,0,3
G,New Zealand,1,3,5,-2,4
H,Spain,9,6,3,3,1
H,Uruguay,6,5,4,1,2
H,Cape Verde,1,3,5,-2,3
H,Saudi Arabia,1,3,5,-2,4
I,France,9,6,3,3,1
I,Senegal,4,4,4,0,2
I,Norway,4,4,4,0,3
I,Iraq,0,3,6,-3,4
J,Argentina,9,6,3,3,1
J,Algeria,4,4,4,0,2
J,Austria,2,3,4,-1,3
J,Jordan,1,3,5,-2,4
K,Portugal,7,5,3,2,1
K,Colombia,7,5,3,2,2
K,DR Congo,1,3,5,-2,3
K,Uzbekistan,1,3,5,-2,4
L,England,9,6,3,3,1
L,Croatia,6,5,4,1,2
L,Panama,3,4,5,-1,3
L,Ghana,0,3,6,-3,4
