Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,97.06,65.96,47.32,35.07,7.3999999999999995,24.560000000000002,16.400000000000002
Argentina,93.01,62.4,46.28,33.37,7.090000000000001,23.200000000000003,15.329999999999998
France,87.47,58.39,37.34,22.64,5.9799999999999995,12.53,6.819999999999999
England,93.77,60.5,33.660000000000004,20.32,5.029999999999999,11.83,6.510000000000001
Brazil,89.51,55.32,35.120000000000005,20.25,5.43,10.12,5.050000000000001
Japan,91.28,51.66,33.33,18.73,5.46,9.32,4.74
Colombia,85.86,53.49,28.53,15.42,4.0,8.48,4.2700000000000005
Portugal,82.71,50.89,27.46,14.69,3.81,7.86,3.7800000000000002
Ecuador,89.96,54.900000000000006,28.999999999999996,14.979999999999999,3.91,7.55,3.6700000000000004
Morocco,86.39,49.03,28.610000000000003,15.45,4.109999999999999,7.71,3.56
Mexico,95.78,64.56,36.66,17.95,4.8,8.15,3.5000000000000004
Germany,88.32,50.88,25.130000000000003,12.53,3.3000000000000003,5.79,2.5100000000000002
Netherlands,86.61999999999999,43.82,24.310000000000002,11.540000000000001,2.81,5.319999999999999,2.36
Uruguay,85.57000000000001,38.61,20.080000000000002,9.950000000000001,2.4699999999999998,4.53,1.87
Canada,97.28,61.12,31.330000000000002,12.6,2.98,5.25,1.78
Belgium,82.35,45.410000000000004,21.82,9.4,2.2399999999999998,4.32,1.68
Iran,82.87,45.300000000000004,22.15,9.28,2.3800000000000003,3.93,1.53
Norway,72.15,38.5,18.740000000000002,8.17,2.0500000000000003,3.39,1.41
Switzerland,91.97,51.01,22.0,9.33,2.39,3.46,1.31
Australia,71.75,40.8,19.03,8.219999999999999,2.26,3.3300000000000005,1.3
Croatia,82.39,39.62,16.12,7.199999999999999,1.82,3.1199999999999997,1.28
South Korea,80.47,43.88,18.91,8.35,2.17,3.26,1.27
Algeria,69.85,30.049999999999997,15.21,6.890000000000001,1.71,2.9899999999999998,1.27
Turkey,70.7,39.86,18.69,8.24,2.12,3.53,1.27
Senegal,70.59,35.61,16.54,7.41,1.9900000000000002,2.93,1.24
United States,65.13,34.849999999999994,15.68,6.0600000000000005,1.7999999999999998,2.39,0.9199999999999999
Paraguay,64.88000000000001,34.27,14.6,5.72,1.48,2.31,0.89
Uzbekistan,60.78,25.419999999999998,9.520000000000001,3.66,1.03,1.1900000000000002,0.45999999999999996
Panama,68.38,26.96,9.92,3.83,0.9199999999999999,1.3299999999999998,0.42
Austria,58.74,22.49,9.39,3.47,0.89,1.13,0.26
Jordan,45.9,14.85,5.55,1.9900000000000002,0.43,0.6799999999999999,0.26
Egypt,64.05999999999999,25.71,8.709999999999999,2.78,0.69,0.8,0.24
Ivory Coast,68.33,26.36,9.33,3.18,0.79,0.95,0.22
Czech Republic,53.74,19.49,5.62,1.54,0.21,0.4,0.13999999999999999
Scotland,53.480000000000004,17.95,6.74,2.08,0.52,0.58,0.13999999999999999
Tunisia,51.21,15.290000000000001,4.92,1.32,0.3,0.31,0.09
Iraq,40.08,13.239999999999998,4.14,1.17,0.27,0.36,0.06999999999999999
Haiti,38.3,11.01,3.74,0.98,0.22999999999999998,0.15,0.05
DR Congo,38.66,12.35,3.47,1.06,0.22,0.27999999999999997,0.05
New Zealand,41.620000000000005,11.78,2.98,0.67,0.13999999999999999,0.16999999999999998,0.03
Sweden,37.669999999999995,8.77,2.41,0.62,0.1,0.13999999999999999,0.02
Curaçao,23.41,4.32,0.72,0.12,0.01,0.03,0.01
Saudi Arabia,41.54,9.84,2.8899999999999997,0.7000000000000001,0.09,0.15,0.01
Ghana,22.15,3.8699999999999997,0.67,0.15,0.0,0.03,0.01
Qatar,27.01,4.49,0.49,0.03,0.0,0.0,0.0
Bosnia and Herzegovina,39.739999999999995,8.260000000000002,1.4500000000000002,0.13999999999999999,0.01,0.04,0.0
Cape Verde,35.17,6.9,1.5699999999999998,0.33,0.05,0.05,0.0
South Africa,34.339999999999996,9.959999999999999,2.12,0.42,0.11,0.06999999999999999,0.0
