team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,6.61,3.86,65.0,25.1,6.5,96.7
Canada,6.49,3.73,58.2,31.9,6.8,96.8
Mexico,6.45,3.39,63.0,25.4,7.4,95.9
Argentina,6.23,3.01,62.6,23.3,8.1,94.0
England,6.11,2.97,55.5,28.0,10.7,94.1
Japan,5.66,2.21,46.6,32.1,11.5,90.2
Switzerland,5.66,2.34,35.7,45.4,11.0,92.0
Brazil,5.58,2.12,46.3,30.5,12.7,89.4
France,5.51,1.97,47.6,27.4,13.1,88.0
Ecuador,5.5,2.03,41.8,32.6,15.1,89.5
Germany,5.32,1.83,39.0,33.1,16.2,88.2
Netherlands,5.25,1.66,38.6,34.1,13.9,86.6
Morocco,5.21,1.57,37.1,34.6,14.9,86.6
Colombia,5.12,1.44,38.8,29.9,15.5,84.2
Iran,5.08,1.36,38.3,30.2,15.3,83.8
Uruguay,5.06,1.28,26.7,45.1,13.9,85.7
Portugal,5.02,1.25,37.0,31.3,14.8,83.0
Belgium,4.97,1.21,36.7,29.9,16.2,82.8
Croatia,4.82,1.01,27.0,36.5,18.9,82.4
South Korea,4.69,0.83,24.5,38.9,17.7,81.2
Australia,4.28,0.25,27.8,25.7,17.8,71.2
Norway,4.24,0.15,23.8,28.2,19.9,71.9
Turkey,4.15,0.13,25.3,25.5,18.6,69.4
Senegal,4.06,-0.06,21.2,28.4,19.6,69.2
Algeria,4.04,-0.08,18.2,32.9,19.3,70.4
United States,4.03,-0.09,24.5,24.8,17.6,66.9
Panama,3.88,-0.34,15.4,27.0,25.9,68.3
Paraguay,3.87,-0.28,22.4,24.0,17.8,64.3
Ivory Coast,3.85,-0.31,15.9,25.6,26.4,68.0
Egypt,3.67,-0.53,16.7,24.6,21.0,62.3
Uzbekistan,3.61,-0.71,16.4,23.0,21.5,60.9
Austria,3.4,-0.95,11.6,25.3,21.0,57.9
Scotland,3.18,-1.4,10.0,20.9,22.5,53.5
Czech Republic,3.17,-1.42,8.6,22.4,22.7,53.7
Tunisia,3.0,-1.55,8.7,18.7,22.6,50.0
Saudi Arabia,2.8,-2.12,5.2,17.7,23.0,45.9
Jordan,2.75,-1.98,7.6,18.6,17.3,43.5
Bosnia and Herzegovina,2.67,-2.33,4.2,14.6,25.0,43.7
New Zealand,2.66,-2.04,8.3,15.3,17.4,41.0
DR Congo,2.64,-1.98,7.9,15.8,17.0,40.7
Iraq,2.62,-2.05,7.4,16.0,17.0,40.4
Sweden,2.56,-2.32,6.1,15.1,18.5,39.7
Haiti,2.51,-2.28,6.6,14.0,17.8,38.4
South Africa,2.26,-2.81,3.8,13.3,16.7,33.8
Cape Verde,2.17,-3.01,3.1,12.2,16.9,32.2
Qatar,1.89,-3.75,2.0,8.2,15.3,25.4
Curaçao,1.85,-3.55,3.2,8.7,12.3,24.2
Ghana,1.77,-3.64,2.1,8.5,11.6,22.2
