Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Argentina,98.28,73.00999999999999,62.129999999999995,49.91,9.229999999999999,37.940000000000005,25.47
Spain,99.1,77.09,60.74,50.99,9.180000000000001,38.46,25.05
France,95.92,75.9,52.6,36.58,10.68,19.900000000000002,10.65
England,96.16,65.57,37.13,23.21,6.75,11.82,5.81
Colombia,91.96,61.95,35.86,18.69,4.62,10.24,4.47
Brazil,94.28,59.86,38.66,22.12,6.93,9.700000000000001,4.2700000000000005
Portugal,89.29,57.52,31.4,15.22,4.19,7.64,3.3099999999999996
Morocco,91.01,52.6,31.91,16.650000000000002,4.77,7.1,2.87
Japan,94.98,51.04,32.83,16.939999999999998,4.859999999999999,6.79,2.71
Ecuador,94.58,61.14000000000001,32.12,16.97,5.16,7.01,2.5100000000000002
Mexico,95.39999999999999,72.11999999999999,42.89,19.35,5.6000000000000005,6.74,2.45
Uruguay,91.57,36.43,21.14,11.18,3.01,4.569999999999999,1.47
Germany,92.0,53.31,23.810000000000002,10.879999999999999,2.9899999999999998,3.95,1.39
Netherlands,91.81,43.21,23.76,10.58,2.9000000000000004,3.88,1.3
Croatia,87.05000000000001,40.23,15.61,6.2700000000000005,1.6400000000000001,2.06,0.7100000000000001
Australia,72.37,44.41,19.21,6.660000000000001,1.5599999999999998,2.3800000000000003,0.64
Iran,88.52,50.39,21.560000000000002,6.38,1.6099999999999999,2.2800000000000002,0.62
South Korea,85.34,49.27,19.52,5.82,1.53,1.69,0.54
Belgium,86.85000000000001,47.46,18.84,5.56,1.38,2.02,0.53
Turkey,80.69,48.61,20.53,6.4799999999999995,1.68,2.02,0.52
Switzerland,96.99,55.82,20.93,5.79,1.3299999999999998,1.8900000000000001,0.47000000000000003
Senegal,71.67999999999999,34.55,14.499999999999998,5.45,1.32,1.6199999999999999,0.44999999999999996
Canada,95.92,56.65,24.15,6.569999999999999,1.37,1.7399999999999998,0.44
Norway,74.56,37.419999999999995,16.45,6.29,1.72,1.82,0.37
Paraguay,62.28,33.82,12.61,3.8699999999999997,0.86,1.2,0.25
Algeria,67.58999999999999,20.26,8.33,3.09,0.69,0.9400000000000001,0.25
Uzbekistan,57.89,21.75,6.5600000000000005,1.96,0.49,0.61,0.15
Austria,49.65,12.120000000000001,4.04,0.9900000000000001,0.22,0.22999999999999998,0.06
United States,60.58,30.470000000000002,9.610000000000001,1.55,0.35000000000000003,0.24,0.06
Scotland,51.27,13.850000000000001,3.6799999999999997,0.8,0.15,0.15,0.05
Panama,71.56,23.09,7.380000000000001,2.06,0.43,0.52,0.05
Ivory Coast,64.84,18.740000000000002,4.6899999999999995,1.16,0.16,0.21,0.03
Egypt,57.730000000000004,18.75,4.46,0.76,0.12,0.15,0.02
Czech Republic,63.94,22.62,4.9799999999999995,0.89,0.2,0.13999999999999999,0.02
DR Congo,29.220000000000002,7.180000000000001,1.4000000000000001,0.31,0.08,0.05,0.02
Jordan,46.379999999999995,11.33,3.6700000000000004,0.7000000000000001,0.1,0.19,0.02
South Africa,25.319999999999997,5.58,0.88,0.06999999999999999,0.01,0.0,0.0
Saudi Arabia,41.68,6.81,1.17,0.1,0.01,0.0,0.0
Curaçao,17.47,2.23,0.24,0.02,0.0,0.0,0.0
Cape Verde,23.24,2.83,0.35000000000000003,0.04,0.0,0.0,0.0
Iraq,26.41,6.69,1.4200000000000002,0.24,0.0,0.04,0.0
Sweden,33.85,4.67,0.8500000000000001,0.16999999999999998,0.04,0.04,0.0
Haiti,29.87,5.609999999999999,1.26,0.16,0.02,0.0,0.0
Ghana,14.979999999999999,1.71,0.22,0.02,0.0,0.0,0.0
Tunisia,44.230000000000004,7.720000000000001,1.72,0.27999999999999997,0.04,0.0,0.0
Bosnia and Herzegovina,37.64,5.06,0.6799999999999999,0.05,0.0,0.0,0.0
New Zealand,37.87,8.38,1.23,0.16,0.02,0.03,0.0
Qatar,28.199999999999996,3.17,0.29,0.01,0.0,0.0,0.0
