team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,7.35,5.0,75.9,20.5,2.7,99.1
Argentina,7.13,4.51,77.7,16.2,4.1,98.0
Switzerland,6.69,3.82,59.0,32.6,5.7,97.4
France,6.5,3.51,64.7,23.1,8.3,96.2
England,6.49,3.54,60.7,26.2,9.2,96.1
Mexico,6.45,3.49,61.8,25.7,8.9,96.3
Ecuador,6.2,3.1,52.1,32.1,10.8,95.0
Japan,6.2,3.09,52.5,33.8,8.9,95.2
Brazil,6.17,3.04,53.8,31.9,8.9,94.7
Canada,5.96,2.93,37.4,51.1,7.8,96.3
Colombia,5.9,2.62,49.0,32.1,11.5,92.6
Netherlands,5.62,2.22,39.7,40.4,11.5,91.6
Germany,5.55,2.14,37.5,39.5,14.6,91.7
Morocco,5.53,2.06,37.5,40.5,12.9,91.0
Portugal,5.47,1.98,38.6,37.3,14.1,90.0
Iran,5.37,1.83,41.4,31.4,15.2,88.1
Belgium,5.31,1.75,40.4,32.4,15.0,87.8
Uruguay,5.26,1.68,21.1,57.9,12.5,91.4
Croatia,4.97,1.28,25.4,40.3,20.9,86.7
South Korea,4.94,1.18,25.6,41.9,18.6,86.1
Turkey,4.83,1.08,35.1,28.5,17.2,80.9
Australia,4.3,0.3,28.1,25.1,19.4,72.6
Norway,4.2,0.1,17.2,35.0,22.8,75.0
Senegal,3.98,-0.2,15.4,31.7,24.2,71.3
Panama,3.94,-0.28,13.0,28.8,30.9,72.6
Algeria,3.85,-0.5,11.5,38.2,19.7,69.5
Paraguay,3.76,-0.48,20.5,23.6,19.4,63.5
United States,3.53,-0.9,16.3,22.7,20.7,59.7
Ivory Coast,3.5,-0.95,9.3,22.9,32.3,64.5
Egypt,3.43,-0.99,12.7,22.8,24.5,60.0
Czech Republic,3.42,-1.04,10.5,23.2,26.8,60.5
Uzbekistan,3.21,-1.38,9.1,21.1,26.2,56.4
Austria,2.93,-1.89,5.9,24.3,19.4,49.5
Scotland,2.92,-1.85,6.2,17.6,27.4,51.2
Jordan,2.73,-2.12,4.9,21.2,19.2,45.4
Tunisia,2.7,-2.22,4.9,15.3,25.3,45.5
Saudi Arabia,2.45,-2.81,2.0,13.9,25.1,41.0
New Zealand,2.39,-2.59,5.5,13.3,17.7,36.5
Bosnia and Herzegovina,2.17,-3.22,1.9,9.0,23.3,34.3
Sweden,2.13,-3.09,2.9,10.5,19.4,32.8
Haiti,2.02,-3.25,2.5,9.9,17.6,30.0
DR Congo,2.02,-3.22,3.2,9.5,16.2,28.9
Qatar,1.98,-3.54,1.7,7.2,20.2,29.1
Iraq,1.92,-3.4,2.7,10.1,13.5,26.4
South Africa,1.86,-3.64,2.1,9.2,14.4,25.6
Cape Verde,1.77,-3.87,1.1,7.7,15.6,24.4
Curaçao,1.43,-4.3,1.1,5.5,10.3,16.8
Ghana,1.31,-4.53,0.9,4.7,9.1,14.7
