home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Scotland,Saudi Arabia,Neutral,1.63,1.07,50.3,25.4,24.3,50.3,7.3,8.8,23.9,4.2,5.5,66.5,33.5,"[{""score"": ""1 - 0"", ""pct"": 11.75}, {""score"": ""1 - 1"", ""pct"": 11.540000000000001}, {""score"": ""2 - 1"", ""pct"": 9.53}]"
Scotland,Ghana,Neutral,1.842,0.858,60.9,23.4,15.7,60.5,7.8,8.3,16.5,3.0,3.9,76.6,23.4,"[{""score"": ""1 - 0"", ""pct"": 13.15}, {""score"": ""2 - 0"", ""pct"": 11.33}, {""score"": ""1 - 1"", ""pct"": 10.85}]"
Scotland,Czech Republic,Neutral,1.468,1.232,43.0,26.2,30.8,41.5,6.8,8.3,31.0,5.5,6.9,56.7,43.4,"[{""score"": ""1 - 1"", ""pct"": 11.97}, {""score"": ""1 - 0"", ""pct"": 10.08}, {""score"": ""2 - 1"", ""pct"": 9.46}]"
Scotland,Uzbekistan,Neutral,1.163,1.537,26.8,27.1,46.2,28.5,5.5,6.3,45.0,6.9,7.8,40.3,59.7,"[{""score"": ""1 - 1"", ""pct"": 12.08}, {""score"": ""0 - 1"", ""pct"": 10.22}, {""score"": ""1 - 2"", ""pct"": 9.53}]"
Scotland,Senegal,Neutral,1.046,1.654,22.9,25.9,51.3,23.2,4.1,5.9,50.7,7.8,8.4,33.1,66.9,"[{""score"": ""1 - 1"", ""pct"": 11.93}, {""score"": ""0 - 1"", ""pct"": 11.77}, {""score"": ""1 - 2"", ""pct"": 9.629999999999999}]"
Scotland,France,Neutral,0.636,2.064,9.2,19.9,70.9,9.2,2.0,2.5,70.5,7.6,8.2,13.7,86.3,"[{""score"": ""0 - 1"", ""pct"": 14.31}, {""score"": ""0 - 2"", ""pct"": 14.11}, {""score"": ""0 - 3"", ""pct"": 9.569999999999999}]"
Scotland,England,Neutral,0.69,2.01,10.1,20.5,69.4,10.5,2.2,2.8,69.0,7.3,8.3,15.5,84.5,"[{""score"": ""0 - 1"", ""pct"": 14.899999999999999}, {""score"": ""0 - 2"", ""pct"": 13.239999999999998}, {""score"": ""1 - 2"", ""pct"": 8.92}]"
Scotland,Colombia,Neutral,0.731,1.969,11.7,21.1,67.2,12.0,2.4,3.2,65.8,7.8,8.9,17.5,82.5,"[{""score"": ""0 - 1"", ""pct"": 14.44}, {""score"": ""0 - 2"", ""pct"": 12.809999999999999}, {""score"": ""1 - 1"", ""pct"": 9.76}]"
Scotland,Sweden,Neutral,1.64,1.06,50.1,26.0,23.9,50.8,7.3,8.8,23.3,4.2,5.6,66.9,33.1,"[{""score"": ""1 - 1"", ""pct"": 11.86}, {""score"": ""1 - 0"", ""pct"": 11.379999999999999}, {""score"": ""2 - 1"", ""pct"": 9.22}]"
Scotland,Brazil,Neutral,0.737,1.963,12.3,21.7,66.0,12.0,2.5,3.4,66.0,7.6,8.4,17.9,82.1,"[{""score"": ""0 - 1"", ""pct"": 13.69}, {""score"": ""0 - 2"", ""pct"": 13.100000000000001}, {""score"": ""1 - 1"", ""pct"": 9.67}]"
Scotland,Iran,Neutral,1.013,1.687,22.4,24.6,53.0,21.4,4.4,5.3,53.2,7.0,8.6,31.1,68.9,"[{""score"": ""0 - 1"", ""pct"": 12.0}, {""score"": ""1 - 1"", ""pct"": 10.870000000000001}, {""score"": ""1 - 2"", ""pct"": 10.02}]"
Scotland,Paraguay,Neutral,1.076,1.624,24.2,26.4,49.4,24.5,4.2,5.3,50.2,7.8,8.0,34.0,66.0,"[{""score"": ""1 - 1"", ""pct"": 12.479999999999999}, {""score"": ""0 - 1"", ""pct"": 11.700000000000001}, {""score"": ""1 - 2"", ""pct"": 9.53}]"
Scotland,Mexico,Neutral,0.877,1.823,16.6,24.3,59.1,15.5,3.1,4.3,60.6,7.6,8.9,22.9,77.1,"[{""score"": ""0 - 1"", ""pct"": 12.72}, {""score"": ""1 - 1"", ""pct"": 11.219999999999999}, {""score"": ""0 - 2"", ""pct"": 10.97}]"
Scotland,Switzerland,Neutral,1.076,1.624,25.2,25.5,49.3,24.0,4.6,5.6,49.5,7.2,9.1,34.2,65.8,"[{""score"": ""1 - 1"", ""pct"": 11.25}, {""score"": ""0 - 1"", ""pct"": 10.69}, {""score"": ""1 - 2"", ""pct"": 9.06}]"
Scotland,Norway,Neutral,1.007,1.693,21.5,25.2,53.3,20.9,4.1,5.4,53.4,6.9,9.2,30.5,69.5,"[{""score"": ""1 - 1"", ""pct"": 11.65}, {""score"": ""0 - 1"", ""pct"": 11.39}, {""score"": ""1 - 2"", ""pct"": 9.879999999999999}]"
Scotland,New Zealand,Neutral,1.61,1.09,49.8,26.2,24.0,48.6,6.9,8.4,25.5,4.9,5.6,64.0,36.0,"[{""score"": ""1 - 1"", ""pct"": 11.690000000000001}, {""score"": ""1 - 0"", ""pct"": 11.06}, {""score"": ""2 - 1"", ""pct"": 9.790000000000001}]"
Scotland,Tunisia,Neutral,1.539,1.161,45.5,26.9,27.6,46.1,6.7,8.5,27.8,4.8,6.1,61.3,38.7,"[{""score"": ""1 - 1"", ""pct"": 12.41}, {""score"": ""1 - 0"", ""pct"": 10.620000000000001}, {""score"": ""2 - 1"", ""pct"": 9.32}]"
Scotland,Haiti,Neutral,1.562,1.138,47.2,26.8,25.9,46.3,7.2,8.3,27.1,4.8,6.3,61.7,38.3,"[{""score"": ""1 - 1"", ""pct"": 12.11}, {""score"": ""1 - 0"", ""pct"": 11.53}, {""score"": ""2 - 1"", ""pct"": 9.1}]"
Scotland,Iraq,Neutral,1.508,1.192,45.3,26.4,28.3,44.9,6.7,8.5,28.5,4.9,6.5,60.1,39.9,"[{""score"": ""1 - 1"", ""pct"": 11.75}, {""score"": ""1 - 0"", ""pct"": 10.65}, {""score"": ""2 - 1"", ""pct"": 9.56}]"
Scotland,Uruguay,Neutral,0.894,1.806,17.5,23.3,59.2,17.0,3.2,4.4,59.1,7.4,8.8,24.7,75.3,"[{""score"": ""0 - 1"", ""pct"": 12.520000000000001}, {""score"": ""0 - 2"", ""pct"": 10.34}, {""score"": ""1 - 1"", ""pct"": 10.26}]"
Scotland,Bosnia and Herzegovina,Neutral,1.9,0.8,63.3,22.6,14.1,63.4,7.2,8.9,14.0,2.8,3.6,79.6,20.4,"[{""score"": ""1 - 0"", ""pct"": 13.38}, {""score"": ""2 - 0"", ""pct"": 12.15}, {""score"": ""1 - 1"", ""pct"": 10.12}]"
Scotland,Egypt,Neutral,1.419,1.281,39.6,27.7,32.8,39.8,7.0,7.9,32.9,5.5,7.0,54.7,45.3,"[{""score"": ""1 - 1"", ""pct"": 12.73}, {""score"": ""1 - 0"", ""pct"": 9.62}, {""score"": ""0 - 1"", ""pct"": 8.959999999999999}]"
