Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,98.1,70.65,50.43,37.730000000000004,8.21,26.040000000000003,16.57
Argentina,96.21,65.9,50.07,36.1,8.17,24.0,15.43
Brazil,96.00999999999999,66.81,45.94,28.78,7.85,16.13,9.44
France,92.84,65.74,42.36,26.889999999999997,7.23,14.91,8.01
England,95.85000000000001,64.58,39.839999999999996,24.67,6.63,14.099999999999998,7.6
Portugal,89.73,59.88,35.709999999999994,20.169999999999998,4.97,11.200000000000001,5.6899999999999995
Colombia,87.44,56.98,32.16,17.740000000000002,4.18,10.09,5.2
Germany,95.28999999999999,58.96,31.009999999999998,16.64,4.91,7.85,3.55
Morocco,88.83,50.370000000000005,30.259999999999998,15.45,3.9800000000000004,7.46,3.2300000000000004
Netherlands,88.23,44.17,27.3,14.46,3.94,6.87,3.15
Belgium,90.53,57.97,31.11,13.54,3.2099999999999995,6.47,2.6100000000000003
Uruguay,88.63,42.120000000000005,22.86,11.68,2.77,5.42,2.29
Ecuador,90.83,51.61,25.230000000000004,12.790000000000001,3.34,5.489999999999999,2.09
Mexico,93.41000000000001,61.8,31.31,13.059999999999999,3.49,5.04,2.07
Japan,84.11,40.1,23.11,11.25,3.1,4.55,1.9900000000000002
Croatia,87.08,43.419999999999995,19.97,9.41,2.35,3.9600000000000004,1.71
Switzerland,94.11,56.18,24.77,9.4,2.4299999999999997,3.8699999999999997,1.47
Norway,75.16000000000001,38.61,17.7,7.539999999999999,1.92,2.92,1.1199999999999999
Iran,82.06,43.79,18.86,7.07,1.95,2.64,0.8
Senegal,70.54,33.489999999999995,14.09,5.87,1.48,2.1,0.69
United States,69.28999999999999,37.69,15.939999999999998,5.8500000000000005,1.63,2.01,0.6799999999999999
Turkey,70.36,37.940000000000005,16.53,5.88,1.44,2.11,0.65
South Korea,76.64999999999999,39.21,15.22,5.63,1.3,1.9300000000000002,0.58
Canada,94.47,52.32,21.29,6.8500000000000005,1.53,2.04,0.5700000000000001
Australia,69.02000000000001,37.38,15.18,5.6000000000000005,1.28,2.04,0.5599999999999999
Paraguay,64.95,33.019999999999996,12.590000000000002,4.24,1.18,1.39,0.41000000000000003
Austria,66.75,23.49,9.71,3.63,0.74,1.32,0.38999999999999996
Algeria,69.13,24.88,10.71,3.9800000000000004,1.05,1.41,0.33999999999999997
Uzbekistan,51.51,18.099999999999998,5.65,1.8599999999999999,0.29,0.63,0.22
Egypt,65.71000000000001,26.669999999999998,8.73,2.45,0.51,0.7100000000000001,0.2
Ivory Coast,73.56,27.63,8.89,2.6,0.6,0.69,0.15
Scotland,62.67,21.14,7.62,2.4899999999999998,0.5700000000000001,0.62,0.12
Czech Republic,62.27,26.02,8.309999999999999,2.13,0.5,0.59,0.12
Sweden,48.84,12.91,4.3999999999999995,1.04,0.2,0.27999999999999997,0.09
Tunisia,48.49,12.57,4.26,1.17,0.33999999999999997,0.29,0.05
DR Congo,36.47,10.8,2.78,0.7000000000000001,0.13999999999999999,0.15,0.04
Panama,51.29,13.950000000000001,3.6799999999999997,1.17,0.21,0.22999999999999998,0.04
Iraq,29.439999999999998,7.249999999999999,1.54,0.33999999999999997,0.09,0.06,0.02
South Africa,36.51,10.38,2.31,0.52,0.09,0.1,0.01
Bosnia and Herzegovina,47.339999999999996,10.93,2.11,0.22999999999999998,0.02,0.03,0.01
Qatar,26.85,4.47,0.53,0.06,0.01,0.01,0.01
Saudi Arabia,39.660000000000004,7.920000000000001,1.6199999999999999,0.33999999999999997,0.03,0.09,0.01
Jordan,33.73,7.95,2.18,0.36,0.06,0.1,0.01
Ghana,28.99,5.029999999999999,1.05,0.22999999999999998,0.03,0.03,0.01
Curaçao,12.24,1.32,0.13999999999999999,0.02,0.0,0.0,0.0
Haiti,19.7,3.62,0.86,0.1,0.01,0.01,0.0
New Zealand,30.37,7.140000000000001,1.1900000000000002,0.12,0.01,0.0,0.0
Cape Verde,28.749999999999996,5.140000000000001,0.89,0.16999999999999998,0.03,0.02,0.0
