team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,7.0,4.67,69.7,23.9,4.5,98.2
Argentina,6.66,3.72,68.0,21.6,6.7,96.2
England,6.57,3.66,62.1,26.9,7.0,96.0
Brazil,6.34,3.63,57.2,28.9,10.0,96.2
Mexico,6.18,2.88,59.1,25.2,9.5,93.8
Germany,6.07,3.43,50.0,31.8,13.9,95.7
Canada,6.04,2.89,46.5,37.8,10.2,94.6
Switzerland,6.0,2.91,45.5,38.5,10.1,94.0
France,5.97,2.65,54.4,26.7,11.0,92.0
Belgium,5.72,2.33,49.3,28.4,13.2,91.0
Portugal,5.59,2.11,45.4,31.8,12.7,89.9
Netherlands,5.47,1.97,45.2,29.4,13.4,88.1
Ecuador,5.45,2.06,34.8,37.1,18.6,90.5
Colombia,5.34,1.73,39.1,34.1,14.4,87.5
Morocco,5.26,1.69,31.1,40.6,16.5,88.1
Uruguay,5.18,1.53,24.9,50.4,12.8,88.2
Croatia,5.13,1.47,28.6,44.0,14.2,86.8
Japan,4.97,1.21,34.2,32.6,16.3,83.1
Iran,4.76,0.89,29.5,33.0,18.3,80.9
South Korea,4.35,0.36,22.5,33.3,19.9,75.7
Norway,4.33,0.3,22.3,30.8,21.8,74.9
United States,4.26,0.23,28.5,25.0,18.4,71.9
Turkey,4.15,0.12,25.6,25.3,19.3,70.2
Australia,4.09,0.02,24.7,25.5,18.4,68.7
Senegal,4.07,-0.03,19.0,30.1,22.0,71.1
Ivory Coast,4.01,-0.06,14.3,27.4,32.8,74.5
Algeria,3.84,-0.38,14.4,32.0,21.6,68.0
Paraguay,3.79,-0.37,21.2,24.1,18.2,63.5
Austria,3.78,-0.45,13.4,31.2,22.0,66.6
Egypt,3.77,-0.42,16.4,26.7,22.8,66.0
Czech Republic,3.56,-0.77,13.0,27.0,22.2,62.1
Scotland,3.48,-0.97,9.8,23.5,29.9,63.2
Uzbekistan,3.06,-1.51,9.6,19.7,21.6,50.8
Sweden,3.03,-1.61,10.6,19.1,20.3,50.0
Tunisia,2.97,-1.57,10.0,18.9,20.0,48.9
Panama,2.87,-1.98,6.5,18.3,23.4,48.2
Bosnia and Herzegovina,2.79,-2.02,5.6,15.2,27.3,48.1
Saudi Arabia,2.49,-2.71,3.3,15.0,20.9,39.2
DR Congo,2.43,-2.33,5.9,14.4,17.3,37.6
South Africa,2.38,-2.47,5.4,14.5,16.7,36.6
Jordan,2.27,-2.89,4.2,15.2,14.8,34.2
New Zealand,2.17,-2.8,4.7,11.8,15.2,31.7
Iraq,2.12,-2.92,4.3,12.4,13.7,30.4
Ghana,2.08,-3.16,2.9,10.8,16.6,30.2
Cape Verde,2.02,-3.48,2.1,10.7,16.1,28.9
Qatar,1.87,-3.79,2.4,8.5,15.4,26.2
Haiti,1.58,-4.36,1.8,7.0,11.2,20.0
Curaçao,1.16,-5.43,0.8,3.8,7.1,11.7
