Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,98.22,70.06,49.830000000000005,37.6,8.07,25.88,17.07
Argentina,96.14,65.86999999999999,49.61,36.07,8.72,23.74,15.229999999999999
Brazil,96.00999999999999,66.29,45.129999999999995,28.49,7.7700000000000005,16.220000000000002,8.97
England,96.0,65.88000000000001,41.72,25.95,6.54,15.340000000000002,8.290000000000001
France,92.03,65.14,42.53,26.22,7.2700000000000005,14.030000000000001,7.720000000000001
Portugal,89.3,59.67,35.54,19.84,5.2299999999999995,10.93,5.41
Colombia,87.74,56.92,32.29,17.4,4.44,9.21,4.590000000000001
Morocco,88.64999999999999,51.89,30.98,16.71,4.4799999999999995,8.06,3.7699999999999996
Germany,95.37,59.34,31.64,17.06,4.66,8.09,3.47
Netherlands,88.31,44.32,27.68,14.66,3.9899999999999998,6.8500000000000005,3.37
Belgium,91.03,58.02,31.979999999999997,13.639999999999999,3.58,6.260000000000001,2.7
Ecuador,91.03,52.03,24.310000000000002,11.93,2.94,5.47,2.37
Uruguay,88.74,42.66,23.1,12.27,3.1199999999999997,5.65,2.15
Mexico,93.2,60.540000000000006,30.06,12.41,3.0700000000000003,4.99,2.0500000000000003
Japan,83.71,38.96,22.07,10.59,2.86,4.66,1.8399999999999999
Croatia,86.6,43.43,19.75,9.56,2.33,3.95,1.43
Switzerland,94.24,56.11000000000001,24.93,10.280000000000001,2.4,3.9,1.4000000000000001
Norway,75.22,38.269999999999996,17.89,7.28,1.96,2.76,1.08
Iran,81.34,43.11,17.57,6.49,1.68,2.23,0.83
Turkey,71.24000000000001,39.14,16.42,5.9799999999999995,1.53,2.15,0.8099999999999999
United States,69.67,37.71,16.02,5.96,1.44,2.29,0.76
Senegal,71.28999999999999,33.58,14.81,6.21,1.5599999999999998,2.18,0.72
South Korea,76.53999999999999,39.550000000000004,15.590000000000002,5.07,1.0999999999999999,1.9300000000000002,0.61
Australia,68.2,36.38,15.290000000000001,5.41,1.21,2.07,0.53
Canada,94.39,53.449999999999996,22.61,7.22,1.38,2.19,0.52
Algeria,69.19999999999999,24.82,10.58,4.09,1.13,1.4200000000000002,0.45999999999999996
Austria,66.24,23.0,9.55,3.4000000000000004,0.8200000000000001,1.24,0.4
Paraguay,64.9,31.78,11.99,4.24,0.96,1.55,0.4
Egypt,65.67,25.97,8.66,2.56,0.6,0.7100000000000001,0.2
Ivory Coast,74.07000000000001,28.53,9.19,2.83,0.61,0.8999999999999999,0.18
Scotland,61.160000000000004,21.17,7.8100000000000005,2.21,0.41000000000000003,0.6799999999999999,0.16
Czech Republic,62.08,26.75,8.73,2.41,0.49,0.59,0.15
Sweden,48.75,12.370000000000001,4.01,1.21,0.22999999999999998,0.3,0.08
Uzbekistan,51.49,17.9,5.46,1.6099999999999999,0.42,0.44,0.06
Tunisia,48.38,12.559999999999999,4.19,1.23,0.32,0.24,0.06
Panama,49.7,13.07,3.35,0.84,0.1,0.21,0.04
DR Congo,36.9,10.63,2.58,0.6799999999999999,0.1,0.2,0.04
South Africa,37.08,10.620000000000001,2.48,0.32,0.04,0.08,0.03
Saudi Arabia,40.1,8.02,1.67,0.38999999999999996,0.11,0.06999999999999999,0.02
Cape Verde,28.96,5.13,0.9199999999999999,0.11,0.01,0.02,0.01
Haiti,20.78,3.4299999999999997,0.8500000000000001,0.11,0.03,0.02,0.01
Bosnia and Herzegovina,47.510000000000005,11.16,2.03,0.27999999999999997,0.02,0.05,0.01
Iraq,30.270000000000003,7.359999999999999,1.48,0.25,0.06999999999999999,0.04,0.0
Ghana,29.18,5.47,0.9299999999999999,0.15,0.05,0.02,0.0
Jordan,34.12,8.6,2.26,0.5499999999999999,0.11,0.16,0.0
Qatar,26.47,4.68,0.61,0.08,0.01,0.03,0.0
New Zealand,30.740000000000002,7.32,1.21,0.13999999999999999,0.03,0.0,0.0
Curaçao,12.04,1.34,0.11,0.01,0.0,0.0,0.0
