Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,99.1,73.36,52.43,39.79,8.55,27.229999999999997,17.02
Argentina,98.47,66.79,51.93,36.64,9.59,22.63,14.2
Brazil,99.28,76.25999999999999,57.17,39.160000000000004,10.17,23.799999999999997,13.99
England,98.1,71.19,49.04,30.17,7.720000000000001,18.34,10.440000000000001
Portugal,95.39,69.17999999999999,45.65,25.779999999999998,6.550000000000001,14.75,7.71
France,95.86,69.39,44.31,27.900000000000002,7.48,14.940000000000001,7.6499999999999995
Colombia,91.42,59.35,33.73,17.849999999999998,4.6899999999999995,9.22,4.3999999999999995
Germany,98.76,67.43,37.16,21.07,5.67,9.77,4.38
Belgium,96.59,71.94,45.76,20.13,4.8,10.41,4.17
Netherlands,90.28,46.79,32.23,17.7,5.0,7.7700000000000005,3.0
Uruguay,92.73,43.69,24.67,13.139999999999999,3.49,5.7299999999999995,2.31
Morocco,91.74,50.160000000000004,29.69,14.330000000000002,3.83,5.6000000000000005,2.1
Croatia,91.07,47.24,22.1,10.040000000000001,2.63,4.0,1.4000000000000001
Switzerland,95.50999999999999,62.83,26.729999999999997,10.36,2.7199999999999998,3.65,1.28
Ecuador,93.22,50.29,20.830000000000002,9.030000000000001,2.5700000000000003,3.17,1.22
Norway,79.63,37.54,15.17,5.93,1.4500000000000002,1.97,0.7000000000000001
United States,76.33,42.230000000000004,16.91,5.1499999999999995,1.06,1.7399999999999998,0.52
Mexico,91.07,54.04,22.27,6.97,1.7399999999999998,2.03,0.45999999999999996
Japan,72.15,26.150000000000002,12.94,4.96,1.23,1.52,0.38999999999999996
Austria,76.18,25.25,9.84,3.5000000000000004,0.79,1.24,0.38
Iran,80.07,38.25,13.120000000000001,3.8,0.88,1.08,0.32
Senegal,72.39,30.98,12.16,4.41,1.04,1.41,0.31
Turkey,69.91000000000001,35.89,11.65,3.5700000000000003,0.73,1.09,0.22999999999999998
Ivory Coast,79.81,30.240000000000002,7.920000000000001,2.15,0.48,0.52,0.2
Australia,65.14,30.5,9.62,2.91,0.5499999999999999,0.8200000000000001,0.2
Paraguay,63.5,29.720000000000002,9.69,2.6100000000000003,0.58,0.8200000000000001,0.2
Algeria,65.74,19.5,6.950000000000001,2.12,0.37,0.5700000000000001,0.16
Sweden,62.64999999999999,19.39,8.35,2.91,0.66,0.8099999999999999,0.15
Egypt,69.59,28.38,8.01,2.1,0.43,0.47000000000000003,0.09
Czech Republic,72.68,33.61,10.59,2.53,0.47000000000000003,0.53,0.09
Canada,89.96,44.800000000000004,13.69,3.2199999999999998,0.59,0.59,0.08
South Korea,69.23,30.490000000000002,9.719999999999999,2.32,0.52,0.59,0.08
Scotland,71.78,24.73,8.82,2.12,0.44,0.5,0.06
Tunisia,46.25,11.04,3.6999999999999997,1.0999999999999999,0.2,0.25,0.05
DR Congo,33.07,7.16,1.6199999999999999,0.35000000000000003,0.05,0.06999999999999999,0.01
Ghana,39.96,6.79,1.44,0.31,0.05,0.06,0.01
Iraq,20.9,3.55,0.66,0.11,0.0,0.01,0.01
Saudi Arabia,32.61,5.46,0.96,0.13999999999999999,0.01,0.03,0.01
South Africa,39.93,11.219999999999999,2.3,0.26,0.01,0.09,0.01
Uzbekistan,39.08,9.33,2.35,0.53,0.13,0.1,0.01
Bosnia and Herzegovina,54.449999999999996,17.02,3.3099999999999996,0.44999999999999996,0.05,0.04,0.0
Haiti,7.85,0.66,0.09,0.02,0.0,0.0,0.0
Jordan,24.310000000000002,3.91,0.58,0.11,0.0,0.02,0.0
Qatar,28.15,5.17,0.54,0.04,0.0,0.0,0.0
Panama,28.43,3.8899999999999997,0.7000000000000001,0.13999999999999999,0.02,0.01,0.0
Cape Verde,24.25,3.6900000000000004,0.59,0.05,0.0,0.01,0.0
Curaçao,5.09,0.25,0.0,0.0,0.0,0.0,0.0
New Zealand,20.34,3.2800000000000002,0.31,0.02,0.01,0.0,0.0
