team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,7.3,5.51,73.5,22.6,3.0,99.2
Argentina,7.09,4.56,74.1,19.2,5.0,98.3
Brazil,6.98,5.47,68.2,24.5,6.6,99.2
England,6.86,4.29,65.4,27.3,4.9,97.7
Germany,6.66,5.28,60.4,27.7,11.0,99.1
Belgium,6.56,3.7,64.9,23.5,8.4,96.8
France,6.37,3.32,59.7,26.5,9.7,96.0
Switzerland,6.27,3.41,54.4,31.1,9.6,95.1
Portugal,6.21,3.09,53.3,33.2,8.7,95.2
Mexico,5.75,2.23,52.2,26.9,12.0,91.1
Netherlands,5.74,2.35,52.4,25.3,11.8,89.5
Colombia,5.64,2.13,38.9,41.6,11.1,91.6
Uruguay,5.46,1.94,23.9,58.5,10.0,92.4
Croatia,5.45,2.05,29.2,50.7,11.6,91.5
Ecuador,5.41,2.13,27.8,42.8,22.4,93.0
Canada,5.41,1.96,35.0,40.6,14.2,89.7
Morocco,5.27,1.88,24.2,47.5,19.6,91.2
Norway,4.51,0.56,22.2,35.2,22.7,80.1
United States,4.49,0.57,32.0,26.5,17.0,75.4
Iran,4.45,0.44,19.7,38.0,21.6,79.4
Japan,4.2,0.1,22.6,30.3,19.4,72.3
Austria,4.19,0.09,14.3,39.5,21.7,75.5
Turkey,4.13,0.07,26.3,25.4,18.4,70.0
Ivory Coast,4.12,0.17,11.8,28.2,39.9,79.9
Czech Republic,4.1,0.03,21.5,28.8,21.1,71.4
Senegal,4.05,-0.07,16.2,31.0,25.7,73.0
South Korea,3.98,-0.11,19.8,28.7,21.3,69.8
Australia,3.86,-0.28,21.7,24.2,19.2,65.2
Egypt,3.84,-0.4,13.6,30.6,25.2,69.3
Paraguay,3.75,-0.36,20.0,24.0,20.1,64.1
Scotland,3.7,-0.54,7.3,25.9,39.7,73.0
Algeria,3.65,-0.72,10.0,31.4,25.2,66.6
Sweden,3.64,-0.73,16.5,25.9,20.4,62.8
Bosnia and Herzegovina,3.08,-1.61,7.8,18.9,28.0,54.7
Tunisia,2.81,-1.71,8.4,18.4,19.1,46.0
Ghana,2.49,-2.59,3.6,13.3,24.0,40.9
South Africa,2.49,-2.15,6.5,15.6,17.6,39.7
Uzbekistan,2.44,-2.44,4.3,13.8,20.8,38.9
DR Congo,2.22,-2.79,3.5,11.4,18.6,33.5
Saudi Arabia,2.16,-3.35,1.6,10.8,20.6,33.0
Panama,1.93,-3.76,1.8,8.6,17.6,27.9
Qatar,1.92,-3.76,2.8,9.4,15.6,27.9
Cape Verde,1.82,-4.1,1.0,8.1,15.3,24.4
Jordan,1.77,-3.93,1.7,9.8,12.8,24.3
New Zealand,1.64,-3.74,1.8,8.0,11.2,20.9
Iraq,1.61,-3.81,1.9,7.3,11.2,20.4
Haiti,0.87,-6.82,0.3,2.1,5.6,8.0
Curaçao,0.67,-7.58,0.1,1.2,3.7,5.0
