Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Argentina,93.97,63.160000000000004,47.14,34.61,7.51,23.76,15.8
Spain,96.65,65.38000000000001,47.339999999999996,34.57,7.489999999999999,23.580000000000002,15.43
France,88.03,59.81999999999999,37.95,22.67,6.54,12.04,6.3100000000000005
England,94.08999999999999,60.73,34.11,20.41,5.52,11.32,6.22
Brazil,89.42999999999999,55.78999999999999,34.4,20.06,5.65,10.32,5.390000000000001
Colombia,84.19,52.05,28.799999999999997,15.879999999999999,3.8699999999999997,8.690000000000001,4.47
Japan,90.18,50.8,31.11,16.59,4.3,8.39,4.3
Portugal,83.02000000000001,52.03,27.51,14.77,3.88,7.920000000000001,3.9800000000000004
Morocco,86.59,49.830000000000005,29.7,15.64,4.01,7.82,3.8699999999999997
Mexico,95.86,65.52,37.55,18.43,5.26,8.39,3.7199999999999998
Ecuador,89.53,53.410000000000004,28.000000000000004,15.409999999999998,3.9699999999999998,7.62,3.46
Germany,88.25,49.78,24.95,12.690000000000001,3.2099999999999995,5.9799999999999995,2.7199999999999998
Netherlands,86.61999999999999,43.16,24.11,12.030000000000001,3.1300000000000003,5.6000000000000005,2.34
Uruguay,85.65,39.35,20.73,10.95,2.5700000000000003,5.3,2.32
Canada,96.77,59.31999999999999,30.81,11.799999999999999,3.01,4.73,1.77
Iran,83.83,47.78,22.68,9.16,2.33,4.1000000000000005,1.7500000000000002
Croatia,82.42,39.0,16.96,8.09,2.03,3.4000000000000004,1.5699999999999998
Belgium,82.8,45.879999999999995,20.57,8.540000000000001,2.04,3.83,1.48
South Korea,81.15,45.64,20.549999999999997,8.5,2.1999999999999997,3.36,1.37
Turkey,69.36,38.65,18.42,7.82,2.03,3.44,1.3599999999999999
Norway,71.87,37.11,17.169999999999998,7.630000000000001,2.1399999999999997,3.26,1.34
Australia,71.19,40.300000000000004,19.52,8.66,2.26,3.62,1.32
Switzerland,92.05,49.18,21.5,8.52,2.13,3.38,1.31
United States,66.93,37.46,17.45,7.37,1.9,3.17,1.21
Senegal,69.25,35.870000000000005,16.53,7.64,2.25,2.88,1.03
Algeria,70.38,29.12,13.850000000000001,5.7700000000000005,1.39,2.56,0.91
Paraguay,64.28,33.85,15.14,5.76,1.32,2.29,0.7000000000000001
Uzbekistan,60.88,26.119999999999997,9.950000000000001,3.6700000000000004,0.84,1.37,0.5700000000000001
Panama,68.26,27.33,9.66,3.5999999999999996,0.75,1.44,0.36
Austria,57.9,21.69,8.709999999999999,3.4299999999999997,0.72,1.22,0.33999999999999997
Ivory Coast,67.96,26.52,9.89,3.2199999999999998,0.65,1.02,0.33999999999999997
Egypt,62.28,24.48,7.88,2.53,0.54,0.84,0.24
Scotland,53.49,18.11,6.550000000000001,2.08,0.4,0.59,0.19
Czech Republic,53.74,20.53,6.32,1.95,0.36,0.5499999999999999,0.13
Jordan,43.47,14.17,4.97,1.66,0.38999999999999996,0.38,0.12
DR Congo,40.660000000000004,13.309999999999999,3.9,1.23,0.26,0.3,0.06999999999999999
Iraq,40.39,12.989999999999998,3.95,1.28,0.27999999999999997,0.36,0.06
Haiti,38.43,11.58,4.02,1.13,0.11,0.27,0.04
New Zealand,41.03,11.64,2.69,0.69,0.1,0.16,0.03
Tunisia,50.05,14.219999999999999,4.26,1.02,0.25,0.27999999999999997,0.02
South Africa,33.77,10.52,2.37,0.54,0.11,0.12,0.01
Sweden,39.68,9.06,2.63,0.52,0.08,0.1,0.01
Saudi Arabia,45.910000000000004,11.06,2.92,0.75,0.16,0.11,0.01
Curaçao,24.19,4.43,0.73,0.04,0.0,0.02,0.01
Cape Verde,32.190000000000005,6.1,1.25,0.22999999999999998,0.03,0.03,0.0
Ghana,22.25,3.7699999999999996,0.7100000000000001,0.13999999999999999,0.01,0.04,0.0
Qatar,25.45,3.6700000000000004,0.59,0.09,0.02,0.0,0.0
Bosnia and Herzegovina,43.68,8.73,1.5,0.22999999999999998,0.0,0.05,0.0
