team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,6.67,3.88,64.6,25.8,6.4,96.8
Canada,6.47,3.64,55.8,33.7,6.8,96.3
Mexico,6.4,3.31,61.2,25.8,8.4,95.3
Argentina,6.23,3.03,60.5,24.6,8.7,93.8
England,6.1,2.96,53.9,28.6,11.0,93.5
Switzerland,5.79,2.57,38.6,44.0,10.5,93.1
Japan,5.69,2.27,47.0,31.5,11.8,90.2
Brazil,5.56,2.12,44.9,31.0,13.2,89.1
France,5.56,2.02,47.5,27.6,13.5,88.7
Ecuador,5.47,2.01,41.4,32.0,15.5,88.9
Germany,5.33,1.79,38.8,32.4,16.8,87.9
Morocco,5.28,1.66,38.6,33.5,14.1,86.2
Netherlands,5.21,1.6,37.2,34.2,14.4,85.8
Colombia,5.12,1.4,38.4,29.2,16.3,83.8
Iran,5.05,1.33,37.3,29.8,16.5,83.6
Portugal,5.05,1.29,37.0,31.3,15.3,83.6
Uruguay,5.03,1.28,26.1,44.3,15.1,85.5
Belgium,4.98,1.26,36.4,29.8,16.5,82.7
Croatia,4.86,1.08,28.0,35.7,18.9,82.6
South Korea,4.71,0.87,25.4,38.0,17.4,80.8
Australia,4.33,0.33,27.8,27.0,17.4,72.3
Norway,4.29,0.23,24.3,28.8,19.8,72.9
Turkey,4.26,0.25,27.7,25.4,18.1,71.3
Algeria,4.06,-0.03,19.0,32.3,18.5,69.7
Senegal,4.01,-0.1,21.0,27.7,20.1,68.7
United States,3.93,-0.23,23.9,23.8,18.0,65.7
Panama,3.89,-0.32,15.6,27.4,25.6,68.6
Ivory Coast,3.89,-0.27,16.2,26.8,25.6,68.7
Paraguay,3.8,-0.36,20.5,23.7,19.3,63.6
Egypt,3.78,-0.41,18.2,25.4,21.1,64.7
Uzbekistan,3.62,-0.65,16.8,23.9,20.5,61.2
Austria,3.39,-0.98,11.8,25.6,20.5,58.0
Czech Republic,3.17,-1.42,9.1,22.9,22.7,54.7
Scotland,3.16,-1.44,10.3,20.9,22.1,53.2
Tunisia,3.06,-1.47,9.8,19.3,22.0,51.0
Jordan,2.78,-2.02,8.7,17.5,17.6,43.9
Saudi Arabia,2.75,-2.18,5.4,17.4,22.3,45.1
DR Congo,2.59,-2.05,7.7,15.7,16.7,40.2
New Zealand,2.58,-2.18,8.1,15.0,16.6,39.6
Iraq,2.56,-2.15,7.2,15.9,16.9,40.0
Bosnia and Herzegovina,2.52,-2.54,3.8,13.3,23.8,40.9
Sweden,2.51,-2.4,6.1,15.0,18.0,39.0
Haiti,2.49,-2.34,6.2,14.7,17.4,38.2
South Africa,2.26,-2.76,4.3,13.3,16.5,34.2
Cape Verde,2.21,-2.98,3.9,12.5,16.2,32.6
Qatar,1.92,-3.66,1.9,8.9,16.2,27.1
Curaçao,1.85,-3.52,3.5,8.8,12.4,24.8
Ghana,1.73,-3.73,2.4,8.4,11.3,22.2
