team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
England,7.77,5.09,89.5,9.0,1.0,99.5
Argentina,7.64,5.93,82.7,15.7,1.2,99.6
France,7.16,4.1,67.2,28.9,2.8,98.8
Mexico,6.85,3.56,66.1,26.1,6.9,99.0
Colombia,6.46,3.01,65.3,23.8,9.1,98.1
Germany,6.38,6.91,60.1,24.9,14.5,99.5
Ivory Coast,6.18,1.68,31.3,53.9,10.4,95.6
United States,5.96,3.32,51.5,32.7,11.8,95.9
Australia,5.81,2.13,40.0,42.4,12.3,94.6
South Korea,5.77,1.09,29.3,54.4,10.6,94.3
Brazil,5.69,3.2,53.5,29.2,13.4,96.0
Norway,5.45,2.58,29.5,48.1,19.4,97.1
Spain,5.37,2.44,60.9,26.1,6.8,93.7
Morocco,5.15,2.02,29.2,42.0,19.8,91.0
Austria,5.1,1.08,15.0,56.8,21.0,92.9
Netherlands,5.03,1.86,38.7,33.1,16.8,88.5
Belgium,4.92,1.77,49.4,24.6,14.2,88.2
Japan,4.85,1.53,31.5,36.6,18.3,86.4
Sweden,4.79,2.57,28.5,25.0,41.4,94.9
Canada,4.78,1.58,46.2,29.8,11.5,87.5
Scotland,4.6,-0.66,17.0,27.1,39.5,83.5
Switzerland,4.44,1.06,36.3,35.7,9.9,81.9
Portugal,4.42,0.97,27.7,41.2,12.9,81.8
Croatia,4.11,-0.05,3.1,58.7,15.3,77.1
Ghana,4.07,-1.61,6.2,28.1,34.5,68.8
Uruguay,4.0,0.38,26.1,38.3,12.1,76.5
Egypt,3.87,0.24,19.7,27.1,23.7,70.6
Ecuador,3.7,0.54,8.5,19.5,49.9,77.9
Iran,3.67,-0.09,24.3,31.9,10.0,66.2
Bosnia and Herzegovina,3.25,-0.78,11.5,20.7,25.8,58.0
Algeria,3.17,-2.38,1.6,25.4,26.2,53.2
Senegal,3.16,-1.4,2.6,21.1,33.3,57.0
DR Congo,2.9,-1.13,5.7,20.5,21.8,48.0
Saudi Arabia,2.85,-1.57,7.3,19.5,21.0,47.8
Cape Verde,2.8,-1.25,5.8,16.1,22.6,44.4
Turkey,2.66,-2.11,5.0,13.4,23.8,42.2
Qatar,2.57,-1.87,6.0,13.8,19.2,39.0
New Zealand,2.47,-1.92,6.6,16.3,12.7,35.7
Paraguay,2.44,-3.35,3.6,11.5,20.2,35.2
Czech Republic,2.43,-1.47,3.7,10.0,32.0,45.8
Uzbekistan,2.14,-2.85,1.4,14.4,16.1,31.9
South Africa,1.86,-3.18,1.0,9.4,15.2,25.7
Tunisia,1.37,-5.96,1.3,5.3,5.0,11.6
Iraq,1.25,-5.27,0.6,1.9,8.8,11.4
Panama,1.23,-3.42,1.3,4.2,9.4,14.9
Jordan,1.18,-4.63,0.7,2.0,9.4,12.1
Curaçao,0.86,-9.13,0.1,1.7,3.1,4.9
Haiti,0.75,-4.55,0.4,1.7,3.6,5.6
