home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Qatar,Ecuador,Neutral,0.628,2.077,8.3,19.8,71.9,8.5,1.7,2.3,72.7,7.3,7.6,12.4,87.6,"[{""score"": ""0 - 1"", ""pct"": 14.649999999999999}, {""score"": ""0 - 2"", ""pct"": 14.280000000000001}, {""score"": ""0 - 3"", ""pct"": 9.74}]"
Qatar,DR Congo,Neutral,0.859,1.519,19.6,27.4,53.1,19.9,3.8,5.6,53.1,7.8,10.0,29.2,70.8,"[{""score"": ""0 - 1"", ""pct"": 14.879999999999999}, {""score"": ""1 - 1"", ""pct"": 12.32}, {""score"": ""0 - 2"", ""pct"": 10.36}]"
Qatar,Haiti,Neutral,1.226,1.446,30.9,27.8,41.3,31.2,5.7,7.0,41.4,6.4,8.3,43.9,56.1,"[{""score"": ""1 - 1"", ""pct"": 12.389999999999999}, {""score"": ""0 - 1"", ""pct"": 10.11}, {""score"": ""1 - 2"", ""pct"": 8.92}]"
Qatar,Algeria,Neutral,0.795,2.146,11.7,19.7,68.6,11.4,2.1,2.6,69.9,7.3,6.7,16.1,83.9,"[{""score"": ""0 - 1"", ""pct"": 12.42}, {""score"": ""0 - 2"", ""pct"": 11.66}, {""score"": ""1 - 2"", ""pct"": 10.08}]"
Qatar,Sweden,Neutral,0.948,2.165,14.9,19.7,65.5,14.2,2.8,3.5,65.6,6.8,7.1,20.5,79.5,"[{""score"": ""0 - 1"", ""pct"": 10.4}, {""score"": ""0 - 2"", ""pct"": 10.299999999999999}, {""score"": ""1 - 2"", ""pct"": 9.68}]"
Qatar,Croatia,Neutral,0.7,2.384,8.3,16.8,74.9,8.1,1.8,2.0,74.9,7.0,6.3,11.8,88.2,"[{""score"": ""0 - 2"", ""pct"": 13.16}, {""score"": ""0 - 1"", ""pct"": 11.219999999999999}, {""score"": ""0 - 3"", ""pct"": 10.07}]"
Qatar,Ghana,Neutral,0.964,1.472,23.0,28.0,49.0,23.6,4.6,6.0,48.8,7.4,9.6,34.2,65.8,"[{""score"": ""0 - 1"", ""pct"": 13.56}, {""score"": ""1 - 1"", ""pct"": 12.27}, {""score"": ""0 - 0"", ""pct"": 9.9}]"
Qatar,Uzbekistan,Neutral,0.871,1.671,18.3,25.3,56.4,18.5,3.7,4.8,56.7,7.3,9.0,27.0,73.0,"[{""score"": ""0 - 1"", ""pct"": 13.76}, {""score"": ""1 - 1"", ""pct"": 11.04}, {""score"": ""0 - 2"", ""pct"": 10.93}]"
Qatar,Cape Verde,Neutral,1.012,1.389,26.9,28.0,45.2,25.7,5.0,7.2,45.9,6.8,9.3,37.9,62.1,"[{""score"": ""0 - 1"", ""pct"": 12.78}, {""score"": ""1 - 1"", ""pct"": 12.65}, {""score"": ""0 - 0"", ""pct"": 10.08}]"
Qatar,Curaçao,Neutral,1.481,1.208,42.2,27.6,30.2,42.8,6.7,8.3,29.5,5.5,7.2,57.8,42.2,"[{""score"": ""1 - 1"", ""pct"": 12.44}, {""score"": ""1 - 0"", ""pct"": 9.610000000000001}, {""score"": ""2 - 1"", ""pct"": 8.81}]"
Qatar,Colombia,Neutral,0.593,2.697,5.2,12.9,81.9,5.2,0.9,1.1,82.1,6.1,4.6,7.2,92.8,"[{""score"": ""0 - 2"", ""pct"": 13.86}, {""score"": ""0 - 3"", ""pct"": 11.790000000000001}, {""score"": ""0 - 1"", ""pct"": 10.65}]"
Qatar,Switzerland,Neutral,0.714,2.361,8.2,15.9,75.8,8.8,1.5,1.7,75.1,6.8,6.2,12.0,88.0,"[{""score"": ""0 - 2"", ""pct"": 12.93}, {""score"": ""0 - 1"", ""pct"": 11.58}, {""score"": ""0 - 3"", ""pct"": 10.15}]"
Qatar,Morocco,Neutral,0.564,2.276,6.6,16.8,76.6,6.1,1.5,1.6,77.5,6.6,6.7,9.2,90.8,"[{""score"": ""0 - 2"", ""pct"": 14.91}, {""score"": ""0 - 1"", ""pct"": 14.74}, {""score"": ""0 - 3"", ""pct"": 11.110000000000001}]"
Qatar,Portugal,Neutral,0.599,2.899,4.2,11.2,84.7,4.1,0.8,0.7,84.8,5.7,3.9,5.6,94.4,"[{""score"": ""0 - 2"", ""pct"": 12.93}, {""score"": ""0 - 3"", ""pct"": 11.74}, {""score"": ""0 - 1"", ""pct"": 9.64}]"
Qatar,United States,Neutral,0.808,2.142,12.3,19.7,68.0,11.8,2.3,2.4,68.4,7.7,7.4,16.5,83.5,"[{""score"": ""0 - 2"", ""pct"": 11.799999999999999}, {""score"": ""0 - 1"", ""pct"": 11.63}, {""score"": ""1 - 2"", ""pct"": 9.69}]"
Qatar,Brazil,Neutral,0.56,2.983,3.6,10.2,86.2,4.0,0.7,0.6,85.9,5.0,3.8,5.3,94.7,"[{""score"": ""0 - 2"", ""pct"": 13.089999999999998}, {""score"": ""0 - 3"", ""pct"": 13.07}, {""score"": ""0 - 1"", ""pct"": 8.99}]"
Qatar,Turkey,Neutral,0.806,2.193,11.8,18.8,69.4,11.6,2.2,2.5,69.2,7.3,7.1,16.3,83.7,"[{""score"": ""0 - 2"", ""pct"": 12.04}, {""score"": ""0 - 1"", ""pct"": 11.799999999999999}, {""score"": ""1 - 2"", ""pct"": 9.46}]"
Qatar,Australia,Neutral,0.718,2.051,11.3,19.6,69.1,10.5,2.1,3.1,68.4,8.1,7.9,15.6,84.4,"[{""score"": ""0 - 1"", ""pct"": 13.76}, {""score"": ""0 - 2"", ""pct"": 13.44}, {""score"": ""1 - 2"", ""pct"": 9.66}]"
Qatar,Iran,Neutral,0.721,2.011,12.0,21.3,66.8,11.1,2.2,2.9,68.6,7.1,8.2,16.2,83.9,"[{""score"": ""0 - 1"", ""pct"": 13.23}, {""score"": ""0 - 2"", ""pct"": 13.04}, {""score"": ""1 - 1"", ""pct"": 9.76}]"
Qatar,Panama,Neutral,0.998,1.671,22.0,25.7,52.3,22.2,3.9,5.1,52.9,7.0,8.8,31.3,68.7,"[{""score"": ""1 - 1"", ""pct"": 12.2}, {""score"": ""0 - 1"", ""pct"": 11.58}, {""score"": ""1 - 2"", ""pct"": 9.73}]"
Qatar,Austria,Neutral,0.764,2.146,10.9,19.8,69.3,10.7,2.2,2.6,70.1,7.2,7.3,15.4,84.6,"[{""score"": ""0 - 1"", ""pct"": 12.5}, {""score"": ""0 - 2"", ""pct"": 12.049999999999999}, {""score"": ""1 - 2"", ""pct"": 9.65}]"
Qatar,Egypt,Neutral,0.802,1.773,15.3,23.3,61.4,15.7,2.7,4.1,60.9,8.0,8.6,22.5,77.5,"[{""score"": ""0 - 1"", ""pct"": 13.94}, {""score"": ""0 - 2"", ""pct"": 12.02}, {""score"": ""1 - 1"", ""pct"": 10.16}]"
Qatar,Saudi Arabia,Neutral,0.991,1.4,25.7,27.9,46.4,26.1,4.3,7.0,46.1,7.1,9.3,37.4,62.6,"[{""score"": ""0 - 1"", ""pct"": 13.01}, {""score"": ""1 - 1"", ""pct"": 12.75}, {""score"": ""0 - 0"", ""pct"": 9.81}]"
Qatar,Iraq,Neutral,1.016,1.381,26.4,28.3,45.4,27.1,4.6,6.9,45.3,7.0,9.1,38.6,61.4,"[{""score"": ""0 - 1"", ""pct"": 12.870000000000001}, {""score"": ""1 - 1"", ""pct"": 12.620000000000001}, {""score"": ""0 - 0"", ""pct"": 10.01}]"
Qatar,Japan,Neutral,0.668,2.427,7.6,15.7,76.7,7.3,1.2,1.8,77.2,6.4,6.0,10.3,89.7,"[{""score"": ""0 - 2"", ""pct"": 13.4}, {""score"": ""0 - 1"", ""pct"": 11.66}, {""score"": ""0 - 3"", ""pct"": 10.77}]"
Qatar,Czech Republic,Neutral,0.92,1.898,17.1,23.1,59.8,16.9,3.1,4.1,60.6,7.4,7.9,24.1,75.9,"[{""score"": ""0 - 1"", ""pct"": 11.600000000000001}, {""score"": ""1 - 1"", ""pct"": 10.209999999999999}, {""score"": ""0 - 2"", ""pct"": 10.12}]"
Qatar,Uruguay,Neutral,0.641,2.169,8.6,18.4,73.0,8.8,1.7,2.1,73.3,7.0,7.1,12.6,87.4,"[{""score"": ""0 - 2"", ""pct"": 14.549999999999999}, {""score"": ""0 - 1"", ""pct"": 12.770000000000001}, {""score"": ""0 - 3"", ""pct"": 9.78}]"
Qatar,Belgium,Neutral,0.668,2.589,6.4,14.3,79.3,6.5,1.1,1.3,80.2,5.7,5.2,9.0,91.1,"[{""score"": ""0 - 2"", ""pct"": 13.71}, {""score"": ""0 - 3"", ""pct"": 10.93}, {""score"": ""0 - 1"", ""pct"": 10.35}]"
Qatar,Spain,Neutral,0.507,3.233,2.6,7.6,89.7,2.7,0.5,0.5,89.2,4.2,2.8,3.8,96.2,"[{""score"": ""0 - 2"", ""pct"": 12.879999999999999}, {""score"": ""0 - 3"", ""pct"": 12.839999999999998}, {""score"": ""0 - 4"", ""pct"": 11.04}]"
Qatar,Jordan,Neutral,1.05,1.629,22.9,25.6,51.5,22.8,4.1,5.6,51.1,7.3,9.0,32.6,67.4,"[{""score"": ""0 - 1"", ""pct"": 11.540000000000001}, {""score"": ""1 - 1"", ""pct"": 11.39}, {""score"": ""1 - 2"", ""pct"": 9.54}]"
Qatar,South Korea,Neutral,0.759,1.966,12.0,21.5,66.5,12.9,2.5,2.8,66.5,7.3,8.1,18.1,81.9,"[{""score"": ""0 - 1"", ""pct"": 14.27}, {""score"": ""0 - 2"", ""pct"": 11.940000000000001}, {""score"": ""1 - 2"", ""pct"": 10.03}]"
Qatar,Germany,Neutral,0.683,3.111,4.6,10.2,85.1,4.3,0.9,0.6,85.3,5.5,3.4,5.8,94.2,"[{""score"": ""0 - 3"", ""pct"": 11.19}, {""score"": ""0 - 2"", ""pct"": 11.1}, {""score"": ""0 - 4"", ""pct"": 8.62}]"
Qatar,New Zealand,Neutral,1.077,1.332,28.7,29.1,42.2,29.6,5.0,7.3,41.8,6.6,9.6,42.0,58.0,"[{""score"": ""1 - 1"", ""pct"": 13.100000000000001}, {""score"": ""0 - 1"", ""pct"": 12.41}, {""score"": ""0 - 0"", ""pct"": 10.299999999999999}]"
Qatar,Bosnia and Herzegovina,Neutral,1.131,1.483,27.5,27.6,45.0,27.9,4.9,6.9,45.1,6.6,8.6,39.7,60.3,"[{""score"": ""1 - 1"", ""pct"": 12.22}, {""score"": ""0 - 1"", ""pct"": 10.96}, {""score"": ""1 - 2"", ""pct"": 8.98}]"
Qatar,England,Neutral,0.542,2.826,4.0,11.2,84.8,4.0,0.8,0.6,84.5,5.6,4.4,5.5,94.5,"[{""score"": ""0 - 2"", ""pct"": 14.12}, {""score"": ""0 - 3"", ""pct"": 12.35}, {""score"": ""0 - 1"", ""pct"": 10.36}]"
Qatar,Scotland,Neutral,0.841,1.935,14.4,22.4,63.2,14.3,2.6,3.4,64.2,7.6,7.9,20.4,79.7,"[{""score"": ""0 - 1"", ""pct"": 12.870000000000001}, {""score"": ""0 - 2"", ""pct"": 11.43}, {""score"": ""1 - 1"", ""pct"": 9.99}]"
Qatar,Paraguay,Neutral,0.723,1.918,12.2,22.0,65.7,12.5,2.4,3.0,65.8,7.7,8.6,17.9,82.1,"[{""score"": ""0 - 1"", ""pct"": 14.280000000000001}, {""score"": ""0 - 2"", ""pct"": 12.620000000000001}, {""score"": ""1 - 1"", ""pct"": 9.78}]"
Qatar,Canada,Neutral,0.775,1.937,13.4,22.1,64.6,13.3,2.6,3.4,65.4,7.2,8.2,19.2,80.8,"[{""score"": ""0 - 1"", ""pct"": 12.950000000000001}, {""score"": ""0 - 2"", ""pct"": 12.46}, {""score"": ""1 - 2"", ""pct"": 9.959999999999999}]"
Qatar,Ivory Coast,Neutral,0.762,1.854,14.4,22.4,63.2,14.0,2.3,3.6,64.1,7.3,8.7,19.9,80.1,"[{""score"": ""0 - 1"", ""pct"": 13.88}, {""score"": ""0 - 2"", ""pct"": 12.46}, {""score"": ""1 - 1"", ""pct"": 10.0}]"
