home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Senegal,Turkey,Neutral,1.297,1.247,37.0,28.3,34.7,36.5,6.5,8.2,34.9,6.1,7.8,51.2,48.8,"[{""score"": ""1 - 1"", ""pct"": 12.889999999999999}, {""score"": ""1 - 0"", ""pct"": 10.66}, {""score"": ""0 - 1"", ""pct"": 9.71}]"
Senegal,Ecuador,Neutral,0.971,1.209,28.0,30.7,41.3,28.3,5.2,8.2,41.4,6.6,10.3,41.7,58.3,"[{""score"": ""0 - 1"", ""pct"": 13.83}, {""score"": ""1 - 1"", ""pct"": 13.780000000000001}, {""score"": ""0 - 0"", ""pct"": 12.509999999999998}]"
Senegal,Saudi Arabia,Neutral,1.648,0.807,57.2,25.4,17.3,57.3,7.4,10.4,16.7,3.3,4.8,75.2,24.8,"[{""score"": ""1 - 0"", ""pct"": 14.26}, {""score"": ""1 - 1"", ""pct"": 11.61}, {""score"": ""2 - 0"", ""pct"": 10.77}]"
Senegal,New Zealand,Neutral,1.904,0.78,64.3,22.0,13.7,64.0,7.8,8.3,13.6,2.6,3.6,80.2,19.9,"[{""score"": ""1 - 0"", ""pct"": 13.65}, {""score"": ""2 - 0"", ""pct"": 12.4}, {""score"": ""1 - 1"", ""pct"": 9.76}]"
Senegal,Belgium,Neutral,1.075,1.493,26.2,27.7,46.1,26.6,4.6,6.8,46.3,7.1,8.6,38.1,61.9,"[{""score"": ""1 - 1"", ""pct"": 12.53}, {""score"": ""0 - 1"", ""pct"": 12.04}, {""score"": ""1 - 2"", ""pct"": 9.120000000000001}]"
Senegal,Czech Republic,Neutral,1.595,1.076,49.3,26.1,24.6,49.3,7.0,8.5,24.9,4.4,6.0,64.7,35.3,"[{""score"": ""1 - 1"", ""pct"": 11.68}, {""score"": ""1 - 0"", ""pct"": 11.37}, {""score"": ""2 - 1"", ""pct"": 9.58}]"
Senegal,Canada,Neutral,1.272,1.11,39.3,29.8,31.0,39.5,6.5,8.5,31.2,5.9,8.3,54.6,45.4,"[{""score"": ""1 - 1"", ""pct"": 12.86}, {""score"": ""1 - 0"", ""pct"": 11.61}, {""score"": ""0 - 0"", ""pct"": 10.73}]"
Senegal,Bosnia and Herzegovina,Neutral,1.799,0.866,59.6,23.6,16.8,58.9,7.8,8.8,16.9,3.2,4.3,75.5,24.5,"[{""score"": ""1 - 0"", ""pct"": 12.85}, {""score"": ""2 - 0"", ""pct"": 11.379999999999999}, {""score"": ""1 - 1"", ""pct"": 10.97}]"
Senegal,Tunisia,Neutral,1.719,0.856,57.8,25.2,17.0,57.9,7.6,9.2,17.5,3.1,4.7,74.7,25.3,"[{""score"": ""1 - 0"", ""pct"": 13.969999999999999}, {""score"": ""2 - 0"", ""pct"": 11.469999999999999}, {""score"": ""1 - 1"", ""pct"": 10.9}]"
Senegal,United States,Neutral,1.405,1.204,40.5,28.1,31.4,41.3,6.7,8.6,30.6,5.8,7.1,56.5,43.5,"[{""score"": ""1 - 1"", ""pct"": 12.509999999999998}, {""score"": ""1 - 0"", ""pct"": 10.03}, {""score"": ""0 - 1"", ""pct"": 8.74}]"
