team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Argentina,9.0,7.0,100.0,0.0,0.0,100.0
France,9.0,8.0,100.0,0.0,0.0,100.0
Mexico,9.0,6.0,100.0,0.0,0.0,100.0
Netherlands,7.0,6.0,100.0,0.0,0.0,100.0
Morocco,7.0,3.0,0.0,100.0,0.0,100.0
England,7.0,4.0,100.0,0.0,0.0,100.0
Switzerland,7.0,4.0,100.0,0.0,0.0,100.0
Spain,7.0,5.0,100.0,0.0,0.0,100.0
Brazil,7.0,6.0,100.0,0.0,0.0,100.0
Colombia,7.0,3.0,100.0,0.0,0.0,100.0
United States,6.0,4.0,100.0,0.0,0.0,100.0
Germany,6.0,6.0,100.0,0.0,0.0,100.0
Ivory Coast,6.0,2.0,0.0,100.0,0.0,100.0
Norway,6.0,1.0,0.0,100.0,0.0,100.0
Croatia,6.0,0.0,0.0,100.0,0.0,100.0
Belgium,5.0,4.0,100.0,0.0,0.0,100.0
Japan,5.0,4.0,0.0,100.0,0.0,100.0
Egypt,5.0,2.0,0.0,100.0,0.0,100.0
Portugal,5.0,5.0,0.0,100.0,0.0,100.0
Ghana,4.0,0.0,0.0,0.0,100.0,100.0
Canada,4.0,5.0,0.0,100.0,0.0,100.0
Paraguay,4.0,-2.0,0.0,0.0,100.0,100.0
South Africa,4.0,-1.0,0.0,100.0,0.0,100.0
Austria,4.0,0.0,0.0,100.0,0.0,100.0
Australia,4.0,0.0,0.0,100.0,0.0,100.0
Algeria,4.0,-2.0,0.0,0.0,100.0,100.0
Ecuador,4.0,0.0,0.0,0.0,100.0,100.0
DR Congo,4.0,1.0,0.0,0.0,100.0,100.0
Sweden,4.0,0.0,0.0,0.0,100.0,100.0
Bosnia and Herzegovina,4.0,-1.0,0.0,0.0,100.0,100.0
Cape Verde,3.0,0.0,0.0,100.0,0.0,100.0
Turkey,3.0,-2.0,0.0,0.0,0.0,0.0
Scotland,3.0,-3.0,0.0,0.0,0.0,0.0
South Korea,3.0,-1.0,0.0,0.0,0.0,0.0
Senegal,3.0,2.0,0.0,0.0,100.0,100.0
Iran,3.0,0.0,0.0,0.0,0.0,0.0
Uruguay,2.0,-1.0,0.0,0.0,0.0,0.0
Saudi Arabia,2.0,-4.0,0.0,0.0,0.0,0.0
Czech Republic,1.0,-4.0,0.0,0.0,0.0,0.0
Curaçao,1.0,-8.0,0.0,0.0,0.0,0.0
Qatar,1.0,-8.0,0.0,0.0,0.0,0.0
New Zealand,1.0,-6.0,0.0,0.0,0.0,0.0
Haiti,0.0,-6.0,0.0,0.0,0.0,0.0
Panama,0.0,-4.0,0.0,0.0,0.0,0.0
Iraq,0.0,-11.0,0.0,0.0,0.0,0.0
Uzbekistan,0.0,-9.0,0.0,0.0,0.0,0.0
Tunisia,0.0,-10.0,0.0,0.0,0.0,0.0
Jordan,0.0,-5.0,0.0,0.0,0.0,0.0
