match_id,round,venue,venue_country,home_team,away_team,predicted_home_goals,predicted_away_goals,extra_time,penalties,winner_name_meta
73,Round of 32,"SoFi Stadium, Los Angeles",United States,South Africa,Canada,0,1,False,False,Canada
74,Round of 32,"Gillette Stadium, Boston",United States,Germany,Paraguay,1,1,True,True,Paraguay
75,Round of 32,"Estadio BBVA, Monterrey",Mexico,Netherlands,Morocco,1,1,True,True,Morocco
76,Round of 32,"NRG Stadium, Houston",United States,Brazil,Japan,2,1,False,False,Brazil
77,Round of 32,"MetLife Stadium, East Rutherford",United States,France,Sweden,3,0,False,False,France
78,Round of 32,"AT&T Stadium, Dallas",United States,Ivory Coast,Norway,1,2,False,False,Norway
79,Round of 32,"Estadio Azteca, Mexico City",Mexico,Mexico,Ecuador,2,0,False,False,Mexico
80,Round of 32,"Mercedes-Benz Stadium, Atlanta",United States,England,DR Congo,2,1,False,False,England
81,Round of 32,"Levi's Stadium, Santa Clara",United States,United States,Bosnia and Herzegovina,2,0,False,False,United States
82,Round of 32,"Lumen Field, Seattle",United States,Belgium,Senegal,3,2,False,False,Belgium
83,Round of 32,"BMO Field, Toronto",Canada,Portugal,Croatia,2,1,False,False,Portugal
84,Round of 32,"SoFi Stadium, Los Angeles",United States,Spain,Austria,3,0,False,False,Spain
85,Round of 32,"BC Place, Vancouver",Canada,Switzerland,Algeria,2,0,False,False,Switzerland
86,Round of 32,"Hard Rock Stadium, Miami",United States,Argentina,Cape Verde,3,2,False,False,Argentina
87,Round of 32,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Colombia,Ghana,1,0,False,False,Colombia
88,Round of 32,"AT&T Stadium, Dallas",United States,Australia,Egypt,1,1,True,True,Egypt
89,Round of 16,"NRG Stadium, Houston",United States,Canada,Morocco,0,3,False,False,Morocco
90,Round of 16,"Lincoln Financial Field, Philadelphia",United States,Paraguay,France,0,1,False,False,France
91,Round of 16,"MetLife Stadium, East Rutherford",United States,Brazil,Norway,1,2,False,False,Norway
92,Round of 16,"Estadio Azteca, Mexico City",Mexico,Mexico,England,2,3,False,False,England
93,Round of 16,"AT&T Stadium, Dallas",United States,Portugal,Spain,0,1,False,False,Spain
94,Round of 16,"Lumen Field, Seattle",United States,United States,Belgium,1,4,False,False,Belgium
95,Round of 16,"Mercedes-Benz Stadium, Atlanta",United States,Argentina,Egypt,3,2,False,False,Argentina
96,Round of 16,"BC Place, Vancouver",Canada,Switzerland,Colombia,0,0,True,True,Switzerland
97,Quarter-final,"Gillette Stadium, Boston",United States,Morocco,France,0,2,False,False,France
98,Quarter-final,"SoFi Stadium, Los Angeles",United States,Spain,Belgium,2,1,False,False,Spain
99,Quarter-final,"Hard Rock Stadium, Miami",United States,Norway,England,1,2,False,False,England
100,Quarter-final,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Argentina,Switzerland,3,1,False,False,Argentina
101,Semi-final,"AT&T Stadium, Dallas",United States,France,Spain,1,2,False,False,Spain
102,Semi-final,"Mercedes-Benz Stadium, Atlanta",United States,England,Argentina,1,2,False,False,Argentina
103,Third-place playoff,"Hard Rock Stadium, Miami",United States,France,England,2,1,False,False,France
104,Final,"MetLife Stadium, East Rutherford",United States,Spain,Argentina,2,1,False,False,Spain
