team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,7.39,5.05,77.0,19.3,2.8,99.1
Argentina,7.17,4.61,79.1,15.4,3.6,98.2
Switzerland,6.67,3.84,58.0,33.6,5.8,97.4
England,6.51,3.59,60.8,27.2,8.3,96.4
France,6.49,3.49,64.3,23.6,8.3,96.2
Mexico,6.45,3.5,62.3,25.0,9.2,96.5
Ecuador,6.24,3.15,52.8,32.0,10.6,95.5
Brazil,6.19,3.07,54.4,31.4,9.2,95.0
Japan,6.16,3.02,51.8,34.2,8.8,94.9
Canada,5.98,2.94,38.5,50.1,7.7,96.2
Colombia,5.92,2.63,48.4,32.8,11.5,92.8
Netherlands,5.66,2.28,39.8,40.3,11.5,91.5
Germany,5.54,2.13,36.6,40.0,15.4,92.0
Morocco,5.53,2.08,37.1,40.7,13.0,90.8
Portugal,5.46,1.96,39.4,36.0,14.0,89.3
Iran,5.39,1.84,40.7,32.0,15.1,87.8
Belgium,5.37,1.78,41.4,32.2,14.7,88.2
Uruguay,5.22,1.65,19.9,58.3,12.7,90.8
South Korea,4.96,1.2,25.4,42.8,18.7,86.8
Croatia,4.95,1.25,25.3,40.1,21.1,86.6
Australia,4.29,0.27,28.0,25.1,19.1,72.2
United States,4.28,0.28,28.3,25.4,18.8,72.5
Norway,4.26,0.19,17.9,34.9,23.0,75.8
Turkey,4.0,-0.13,23.5,24.7,19.6,67.8
Panama,3.94,-0.25,12.9,27.8,31.8,72.5
Senegal,3.94,-0.26,14.9,31.2,24.9,71.0
Algeria,3.83,-0.54,10.6,37.9,20.1,68.5
Paraguay,3.79,-0.42,20.3,24.7,18.8,63.8
Ivory Coast,3.5,-0.96,9.2,22.8,32.7,64.7
Czech Republic,3.4,-1.07,10.1,23.5,27.6,61.2
Egypt,3.4,-1.0,12.7,22.4,24.6,59.8
Uzbekistan,3.22,-1.36,9.0,21.0,26.7,56.7
Austria,2.96,-1.85,5.7,25.1,20.1,50.8
Scotland,2.91,-1.87,6.0,18.0,26.2,50.3
Tunisia,2.7,-2.21,5.3,14.9,25.1,45.4
Jordan,2.7,-2.22,4.6,21.7,18.9,45.2
Saudi Arabia,2.48,-2.81,2.2,14.5,24.7,41.4
New Zealand,2.37,-2.61,5.1,13.4,17.5,36.0
Bosnia and Herzegovina,2.19,-3.21,1.9,8.9,23.1,33.9
Sweden,2.14,-3.08,3.0,10.6,19.4,33.0
Haiti,2.01,-3.28,2.5,9.9,17.4,29.7
DR Congo,2.0,-3.24,3.1,10.2,15.6,28.9
Qatar,1.96,-3.57,1.6,7.4,19.9,28.9
Iraq,1.91,-3.41,2.8,10.3,13.2,26.4
South Africa,1.83,-3.63,2.2,8.7,14.5,25.5
Cape Verde,1.76,-3.88,1.0,7.9,15.5,24.4
Curaçao,1.42,-4.33,1.3,5.2,10.7,17.2
Ghana,1.31,-4.58,0.9,4.9,8.9,14.7
