home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
Netherlands,South Africa,Neutral,2.104,0.596,72.8,19.0,8.2,73.3,7.0,7.8,8.0,1.6,2.1,88.2,11.8,"[{""score"": ""2 - 0"", ""pct"": 15.229999999999999}, {""score"": ""1 - 0"", ""pct"": 14.430000000000001}, {""score"": ""3 - 0"", ""pct"": 10.01}]"
Netherlands,Japan,Neutral,1.223,1.477,29.9,28.1,42.0,30.8,5.2,6.5,42.8,6.8,7.9,42.5,57.5,"[{""score"": ""1 - 1"", ""pct"": 13.059999999999999}, {""score"": ""0 - 1"", ""pct"": 10.25}, {""score"": ""1 - 2"", ""pct"": 8.73}]"
Netherlands,Scotland,Neutral,1.802,0.898,59.9,23.3,16.9,58.8,7.9,8.7,16.9,3.3,4.5,75.3,24.7,"[{""score"": ""1 - 0"", ""pct"": 12.97}, {""score"": ""2 - 0"", ""pct"": 11.14}, {""score"": ""1 - 1"", ""pct"": 10.63}]"
Netherlands,Algeria,Neutral,1.564,1.136,47.8,26.1,26.1,46.4,7.0,8.3,27.1,5.2,5.9,61.7,38.3,"[{""score"": ""1 - 1"", ""pct"": 11.85}, {""score"": ""1 - 0"", ""pct"": 11.34}, {""score"": ""2 - 1"", ""pct"": 9.56}]"
Netherlands,Canada,Neutral,1.555,1.145,46.0,26.4,27.5,45.9,6.9,8.3,27.5,4.8,6.6,61.1,38.9,"[{""score"": ""1 - 1"", ""pct"": 11.85}, {""score"": ""1 - 0"", ""pct"": 9.969999999999999}, {""score"": ""2 - 1"", ""pct"": 9.02}]"
Netherlands,Haiti,Neutral,1.966,0.734,67.2,20.6,12.2,67.0,7.3,8.4,11.7,2.5,3.2,82.7,17.4,"[{""score"": ""1 - 0"", ""pct"": 13.79}, {""score"": ""2 - 0"", ""pct"": 12.590000000000002}, {""score"": ""2 - 1"", ""pct"": 9.66}]"
Netherlands,Spain,Neutral,0.773,1.927,13.4,21.7,64.9,13.0,2.8,3.2,65.2,7.1,8.7,19.1,81.0,"[{""score"": ""0 - 1"", ""pct"": 13.81}, {""score"": ""0 - 2"", ""pct"": 12.23}, {""score"": ""1 - 1"", ""pct"": 10.0}]"
Netherlands,Saudi Arabia,Neutral,2.014,0.686,69.2,20.6,10.2,70.0,7.0,7.7,10.5,2.0,2.9,84.6,15.4,"[{""score"": ""1 - 0"", ""pct"": 14.11}, {""score"": ""2 - 0"", ""pct"": 13.48}, {""score"": ""2 - 1"", ""pct"": 9.69}]"
Netherlands,Colombia,Neutral,1.137,1.563,26.8,26.3,46.9,26.1,4.7,6.5,47.5,6.6,8.7,37.2,62.7,"[{""score"": ""1 - 1"", ""pct"": 12.5}, {""score"": ""0 - 1"", ""pct"": 10.84}, {""score"": ""1 - 2"", ""pct"": 9.27}]"
Netherlands,Portugal,Neutral,1.217,1.483,29.7,27.0,43.3,29.7,5.4,6.9,42.7,6.8,8.5,42.0,58.0,"[{""score"": ""1 - 1"", ""pct"": 11.98}, {""score"": ""0 - 1"", ""pct"": 10.27}, {""score"": ""1 - 2"", ""pct"": 9.27}]"
Netherlands,Sweden,Neutral,2.018,0.682,69.2,20.4,10.4,69.3,7.7,8.1,10.4,2.0,2.6,85.0,15.0,"[{""score"": ""1 - 0"", ""pct"": 14.299999999999999}, {""score"": ""2 - 0"", ""pct"": 13.420000000000002}, {""score"": ""2 - 1"", ""pct"": 9.4}]"
Netherlands,Jordan,Neutral,1.783,0.917,56.3,24.9,18.9,57.6,7.7,8.1,18.3,3.4,4.9,73.4,26.6,"[{""score"": ""1 - 0"", ""pct"": 11.84}, {""score"": ""1 - 1"", ""pct"": 11.4}, {""score"": ""2 - 0"", ""pct"": 10.14}]"
Netherlands,Morocco,Neutral,1.271,1.429,31.5,26.9,41.7,33.1,5.7,6.9,40.1,6.2,8.0,45.6,54.4,"[{""score"": ""1 - 1"", ""pct"": 12.31}, {""score"": ""0 - 1"", ""pct"": 10.02}, {""score"": ""1 - 2"", ""pct"": 9.3}]"
Netherlands,Iraq,Neutral,1.931,0.769,64.6,21.7,13.7,66.0,7.2,7.9,13.3,2.4,3.2,81.1,18.9,"[{""score"": ""1 - 0"", ""pct"": 13.270000000000001}, {""score"": ""2 - 0"", ""pct"": 12.23}, {""score"": ""1 - 1"", ""pct"": 9.569999999999999}]"
Netherlands,Tunisia,Neutral,1.93,0.77,66.1,21.4,12.5,65.1,7.0,8.6,13.6,2.5,3.2,80.7,19.3,"[{""score"": ""1 - 0"", ""pct"": 13.61}, {""score"": ""2 - 0"", ""pct"": 12.58}, {""score"": ""2 - 1"", ""pct"": 10.0}]"
Netherlands,Qatar,Neutral,2.227,0.473,78.9,15.4,5.7,77.7,7.3,7.2,5.3,1.1,1.4,92.2,7.8,"[{""score"": ""2 - 0"", ""pct"": 16.82}, {""score"": ""1 - 0"", ""pct"": 15.35}, {""score"": ""3 - 0"", ""pct"": 12.42}]"
Netherlands,Curaçao,Neutral,2.16,0.54,75.6,17.6,6.8,76.2,6.2,7.4,6.8,1.5,1.9,89.8,10.2,"[{""score"": ""2 - 0"", ""pct"": 15.58}, {""score"": ""1 - 0"", ""pct"": 15.35}, {""score"": ""3 - 0"", ""pct"": 10.620000000000001}]"
Netherlands,Iran,Neutral,1.493,1.207,44.2,27.4,28.4,42.6,7.0,8.9,29.9,5.3,6.4,58.4,41.6,"[{""score"": ""1 - 1"", ""pct"": 12.46}, {""score"": ""1 - 0"", ""pct"": 10.96}, {""score"": ""2 - 1"", ""pct"": 8.97}]"
Netherlands,South Korea,Neutral,1.537,1.163,46.2,25.9,27.9,46.3,6.8,8.0,27.2,5.5,6.2,61.1,38.9,"[{""score"": ""1 - 1"", ""pct"": 12.1}, {""score"": ""1 - 0"", ""pct"": 10.36}, {""score"": ""2 - 1"", ""pct"": 9.75}]"
Netherlands,Ghana,Neutral,2.149,0.551,75.4,17.4,7.2,75.0,6.7,7.4,7.3,1.5,2.0,89.2,10.8,"[{""score"": ""2 - 0"", ""pct"": 15.43}, {""score"": ""1 - 0"", ""pct"": 15.09}, {""score"": ""3 - 0"", ""pct"": 11.04}]"
Netherlands,Norway,Neutral,1.474,1.226,42.5,27.0,30.6,42.6,6.9,8.0,30.6,5.4,6.4,57.5,42.5,"[{""score"": ""1 - 1"", ""pct"": 12.26}, {""score"": ""1 - 0"", ""pct"": 10.45}, {""score"": ""2 - 1"", ""pct"": 8.709999999999999}]"
Netherlands,England,Neutral,1.086,1.614,24.8,26.2,49.0,24.6,4.8,5.5,50.2,7.1,7.8,34.9,65.1,"[{""score"": ""1 - 1"", ""pct"": 11.72}, {""score"": ""0 - 1"", ""pct"": 11.42}, {""score"": ""1 - 2"", ""pct"": 9.28}]"
Netherlands,Mexico,Neutral,1.328,1.372,35.5,27.0,37.5,35.1,6.2,7.5,37.5,6.3,7.4,48.8,51.2,"[{""score"": ""1 - 1"", ""pct"": 11.899999999999999}, {""score"": ""0 - 1"", ""pct"": 9.29}, {""score"": ""1 - 0"", ""pct"": 9.139999999999999}]"
Netherlands,Austria,Neutral,1.742,0.958,56.2,23.9,19.9,55.3,7.3,8.7,19.7,4.1,4.9,71.3,28.7,"[{""score"": ""1 - 0"", ""pct"": 12.389999999999999}, {""score"": ""1 - 1"", ""pct"": 11.28}, {""score"": ""2 - 0"", ""pct"": 10.209999999999999}]"
Netherlands,Panama,Neutral,1.648,1.052,51.6,25.2,23.2,51.0,7.6,8.4,23.2,4.3,5.6,66.9,33.1,"[{""score"": ""1 - 1"", ""pct"": 11.42}, {""score"": ""1 - 0"", ""pct"": 11.200000000000001}, {""score"": ""2 - 1"", ""pct"": 9.45}]"
Netherlands,Bosnia and Herzegovina,Neutral,2.205,0.495,77.1,16.9,6.0,77.5,6.6,7.0,6.1,1.2,1.6,91.1,8.9,"[{""score"": ""2 - 0"", ""pct"": 16.189999999999998}, {""score"": ""1 - 0"", ""pct"": 15.229999999999999}, {""score"": ""3 - 0"", ""pct"": 11.66}]"
Netherlands,Czech Republic,Neutral,1.942,0.758,65.8,22.3,11.9,65.9,7.5,8.5,12.6,2.2,3.2,81.9,18.1,"[{""score"": ""1 - 0"", ""pct"": 13.569999999999999}, {""score"": ""2 - 0"", ""pct"": 12.94}, {""score"": ""1 - 1"", ""pct"": 9.879999999999999}]"
Netherlands,Switzerland,Neutral,1.534,1.166,45.0,26.6,28.3,46.2,7.3,8.1,26.8,5.3,6.2,61.6,38.4,"[{""score"": ""1 - 1"", ""pct"": 12.31}, {""score"": ""1 - 0"", ""pct"": 10.440000000000001}, {""score"": ""2 - 1"", ""pct"": 9.16}]"
