team,expected_points,expected_gd,group_winner_probability_pct,group_runner_up_probability_pct,wildcard_probability_pct,total_qualification_pct
Spain,7.01,4.64,70.6,23.8,3.9,98.4
Argentina,6.58,3.61,67.6,21.2,6.8,95.7
England,6.46,3.58,61.5,27.5,7.0,96.0
Brazil,6.38,3.68,58.0,29.5,8.9,96.4
Mexico,6.15,2.86,58.9,25.9,9.3,94.1
Canada,6.08,2.96,48.6,37.5,8.8,94.9
Germany,6.07,3.42,51.3,30.7,13.7,95.7
Switzerland,5.94,2.89,44.0,39.4,10.3,93.8
France,5.93,2.59,53.4,27.7,11.0,92.1
Belgium,5.72,2.34,49.9,29.2,12.0,91.1
Portugal,5.58,2.12,44.9,33.7,11.8,90.3
Ecuador,5.49,2.14,34.8,38.1,18.8,91.7
Colombia,5.47,1.9,41.8,34.2,12.8,88.8
Netherlands,5.45,1.92,46.1,29.1,12.7,87.9
Morocco,5.29,1.73,30.7,41.6,16.6,89.0
Uruguay,5.22,1.55,24.8,52.1,12.0,88.8
Croatia,5.14,1.5,29.3,42.9,15.1,87.4
Japan,5.0,1.24,34.3,33.2,16.6,84.0
Iran,4.74,0.89,29.0,34.0,18.2,81.2
South Korea,4.38,0.39,22.5,33.5,20.4,76.4
Norway,4.37,0.33,22.9,30.7,21.8,75.4
United States,4.21,0.16,28.1,25.0,17.7,70.9
Turkey,4.18,0.14,26.0,26.2,18.5,70.7
Senegal,4.1,-0.0,19.5,30.6,20.9,71.1
Australia,4.08,0.03,25.1,24.5,19.2,68.9
Ivory Coast,4.01,-0.07,13.2,27.7,33.4,74.3
Algeria,3.85,-0.4,13.9,31.7,22.8,68.3
Egypt,3.83,-0.35,16.9,26.2,23.7,66.8
Austria,3.82,-0.4,13.9,32.6,21.1,67.7
Paraguay,3.8,-0.33,20.7,24.3,18.9,63.9
Czech Republic,3.57,-0.76,13.4,26.1,23.2,62.6
Scotland,3.48,-0.97,9.8,22.7,30.4,62.8
Sweden,3.04,-1.59,10.5,19.1,20.4,50.0
Uzbekistan,3.01,-1.57,8.5,19.0,22.5,50.1
Panama,2.95,-1.88,6.2,18.5,24.2,49.0
Tunisia,2.94,-1.57,9.1,18.6,20.0,47.8
Bosnia and Herzegovina,2.77,-2.13,5.3,14.8,27.0,47.1
Saudi Arabia,2.38,-2.87,2.4,13.5,21.2,37.1
South Africa,2.36,-2.49,5.2,14.5,16.6,36.4
DR Congo,2.35,-2.45,4.8,13.2,17.0,35.0
Jordan,2.3,-2.81,4.5,14.5,15.4,34.4
New Zealand,2.13,-2.89,4.2,10.7,15.1,29.9
Iraq,2.1,-2.91,4.1,10.9,14.9,30.0
Cape Verde,2.1,-3.32,2.1,10.6,17.8,30.6
Ghana,2.07,-3.2,2.9,11.1,15.4,29.4
Qatar,1.9,-3.72,2.0,8.4,15.6,26.1
Haiti,1.55,-4.43,1.5,6.2,11.8,19.4
Curaçao,1.15,-5.48,0.7,3.5,6.7,10.9
