Country,R32 %,R16 %,QF %,SF %,3rd %,Final %,Champion %
Spain,99.27,73.81,52.93,40.07,9.42,26.38,16.33
Brazil,99.28,75.81,55.03,40.06,10.32,24.33,14.63
Argentina,98.16,65.38000000000001,50.27,34.870000000000005,8.52,22.34,13.26
England,98.4,72.99,50.1,31.669999999999998,8.780000000000001,18.0,10.08
Portugal,95.30999999999999,69.71000000000001,46.739999999999995,27.0,6.99,14.93,8.129999999999999
France,96.24000000000001,71.64,42.9,26.32,7.04,14.280000000000001,7.46
Germany,98.94,68.99,46.03,24.57,6.49,12.139999999999999,5.3
Belgium,96.78999999999999,70.67,46.17,20.28,5.21,10.489999999999998,4.41
Colombia,91.34,60.260000000000005,34.25,18.85,4.79,9.11,3.88
Netherlands,90.16999999999999,47.81,26.939999999999998,14.91,4.390000000000001,6.58,3.02
Uruguay,92.86,42.96,24.55,12.91,3.1300000000000003,6.04,2.3800000000000003
Morocco,92.04,49.47,25.230000000000004,11.62,2.96,4.71,1.9
Croatia,91.45,47.36,22.08,10.979999999999999,2.86,4.45,1.63
Ecuador,93.10000000000001,51.67,24.44,10.190000000000001,2.55,3.75,1.39
Switzerland,95.19,61.86000000000001,24.55,10.08,2.52,3.5900000000000003,1.0699999999999998
United States,75.78,40.79,17.41,5.42,1.16,1.94,0.65
Japan,72.96000000000001,28.79,12.4,4.9399999999999995,1.27,1.67,0.61
Norway,79.56,40.03,15.32,6.16,1.68,2.03,0.6
Mexico,91.3,52.16,21.529999999999998,6.79,1.55,1.92,0.49
Austria,76.42999999999999,23.46,9.59,3.7199999999999998,0.79,1.1400000000000001,0.36
Senegal,72.22,33.339999999999996,11.75,4.12,0.8200000000000001,1.22,0.33
Iran,79.52,38.29,13.530000000000001,3.7600000000000002,0.67,1.08,0.31
Paraguay,64.60000000000001,29.09,10.57,2.79,0.5599999999999999,0.89,0.26
Turkey,69.61,34.33,12.97,3.32,0.6,1.08,0.25
Ivory Coast,80.22,30.78,9.32,2.59,0.48,0.64,0.2
Algeria,66.14,18.04,6.3100000000000005,1.92,0.38999999999999996,0.63,0.16
Sweden,63.54,22.14,7.9399999999999995,2.76,0.67,0.73,0.16
Czech Republic,72.34,31.86,11.05,2.42,0.58,0.5499999999999999,0.13999999999999999
Australia,65.81,30.209999999999997,10.81,2.98,0.6,0.74,0.13999999999999999
Scotland,72.66,24.22,7.85,2.13,0.44999999999999996,0.5499999999999999,0.13999999999999999
South Korea,70.39,29.830000000000002,10.08,2.16,0.43,0.44,0.1
Canada,90.18,44.18,12.68,2.9499999999999997,0.5499999999999999,0.7000000000000001,0.09
Egypt,69.07,27.92,8.28,1.78,0.37,0.45999999999999996,0.06999999999999999
Tunisia,44.55,12.72,3.5700000000000003,0.9199999999999999,0.16,0.22999999999999998,0.05
Uzbekistan,38.84,9.19,2.1,0.32,0.06999999999999999,0.06,0.02
Ghana,40.42,6.93,1.5699999999999998,0.26,0.02,0.05,0.0
New Zealand,20.44,3.18,0.26,0.03,0.0,0.0,0.0
Iraq,20.69,3.9,0.64,0.08,0.0,0.0,0.0
DR Congo,33.75,7.539999999999999,1.9,0.33999999999999997,0.05,0.06,0.0
Curaçao,4.21,0.16999999999999998,0.01,0.0,0.0,0.0,0.0
Qatar,27.61,5.3100000000000005,0.69,0.05,0.02,0.0,0.0
South Africa,38.72,9.87,1.95,0.2,0.03,0.02,0.0
Bosnia and Herzegovina,55.089999999999996,16.04,3.29,0.43,0.02,0.05,0.0
Cape Verde,23.810000000000002,2.94,0.35000000000000003,0.05,0.01,0.0,0.0
Saudi Arabia,32.51,5.16,0.95,0.13,0.03,0.0,0.0
Jordan,23.630000000000003,3.2399999999999998,0.61,0.06,0.0,0.0,0.0
Haiti,7.61,0.63,0.01,0.01,0.0,0.0,0.0
Panama,27.250000000000004,3.3300000000000005,0.5,0.03,0.0,0.0,0.0
