home_team,away_team,venue_country,ensemble_lambda_home,ensemble_lambda_away,grp_win_home,grp_draw,grp_win_away,ko_win_90_home_pct,ko_win_120_home_pct,ko_win_pen_home_pct,ko_win_90_away_pct,ko_win_120_away_pct,ko_win_pen_away_pct,ko_win_home,ko_win_away,top_scorelines_json
United States,Sweden,Neutral,1.213,1.566,28.5,27.1,44.5,28.1,5.4,6.2,45.6,7.1,7.6,39.7,60.3,"[{""score"": ""1 - 1"", ""pct"": 11.84}, {""score"": ""0 - 1"", ""pct"": 9.85}, {""score"": ""1 - 2"", ""pct"": 8.9}]"
United States,Canada,Neutral,1.225,1.168,36.6,29.4,34.0,36.8,6.3,8.5,34.7,5.7,8.2,51.5,48.5,"[{""score"": ""1 - 1"", ""pct"": 13.3}, {""score"": ""1 - 0"", ""pct"": 11.32}, {""score"": ""0 - 1"", ""pct"": 10.6}]"
United States,France,Neutral,0.745,2.049,11.6,20.3,68.1,11.5,2.2,2.9,68.6,7.0,7.8,16.5,83.5,"[{""score"": ""0 - 2"", ""pct"": 12.950000000000001}, {""score"": ""0 - 1"", ""pct"": 12.25}, {""score"": ""1 - 2"", ""pct"": 9.91}]"
United States,Egypt,Neutral,1.088,1.077,34.1,31.3,34.6,35.0,6.4,9.3,34.1,5.8,9.4,50.7,49.3,"[{""score"": ""1 - 1"", ""pct"": 13.969999999999999}, {""score"": ""0 - 0"", ""pct"": 12.46}, {""score"": ""0 - 1"", ""pct"": 11.98}]"
United States,Norway,Neutral,1.126,1.71,24.1,25.2,50.6,24.2,4.4,5.8,50.2,7.5,7.8,34.5,65.5,"[{""score"": ""1 - 1"", ""pct"": 11.67}, {""score"": ""0 - 1"", ""pct"": 10.74}, {""score"": ""1 - 2"", ""pct"": 9.610000000000001}]"
United States,Spain,Neutral,0.69,2.476,7.3,15.6,77.1,7.6,1.4,1.6,76.6,6.8,6.0,10.6,89.4,"[{""score"": ""0 - 2"", ""pct"": 13.389999999999999}, {""score"": ""0 - 1"", ""pct"": 10.63}, {""score"": ""0 - 3"", ""pct"": 10.549999999999999}]"
United States,Ivory Coast,Neutral,1.095,1.173,31.9,30.9,37.2,33.3,5.6,8.4,37.1,6.3,9.3,47.3,52.7,"[{""score"": ""1 - 1"", ""pct"": 13.16}, {""score"": ""0 - 0"", ""pct"": 12.1}, {""score"": ""0 - 1"", ""pct"": 11.95}]"
United States,New Zealand,Neutral,1.569,0.67,58.9,26.9,14.3,59.5,7.6,10.8,14.8,3.0,4.2,78.0,22.0,"[{""score"": ""1 - 0"", ""pct"": 17.04}, {""score"": ""2 - 0"", ""pct"": 12.620000000000001}, {""score"": ""0 - 0"", ""pct"": 11.899999999999999}]"
United States,Algeria,Neutral,1.248,1.448,31.4,27.0,41.6,31.8,5.4,7.1,41.3,6.6,7.9,44.2,55.8,"[{""score"": ""1 - 1"", ""pct"": 12.46}, {""score"": ""0 - 1"", ""pct"": 9.99}, {""score"": ""1 - 2"", ""pct"": 8.6}]"
United States,Uzbekistan,Neutral,1.209,0.978,40.3,31.1,28.7,40.8,6.8,10.3,28.1,5.2,8.8,57.8,42.2,"[{""score"": ""1 - 0"", ""pct"": 13.69}, {""score"": ""1 - 1"", ""pct"": 13.669999999999998}, {""score"": ""0 - 0"", ""pct"": 12.6}]"
